end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-05 21:52:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,25.00,1313.00
2026-02-05 21:55:00,,,,,,0.4000,0.00,1313.00
2026-02-05 21:58:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4000,11.00,1324.00
2026-02-05 22:01:00,,,,,,0.4100,0.00,1324.00
2026-02-05 22:06:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,498.00,1822.00
2026-02-05 22:07:00,,,,,,0.4100,0.00,1822.00
2026-02-05 22:08:00,,,,,,0.4100,0.00,1822.00
2026-02-05 22:09:00,,,,,,0.4100,0.00,1822.00
2026-02-05 22:11:00,,,,,,0.4100,0.00,1822.00
2026-02-05 22:12:00,,,,,,0.4100,0.00,1822.00
2026-02-05 22:13:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,11.00,1833.00
2026-02-05 22:14:00,,,,,,0.4100,0.00,1833.00
2026-02-05 22:20:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,121.00,1954.00
2026-02-05 22:21:00,,,,,,0.4100,0.00,1954.00
2026-02-05 22:24:00,,,,,,0.4100,0.00,1954.00
2026-02-05 22:25:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,182.00,1980.00
2026-02-05 22:26:00,,,,,,0.4100,0.00,1980.00
2026-02-05 22:27:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,192.00,2172.00
2026-02-05 22:28:00,,,,,,0.4100,0.00,2172.00
2026-02-05 22:29:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4100,26.00,2198.00
2026-02-05 22:30:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,20.00,2218.00
2026-02-05 22:31:00,,,,,,0.4200,0.00,2218.00
2026-02-05 22:32:00,,,,,,0.4200,0.00,2218.00
2026-02-05 22:33:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,776.00,2994.00
2026-02-05 22:34:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,360.00,3354.00
2026-02-05 22:35:00,,,,,,0.4200,0.00,3354.00
2026-02-05 22:36:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,1.00,3355.00
2026-02-05 22:37:00,,,,,,0.4200,0.00,3355.00
2026-02-05 22:38:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4200,40.00,3395.00
2026-02-05 22:39:00,,,,,,0.4300,0.00,3395.00
2026-02-05 22:41:00,,,,,,0.4300,0.00,3395.00
2026-02-05 22:43:00,,,,,,0.4300,0.00,3395.00
2026-02-05 22:44:00,,,,,,0.4300,0.00,3395.00
2026-02-05 22:46:00,,,,,,0.4300,0.00,3395.00
2026-02-05 22:47:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,5.00,3400.00
2026-02-05 22:48:00,0.4200,0.4100,0.4200,0.4100,0.4103,0.4300,3078.00,6478.00
2026-02-05 22:49:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,16.00,6494.00
2026-02-05 22:50:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4100,19.00,6513.00
2026-02-05 22:51:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4200,670.00,7183.00
2026-02-05 22:52:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,1743.00,8926.00
2026-02-05 22:53:00,0.4100,0.4100,0.4200,0.4200,0.4112,0.4100,853.00,9779.00
2026-02-05 22:54:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4200,4.00,9779.00
2026-02-05 22:55:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,6.00,9785.00
2026-02-05 22:56:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4100,427.00,10212.00
2026-02-05 22:57:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,14.00,10226.00
2026-02-05 22:58:00,,,,,,0.4200,0.00,10226.00
2026-02-05 22:59:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,111.00,10337.00
2026-02-05 23:00:00,,,,,,0.4200,0.00,10337.00
2026-02-05 23:01:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4200,38.00,10375.00
2026-02-05 23:02:00,,,,,,0.4100,0.00,10375.00
2026-02-05 23:03:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4100,59.00,10434.00
2026-02-05 23:04:00,,,,,,0.4200,0.00,10434.00
2026-02-05 23:06:00,,,,,,0.4200,0.00,10434.00
2026-02-05 23:07:00,,,,,,0.4200,0.00,10434.00
2026-02-05 23:09:00,0.4200,0.4100,0.4200,0.4100,0.4101,0.4200,756.00,11190.00
2026-02-05 23:10:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,91.00,11281.00
2026-02-05 23:11:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,235.00,11516.00
2026-02-05 23:12:00,,,,,,0.4100,0.00,11516.00
2026-02-05 23:13:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,141.00,11657.00
2026-02-05 23:14:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,128.00,11785.00
2026-02-05 23:15:00,,,,,,0.4100,0.00,11785.00
2026-02-05 23:16:00,,,,,,0.4100,0.00,11785.00
