end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-08 22:22:00,,,,,,0.8600,0.00,718.00
2026-02-08 22:25:00,,,,,,0.8600,0.00,718.00
2026-02-08 22:26:00,,,,,,0.8600,0.00,718.00
2026-02-08 22:27:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,10.00,728.00
2026-02-08 22:28:00,0.8500,0.8300,0.8500,0.8300,0.8361,0.8600,288.00,896.00
2026-02-08 22:29:00,,,,,,0.8300,0.00,896.00
2026-02-08 22:31:00,,,,,,0.8300,0.00,896.00
2026-02-08 22:33:00,,,,,,0.8300,0.00,896.00
2026-02-08 22:35:00,,,,,,0.8300,0.00,896.00
2026-02-08 22:36:00,,,,,,0.8300,0.00,896.00
2026-02-08 22:38:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8300,23.00,901.00
2026-02-08 22:39:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,1.00,902.00
2026-02-08 22:40:00,,,,,,0.8600,0.00,902.00
2026-02-08 22:41:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,1.00,903.00
2026-02-08 22:42:00,,,,,,0.8600,0.00,903.00
2026-02-08 22:43:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,5.00,908.00
2026-02-08 22:48:00,,,,,,0.8600,0.00,908.00
2026-02-08 22:49:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,20.00,928.00
2026-02-08 22:50:00,,,,,,0.8600,0.00,928.00
2026-02-08 22:51:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,4.00,932.00
2026-02-08 22:53:00,,,,,,0.8600,0.00,932.00
2026-02-08 22:54:00,,,,,,0.8600,0.00,932.00
2026-02-08 22:55:00,,,,,,0.8600,0.00,932.00
2026-02-08 22:57:00,,,,,,0.8600,0.00,932.00
2026-02-08 22:59:00,,,,,,0.8600,0.00,932.00
2026-02-08 23:00:00,,,,,,0.8600,0.00,932.00
2026-02-08 23:01:00,,,,,,0.8600,0.00,932.00
2026-02-08 23:02:00,,,,,,0.8600,0.00,932.00
2026-02-08 23:03:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,1.00,933.00
2026-02-08 23:05:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,278.00,1211.00
2026-02-08 23:06:00,,,,,,0.8600,0.00,1211.00
2026-02-08 23:08:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8600,2.00,1213.00
2026-02-08 23:09:00,,,,,,0.8700,0.00,1213.00
2026-02-08 23:10:00,,,,,,0.8700,0.00,1213.00
2026-02-08 23:11:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8700,100.00,1313.00
2026-02-08 23:12:00,,,,,,0.8700,0.00,1313.00
2026-02-08 23:13:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8700,5.00,1318.00
2026-02-08 23:14:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8700,1.00,1319.00
2026-02-08 23:15:00,,,,,,0.8700,0.00,1319.00
2026-02-08 23:16:00,,,,,,0.8700,0.00,1319.00
2026-02-08 23:18:00,,,,,,0.8700,0.00,1319.00
2026-02-08 23:19:00,,,,,,0.8700,0.00,1319.00
2026-02-08 23:20:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8700,6.00,1325.00
2026-02-08 23:21:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,5.00,1330.00
2026-02-08 23:23:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,86.00,1416.00
2026-02-08 23:24:00,,,,,,0.8600,0.00,1416.00
