end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-09 14:27:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,123.00,154.00
2026-02-09 14:37:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,123.00,277.00
2026-02-09 14:48:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,12.00,289.00
2026-02-09 14:55:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,2.00,291.00
2026-02-09 15:00:00,0.7900,0.7900,0.8000,0.8000,0.8000,0.8000,243.00,534.00
2026-02-09 15:03:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,240.00,774.00
2026-02-09 15:06:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,15.00,789.00
2026-02-09 15:18:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,312.00,1101.00
2026-02-09 15:21:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,1.00,1102.00
2026-02-09 15:22:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8000,24.00,1126.00
2026-02-09 15:25:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,1.00,1127.00
2026-02-09 15:27:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,54.00,1181.00
2026-02-09 15:30:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,39.00,1220.00
2026-02-09 15:31:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,1.00,1221.00
2026-02-09 15:33:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,6.00,1227.00
2026-02-09 15:36:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,1.00,1228.00
2026-02-09 15:38:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8100,1.00,1228.00
2026-02-09 15:44:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,23.00,1251.00
2026-02-09 15:47:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,24.00,1275.00
2026-02-09 15:55:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,322.00,1597.00
2026-02-09 15:56:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,12.00,1609.00
2026-02-09 15:57:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,270.00,1879.00
2026-02-09 15:58:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,123.00,2002.00
2026-02-09 16:01:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.8000,383.00,2385.00
2026-02-09 16:02:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,30.00,2415.00
2026-02-09 16:03:00,0.7800,0.7800,0.7900,0.7900,0.7863,0.7900,1116.00,3531.00
2026-02-09 16:04:00,0.8000,0.7600,0.8000,0.8000,0.7984,0.7900,1582.00,5021.00
2026-02-09 16:05:00,0.8000,0.7900,0.8100,0.8100,0.7910,0.8000,1305.00,6326.00
2026-02-09 16:06:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,347.00,6673.00
2026-02-09 16:07:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8100,864.00,7529.00
2026-02-09 16:08:00,0.8300,0.8200,0.8300,0.8200,0.8220,0.8200,5.00,7534.00
2026-02-09 16:09:00,0.8300,0.8300,0.8600,0.8600,0.8314,0.8200,728.00,8260.00
2026-02-09 16:10:00,0.8700,0.8700,0.9000,0.9000,0.8986,0.8600,465.00,8393.00
2026-02-09 16:12:00,0.8900,0.8800,0.9000,0.9000,0.8915,0.9000,508.00,8824.00
2026-02-09 16:13:00,0.8900,0.8900,0.9000,0.9000,0.8935,0.9000,17.00,8835.00
2026-02-09 16:14:00,0.9100,0.9100,0.9100,0.9100,0.9100,0.9000,6.00,8835.00
2026-02-09 16:15:00,0.9200,0.9000,0.9200,0.9100,0.9117,0.9100,121.00,8907.00
2026-02-09 16:16:00,0.9000,0.8900,0.9100,0.9100,0.9040,0.9100,287.00,9069.00
2026-02-09 16:17:00,0.9100,0.8900,0.9100,0.8900,0.8933,0.9100,135.00,9204.00
2026-02-09 16:18:00,0.8900,0.8800,0.8900,0.8800,0.8836,0.8900,11.00,9204.00
2026-02-09 16:19:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8800,11.00,9215.00
2026-02-09 16:20:00,0.8900,0.8900,0.9000,0.9000,0.8903,0.8900,313.00,9528.00
2026-02-09 16:21:00,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,114.00,9642.00
2026-02-09 16:22:00,0.9000,0.9000,0.9200,0.9100,0.9096,0.9000,909.00,9899.00
2026-02-09 16:23:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.9100,138.00,10037.00
2026-02-09 16:24:00,0.8900,0.8800,0.8900,0.8800,0.8840,0.8900,5.00,10042.00
2026-02-09 16:25:00,0.8800,0.8800,0.9000,0.8800,0.8892,0.8800,1585.00,11325.00
2026-02-09 16:26:00,0.9000,0.8900,0.9000,0.8900,0.8930,0.8800,10.00,11335.00
2026-02-09 16:27:00,0.9000,0.9000,0.9000,0.9000,0.9000,0.8900,114.00,11335.00
2026-02-09 16:28:00,0.9000,0.9000,0.9100,0.9100,0.9050,0.9000,10.00,11345.00
2026-02-09 16:29:00,0.9000,0.9000,0.9600,0.9100,0.9351,0.9100,3439.00,14784.00
2026-02-09 16:30:00,0.9300,0.9300,0.9300,0.9300,0.9300,0.9100,801.00,14318.00
2026-02-09 16:31:00,0.9300,0.9300,0.9300,0.9300,0.9300,0.9300,343.00,14661.00
2026-02-09 16:32:00,0.9300,0.9200,0.9300,0.9200,0.9202,0.9300,112.00,14603.00
2026-02-09 16:33:00,0.9400,0.9400,0.9500,0.9500,0.9417,0.9200,6048.00,20651.00
2026-02-09 16:35:00,0.9000,0.8500,0.9000,0.8500,0.8668,0.9500,419.00,20699.00
2026-02-09 16:36:00,0.9000,0.8000,0.9000,0.8000,0.8333,0.8500,15.00,20704.00
2026-02-09 16:37:00,0.9300,0.8100,0.9400,0.8100,0.8542,0.8000,1367.00,21135.00
2026-02-09 16:38:00,0.8600,0.8500,0.8800,0.8800,0.8623,0.8100,1072.00,21612.00
2026-02-09 16:40:00,0.9400,0.9200,0.9400,0.9400,0.9367,0.8800,342.00,21840.00
2026-02-09 16:41:00,0.9300,0.9300,0.9300,0.9300,0.9300,0.9400,150.00,21990.00
2026-02-09 16:42:00,0.9200,0.9200,0.9200,0.9200,0.9200,0.9300,10.00,21990.00
2026-02-09 16:43:00,0.9200,0.9200,0.9400,0.9400,0.9202,0.9200,1211.00,23201.00
2026-02-09 16:44:00,0.9300,0.9200,0.9300,0.9200,0.9201,0.9400,698.00,23899.00
2026-02-09 16:45:00,0.9300,0.8900,0.9500,0.8900,0.9412,0.9200,442.00,24030.00
2026-02-09 16:46:00,0.8900,0.8300,0.8900,0.8300,0.8327,0.8900,1351.00,25358.00
2026-02-09 16:47:00,0.8300,0.8200,0.8300,0.8300,0.8218,0.8300,173.00,25247.00
2026-02-09 16:48:00,0.8500,0.8400,0.8600,0.8400,0.8483,0.8300,764.00,25711.00
2026-02-09 16:49:00,0.8100,0.8100,0.8900,0.8200,0.8246,0.8400,2064.00,27124.00
2026-02-09 16:50:00,0.8200,0.7900,0.8500,0.8000,0.8019,0.8200,2499.00,29483.00
2026-02-09 16:51:00,0.7900,0.7900,0.8200,0.8200,0.8135,0.8000,608.00,30062.00
2026-02-09 16:52:00,0.8200,0.8100,0.8500,0.8100,0.8202,0.8200,382.00,30375.00
2026-02-09 16:53:00,0.8000,0.7900,0.8100,0.8100,0.7961,0.8100,228.00,30569.00
2026-02-09 16:54:00,0.8100,0.7300,0.8100,0.7500,0.7675,0.8100,770.00,31166.00
2026-02-09 16:55:00,0.7600,0.7400,0.7900,0.7600,0.7510,0.7500,1921.00,33010.00
2026-02-09 16:56:00,0.7300,0.6800,0.7400,0.6900,0.6943,0.7600,621.00,33508.00
2026-02-09 16:57:00,0.6800,0.6500,0.7000,0.6900,0.6809,0.6900,1664.00,35072.00
2026-02-09 16:58:00,0.6700,0.6600,0.7500,0.7000,0.7070,0.6900,4118.00,38055.00
2026-02-09 16:59:00,0.7500,0.7000,0.7700,0.7300,0.7164,0.7000,5994.00,42810.00
2026-02-09 17:00:00,0.7300,0.6700,0.8100,0.6700,0.7676,0.7300,7812.00,48924.00
2026-02-09 17:01:00,0.7100,0.6600,0.7700,0.7700,0.7336,0.6700,2768.00,51255.00
2026-02-09 17:02:00,0.7600,0.7400,0.8100,0.8100,0.7854,0.7700,4613.00,55404.00
2026-02-09 17:03:00,0.8000,0.7800,0.8200,0.8000,0.8009,0.8100,14479.00,69415.00
2026-02-09 17:04:00,0.7900,0.7700,0.8100,0.8000,0.7902,0.8000,4770.00,73902.00
2026-02-09 17:05:00,0.8100,0.8100,0.8800,0.8800,0.8522,0.8000,10219.00,83811.00
2026-02-09 17:06:00,0.8900,0.8600,0.9500,0.9200,0.8956,0.8800,13616.00,96664.00
2026-02-09 17:07:00,0.9100,0.9000,0.9200,0.9200,0.9154,0.9200,7268.00,102677.00
2026-02-09 17:08:00,0.9200,0.8700,0.9300,0.8700,0.8952,0.9200,4276.00,106479.00
2026-02-09 17:09:00,0.8600,0.8600,0.9300,0.9100,0.9131,0.8700,3835.00,109284.00
2026-02-09 17:10:00,0.9300,0.8900,0.9500,0.9500,0.9295,0.9100,12541.00,114292.00
2026-02-09 17:11:00,0.9500,0.9300,0.9600,0.9400,0.9472,0.9500,12650.00,125553.00
2026-02-09 17:12:00,0.9400,0.9100,0.9700,0.9400,0.9406,0.9400,12131.00,137020.00
2026-02-09 17:13:00,0.9300,0.8900,0.9300,0.9100,0.9134,0.9400,9143.00,141081.00
2026-02-09 17:14:00,0.9000,0.8300,0.9100,0.8400,0.8801,0.9100,3688.00,144633.00
2026-02-09 17:15:00,0.8300,0.7800,0.8700,0.8600,0.8308,0.8400,8063.00,145642.00
2026-02-09 17:16:00,0.8600,0.8400,0.9200,0.8400,0.8658,0.8600,4321.00,149244.00
2026-02-09 17:17:00,0.8400,0.7600,0.8700,0.7600,0.7910,0.8400,2809.00,150776.00
2026-02-09 17:18:00,0.7700,0.7600,0.8200,0.7700,0.7828,0.7600,4982.00,155344.00
2026-02-09 17:19:00,0.7700,0.6600,0.7800,0.7100,0.7366,0.7700,4328.00,159079.00
2026-02-09 17:20:00,0.6600,0.6100,0.6900,0.6700,0.6558,0.7100,12152.00,166902.00
2026-02-09 17:21:00,0.6700,0.6700,0.6800,0.6800,0.6701,0.6700,10114.00,176624.00
2026-02-09 17:22:00,0.6800,0.6600,0.7400,0.6800,0.6996,0.6800,2022.00,177903.00
2026-02-09 17:23:00,0.6700,0.5900,0.8300,0.6500,0.6696,0.6800,7050.00,182983.00
2026-02-09 17:24:00,0.6400,0.6400,0.9700,0.7700,0.7847,0.6500,8323.00,189397.00
2026-02-09 17:25:00,0.7600,0.7400,0.7800,0.7500,0.7538,0.7700,1795.00,190388.00
2026-02-09 17:26:00,0.7600,0.7000,0.7700,0.7100,0.7201,0.7500,1669.00,192006.00
2026-02-09 17:27:00,0.7100,0.6800,0.7200,0.7100,0.7085,0.7100,9134.00,199066.00
2026-02-09 17:28:00,0.7200,0.7200,0.9000,0.9000,0.7840,0.7100,8049.00,206517.00
2026-02-09 17:29:00,0.7800,0.7400,0.8500,0.8400,0.8087,0.9000,5270.00,207491.00
2026-02-09 17:30:00,0.8300,0.8300,0.9200,0.8900,0.8856,0.8400,12044.00,209940.00
2026-02-09 17:31:00,0.8800,0.8600,0.9000,0.8800,0.8725,0.8900,2948.00,212239.00
2026-02-09 17:32:00,0.8800,0.8300,0.9000,0.8500,0.8595,0.8800,7968.00,218880.00
