end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-09 22:36:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,44.00,1205.00
2026-02-09 23:02:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4200,26.00,1231.00
2026-02-09 23:11:00,0.4200,0.4200,0.4400,0.4400,0.4243,0.4400,7.00,1238.00
2026-02-09 23:12:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,42.00,1280.00
2026-02-09 23:13:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4400,29.00,1309.00
2026-02-09 23:14:00,0.4400,0.4200,0.4400,0.4200,0.4220,0.4000,110.00,1419.00
2026-02-09 23:15:00,0.3800,0.3800,0.4100,0.4000,0.3883,0.4200,332.00,1751.00
2026-02-09 23:16:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4000,13.00,1764.00
2026-02-09 23:17:00,0.3700,0.3700,0.4000,0.4000,0.3867,0.3900,153.00,1917.00
2026-02-09 23:18:00,0.4100,0.4100,0.4200,0.4200,0.4129,0.4000,555.00,2472.00
2026-02-09 23:19:00,0.4200,0.4100,0.4400,0.4400,0.4370,0.4200,975.00,3447.00
2026-02-09 23:20:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,62.00,3503.00
2026-02-09 23:21:00,0.4500,0.4200,0.4500,0.4200,0.4474,0.4400,599.00,4102.00
2026-02-09 23:22:00,0.4100,0.4000,0.4100,0.4000,0.4085,0.4200,13.00,4115.00
2026-02-09 23:23:00,0.3700,0.3700,0.4100,0.4100,0.4016,0.4000,147.00,4231.00
2026-02-09 23:24:00,0.4100,0.4100,0.4200,0.4100,0.4141,0.4100,918.00,4243.00
2026-02-09 23:25:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,79.00,4322.00
2026-02-09 23:26:00,0.4100,0.3800,0.4300,0.4300,0.4256,0.4100,282.00,4600.00
2026-02-09 23:27:00,0.4300,0.4200,0.4500,0.4500,0.4388,0.4300,739.00,5339.00
2026-02-09 23:28:00,0.4500,0.4400,0.4600,0.4600,0.4576,0.4500,389.00,5717.00
2026-02-09 23:30:00,0.4300,0.4200,0.4300,0.4200,0.4277,0.4600,71.00,5772.00
2026-02-09 23:31:00,0.4500,0.4300,0.4500,0.4300,0.4398,0.4200,65.00,5837.00
2026-02-09 23:32:00,0.4400,0.4000,0.4400,0.4000,0.4070,0.4300,40.00,5809.00
2026-02-09 23:33:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4000,658.00,6467.00
2026-02-09 23:34:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4300,41.00,6508.00
2026-02-09 23:35:00,0.4700,0.4700,0.4800,0.4800,0.4741,0.4600,17.00,6518.00
2026-02-09 23:36:00,0.4500,0.4500,0.5100,0.4900,0.4878,0.4800,806.00,7194.00
2026-02-09 23:37:00,0.4700,0.4500,0.4700,0.4500,0.4506,0.4900,1438.00,8632.00
2026-02-09 23:38:00,0.4300,0.4300,0.4700,0.4700,0.4608,0.4500,224.00,8817.00
2026-02-09 23:39:00,0.4600,0.4600,0.4900,0.4800,0.4766,0.4700,776.00,9593.00
2026-02-09 23:40:00,0.4800,0.4500,0.4900,0.4700,0.4680,0.4800,1510.00,10717.00
2026-02-09 23:41:00,0.4700,0.4700,0.4800,0.4800,0.4714,0.4700,44.00,10761.00
2026-02-09 23:42:00,0.4900,0.4500,0.4900,0.4600,0.4613,0.4800,2356.00,12904.00
