end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-09 11:12:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:15:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:16:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:18:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:20:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:22:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:23:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:24:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:25:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:27:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:28:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:30:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:35:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:39:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:40:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:45:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:50:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:51:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:56:00,,,,,,0.4100,0.00,148.00
2026-02-09 11:57:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,358.00,506.00
2026-02-09 11:59:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,13.00,519.00
2026-02-09 12:00:00,,,,,,0.4100,0.00,519.00
2026-02-09 12:01:00,,,,,,0.4100,0.00,519.00
2026-02-09 12:03:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,227.00,746.00
2026-02-09 12:04:00,,,,,,0.4100,0.00,746.00
2026-02-09 12:08:00,,,,,,0.4100,0.00,746.00
2026-02-09 12:09:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,117.00,863.00
2026-02-09 12:10:00,,,,,,0.4100,0.00,863.00
2026-02-09 12:11:00,,,,,,0.4100,0.00,863.00
2026-02-09 12:13:00,,,,,,0.4100,0.00,863.00
2026-02-09 12:16:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,22.00,885.00
2026-02-09 12:19:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:20:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:22:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:23:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:25:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:28:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:29:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:30:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:31:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:32:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:33:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:34:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:35:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:36:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:37:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:38:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:39:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:41:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:42:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:44:00,,,,,,0.4100,0.00,885.00
2026-02-09 12:45:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,16.00,901.00
2026-02-09 12:46:00,,,,,,0.4100,0.00,901.00
2026-02-09 12:47:00,,,,,,0.4100,0.00,901.00
2026-02-09 12:48:00,,,,,,0.4100,0.00,901.00
2026-02-09 12:49:00,,,,,,0.4100,0.00,901.00
2026-02-09 12:50:00,0.3900,0.3900,0.4200,0.4200,0.4125,0.4100,1690.00,2591.00
2026-02-09 12:51:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4200,117.00,2708.00
2026-02-09 12:52:00,,,,,,0.4100,0.00,2708.00
2026-02-09 12:53:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,24.00,2732.00
2026-02-09 12:54:00,0.4100,0.4100,0.4900,0.4500,0.4279,0.4100,57.00,2789.00
2026-02-09 12:55:00,0.3800,0.3600,0.3900,0.3800,0.3749,0.4500,107.00,2896.00
2026-02-09 12:56:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3800,370.00,3266.00
2026-02-09 12:57:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3700,36.00,3302.00
2026-02-09 12:58:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.3900,34.00,3336.00
2026-02-09 12:59:00,0.4100,0.4100,0.4400,0.4200,0.4184,0.4100,148.00,3459.00
2026-02-09 13:00:00,0.4000,0.3900,0.4100,0.4100,0.4087,0.4200,167.00,3605.00
2026-02-09 13:01:00,0.4300,0.4000,0.4500,0.4100,0.4193,0.4100,486.00,4091.00
2026-02-09 13:02:00,,,,,,0.4100,0.00,4091.00
2026-02-09 13:03:00,0.4100,0.4100,0.4700,0.4300,0.4298,0.4100,1322.00,5413.00
2026-02-09 13:04:00,0.4300,0.4100,0.4300,0.4100,0.4148,0.4300,91.00,5504.00
2026-02-09 13:05:00,0.3900,0.3900,0.4900,0.4900,0.4266,0.4100,639.00,6143.00
2026-02-09 13:06:00,0.4800,0.4200,0.4800,0.4400,0.4502,0.4900,1465.00,7608.00
2026-02-09 13:07:00,0.4400,0.4200,0.4400,0.4200,0.4301,0.4400,192.00,7800.00
2026-02-09 13:08:00,0.4900,0.3800,0.5000,0.3800,0.4320,0.4200,46.00,7819.00
2026-02-09 13:09:00,0.4000,0.3900,0.4100,0.4000,0.4007,0.3800,254.00,8067.00
2026-02-09 13:10:00,0.4000,0.3700,0.4000,0.3700,0.3835,0.4000,5783.00,13850.00
2026-02-09 13:11:00,0.3700,0.3700,0.4200,0.4200,0.3735,0.3700,5789.00,19048.00
2026-02-09 13:12:00,0.4200,0.4200,0.4500,0.4500,0.4306,0.4200,628.00,19676.00
2026-02-09 13:13:00,0.4500,0.4500,0.5000,0.5000,0.4772,0.4500,998.00,20674.00
2026-02-09 13:14:00,0.5100,0.4600,0.5100,0.4800,0.4824,0.5000,1375.00,22040.00
2026-02-09 13:15:00,0.5200,0.4300,0.5200,0.4300,0.4981,0.4800,608.00,22647.00
2026-02-09 13:16:00,0.4100,0.4100,0.4300,0.4300,0.4149,0.4300,205.00,22852.00
2026-02-09 13:17:00,0.4300,0.4300,0.5600,0.5600,0.4619,0.4300,705.00,23556.00
2026-02-09 13:18:00,0.4500,0.4500,0.5500,0.5500,0.4859,0.5600,1176.00,24556.00
2026-02-09 13:19:00,0.5300,0.4800,0.5800,0.4800,0.5157,0.5500,817.00,25370.00
2026-02-09 13:20:00,0.5600,0.5000,0.5600,0.5000,0.5320,0.4800,2526.00,27896.00
2026-02-09 13:21:00,0.5000,0.4700,0.5000,0.4800,0.4800,0.5000,1852.00,29740.00
2026-02-09 13:22:00,0.5000,0.5000,0.5100,0.5100,0.5013,0.4800,240.00,29980.00
2026-02-09 13:23:00,0.5800,0.5700,0.5800,0.5800,0.5798,0.5100,262.00,30242.00
2026-02-09 13:24:00,0.5800,0.5200,0.5800,0.5200,0.5231,0.5800,802.00,31036.00
2026-02-09 13:25:00,0.5800,0.4800,0.5800,0.4900,0.5185,0.5200,323.00,31078.00
2026-02-09 13:26:00,0.4600,0.4500,0.4700,0.4500,0.4635,0.4900,843.00,31921.00
2026-02-09 13:27:00,0.4500,0.4500,0.4600,0.4500,0.4502,0.4500,995.00,32906.00
2026-02-09 13:28:00,0.4800,0.4800,0.5100,0.5100,0.4863,0.4500,524.00,33430.00
2026-02-09 13:29:00,0.4900,0.4900,0.5700,0.5300,0.5108,0.5100,2308.00,35638.00
2026-02-09 13:30:00,0.5300,0.5200,0.5700,0.5400,0.5523,0.5300,6751.00,38278.00
2026-02-09 13:31:00,0.4800,0.4800,0.5100,0.4800,0.4953,0.5400,2177.00,40305.00
2026-02-09 13:32:00,0.4700,0.4600,0.4700,0.4600,0.4676,0.4800,1049.00,40874.00
2026-02-09 13:33:00,0.4700,0.4600,0.5200,0.5200,0.4923,0.4600,1171.00,41994.00
2026-02-09 13:34:00,0.5200,0.4800,0.5400,0.4800,0.5072,0.5200,1517.00,43511.00
2026-02-09 13:35:00,0.4700,0.4700,0.5200,0.4900,0.4870,0.4800,2368.00,45287.00
2026-02-09 13:36:00,0.5100,0.4900,0.5100,0.4900,0.5008,0.4900,992.00,46222.00
2026-02-09 13:37:00,0.4900,0.4800,0.5600,0.5200,0.5432,0.4900,1144.00,46911.00
2026-02-09 13:38:00,0.5200,0.5100,0.5700,0.5400,0.5407,0.5200,1983.00,48878.00
2026-02-09 13:39:00,0.5300,0.5300,0.6000,0.6000,0.5335,0.5400,4077.00,52845.00
2026-02-09 13:40:00,0.6000,0.6000,0.7200,0.7100,0.6579,0.6000,7546.00,52136.00
2026-02-09 13:41:00,0.7100,0.7100,0.7200,0.7200,0.7136,0.7100,171.00,52089.00
2026-02-09 13:42:00,0.6800,0.6000,0.6800,0.6000,0.6705,0.7200,153.00,52212.00
2026-02-09 13:43:00,0.5400,0.4600,0.5400,0.4800,0.5175,0.6000,885.00,52675.00
2026-02-09 13:44:00,0.4700,0.4000,0.4700,0.4000,0.4334,0.4800,2351.00,54885.00
2026-02-09 13:45:00,0.3400,0.2900,0.4100,0.4100,0.3757,0.4000,1474.00,55448.00
2026-02-09 13:46:00,0.4000,0.3300,0.4700,0.4700,0.3761,0.4100,5259.00,59041.00
2026-02-09 13:47:00,0.4700,0.4600,0.4800,0.4700,0.4693,0.4700,998.00,59935.00
2026-02-09 13:48:00,0.4100,0.3600,0.5500,0.5500,0.3950,0.4700,1756.00,60797.00
2026-02-09 13:49:00,0.5400,0.3900,0.5800,0.4500,0.4537,0.5500,256.00,60993.00
2026-02-09 13:50:00,0.3900,0.3900,0.5800,0.5700,0.5136,0.4500,3706.00,64605.00
2026-02-09 13:51:00,0.5600,0.4700,0.5700,0.4900,0.4888,0.5700,3779.00,68002.00
2026-02-09 13:52:00,0.4900,0.2200,0.4900,0.2400,0.2756,0.4900,3607.00,68350.00
2026-02-09 13:53:00,0.2400,0.2300,0.2500,0.2500,0.2406,0.2400,3426.00,69493.00
2026-02-09 13:54:00,0.2400,0.2300,0.2500,0.2500,0.2469,0.2500,2170.00,71000.00
2026-02-09 13:55:00,0.2500,0.2100,0.3300,0.2600,0.2443,0.2500,3902.00,74704.00
2026-02-09 13:56:00,0.2200,0.1800,0.2400,0.2400,0.2097,0.2600,2436.00,76166.00
2026-02-09 13:57:00,0.2400,0.1800,0.2400,0.2400,0.2068,0.2400,1990.00,77643.00
2026-02-09 13:58:00,0.2400,0.2300,0.2800,0.2400,0.2348,0.2400,9889.00,87413.00
2026-02-09 13:59:00,0.2600,0.2300,0.2700,0.2300,0.2591,0.2400,6561.00,93970.00
2026-02-09 14:00:00,0.2300,0.1000,0.2400,0.1000,0.1330,0.2300,3800.00,95015.00
2026-02-09 14:01:00,0.1100,0.1000,0.1200,0.1000,0.1070,0.1000,1908.00,95649.00
2026-02-09 14:02:00,0.1000,0.0700,0.1100,0.1000,0.0915,0.1000,1076.00,96360.00
2026-02-09 14:03:00,0.1000,0.0600,0.1000,0.0600,0.0732,0.1000,5648.00,98122.00
2026-02-09 14:04:00,0.0800,0.0500,0.0900,0.0900,0.0890,0.0600,4060.00,101833.00
2026-02-09 14:05:00,0.0900,0.0800,0.1100,0.1100,0.0999,0.0900,2649.00,103301.00
2026-02-09 14:06:00,0.1000,0.0700,0.1100,0.1100,0.0968,0.1100,2507.00,105472.00
2026-02-09 14:07:00,0.1100,0.0900,0.1100,0.1000,0.0992,0.1100,2531.00,107525.00
2026-02-09 14:08:00,0.0900,0.0900,0.1500,0.1200,0.1079,0.1000,3077.00,109095.00
2026-02-09 14:09:00,0.1300,0.1300,0.1900,0.1800,0.1582,0.1200,4679.00,111186.00
2026-02-09 14:10:00,0.2000,0.1600,0.2500,0.2500,0.2061,0.1800,11327.00,118693.00
2026-02-09 14:11:00,0.2500,0.2300,0.3300,0.3200,0.2831,0.2500,7429.00,122592.00
2026-02-09 14:12:00,0.3100,0.3000,0.3500,0.3200,0.3296,0.3200,13576.00,135756.00
2026-02-09 14:13:00,0.3300,0.3100,0.3500,0.3500,0.3294,0.3200,7733.00,141210.00
2026-02-09 14:14:00,0.3600,0.2800,0.3800,0.3000,0.3169,0.3500,7844.00,141453.00
2026-02-09 14:15:00,0.2800,0.2800,0.3900,0.3900,0.3500,0.3000,8658.00,149369.00
2026-02-09 14:16:00,0.3900,0.3900,0.5000,0.4600,0.4861,0.3900,15936.00,161821.00
2026-02-09 14:17:00,0.4600,0.3600,0.4600,0.3800,0.4255,0.4600,16637.00,173798.00
2026-02-09 14:18:00,0.4500,0.3600,0.4500,0.4100,0.3830,0.3800,6954.00,176595.00
2026-02-09 14:19:00,0.4000,0.3000,0.4900,0.4900,0.4365,0.4100,5537.00,180501.00
2026-02-09 14:20:00,0.4900,0.4500,0.5200,0.4500,0.4858,0.4900,6407.00,183722.00
2026-02-09 14:21:00,0.4700,0.4500,0.5800,0.4900,0.4909,0.4500,6848.00,189149.00
2026-02-09 14:22:00,0.4800,0.4800,0.5200,0.4900,0.5060,0.4900,8895.00,195923.00
2026-02-09 14:23:00,0.5100,0.4900,0.5300,0.5100,0.5116,0.4900,15687.00,210821.00
2026-02-09 14:24:00,0.5100,0.4600,0.5200,0.5000,0.5097,0.5100,4422.00,214615.00
2026-02-09 14:25:00,0.4800,0.4400,0.5100,0.4600,0.4962,0.5000,14709.00,227469.00
2026-02-09 14:26:00,0.4400,0.4200,0.5000,0.4200,0.4830,0.4600,2086.00,229263.00
2026-02-09 14:27:00,0.4900,0.4200,0.5000,0.4900,0.4865,0.4200,2732.00,231512.00
2026-02-09 14:28:00,0.4900,0.4200,0.6500,0.4700,0.4814,0.4900,6581.00,236327.00
2026-02-09 14:29:00,0.4600,0.4000,0.4600,0.4600,0.4234,0.4700,2485.00,237660.00
2026-02-09 14:30:00,0.4600,0.4400,0.5300,0.5300,0.4881,0.4600,3962.00,238369.00
2026-02-09 14:31:00,0.5100,0.4200,0.5300,0.4800,0.4777,0.5300,4945.00,242619.00
2026-02-09 14:32:00,0.4800,0.2800,0.4800,0.3000,0.3371,0.4800,11845.00,253074.00
2026-02-09 14:33:00,0.3000,0.2900,0.3000,0.2900,0.2974,0.3000,3227.00,255509.00
2026-02-09 14:34:00,0.2700,0.2300,0.2800,0.2400,0.2524,0.2900,1957.00,256524.00
2026-02-09 14:35:00,0.2400,0.1600,0.2400,0.2100,0.2141,0.2400,5537.00,258569.00
2026-02-09 14:36:00,0.1900,0.1900,0.2500,0.1900,0.2122,0.2100,10686.00,268199.00
2026-02-09 14:37:00,0.2000,0.1900,0.2500,0.2100,0.2175,0.1900,9879.00,276966.00
2026-02-09 14:38:00,0.2100,0.1900,0.2600,0.2600,0.2088,0.2100,3567.00,278585.00
2026-02-09 14:39:00,0.2600,0.2500,0.2800,0.2800,0.2679,0.2600,11395.00,276819.00
2026-02-09 14:40:00,0.2800,0.2600,0.3100,0.3100,0.2795,0.2800,2791.00,278903.00
2026-02-09 14:41:00,0.3200,0.2500,0.3500,0.3500,0.3247,0.3100,5586.00,281570.00
2026-02-09 14:42:00,0.3500,0.3500,0.5400,0.5100,0.4901,0.3500,9567.00,281380.00
2026-02-09 14:43:00,0.5200,0.4900,0.5200,0.5000,0.5034,0.5100,11708.00,278862.00
2026-02-09 14:44:00,0.5000,0.4900,0.5300,0.5100,0.5058,0.5000,11628.00,283992.00
2026-02-09 14:45:00,0.5000,0.3400,0.5000,0.4400,0.4269,0.5100,4643.00,287356.00
2026-02-09 14:46:00,0.4400,0.2500,0.4600,0.2700,0.3536,0.4400,7923.00,290574.00
2026-02-09 14:47:00,0.2700,0.2400,0.2800,0.2800,0.2598,0.2700,7578.00,296826.00
2026-02-09 14:48:00,0.2800,0.1800,0.2800,0.2000,0.2270,0.2800,7018.00,297267.00
2026-02-09 14:49:00,0.1800,0.1700,0.2400,0.2300,0.2190,0.2000,8111.00,299606.00
2026-02-09 14:50:00,0.2400,0.1600,0.3200,0.1700,0.2190,0.2300,4219.00,302573.00
2026-02-09 14:51:00,0.1700,0.1600,0.2300,0.2000,0.2171,0.1700,7800.00,308786.00
2026-02-09 14:52:00,0.2400,0.2000,0.2400,0.2400,0.2226,0.2000,4845.00,311707.00
2026-02-09 14:53:00,0.2100,0.1300,0.2300,0.1300,0.1713,0.2400,6106.00,314784.00
2026-02-09 14:54:00,0.1300,0.0400,0.1500,0.0500,0.0669,0.1300,13049.00,314032.00
2026-02-09 14:55:00,0.0700,0.0500,0.0700,0.0600,0.0623,0.0500,7987.00,316574.00
2026-02-09 14:56:00,0.0600,0.0300,0.0700,0.0500,0.0489,0.0600,8220.00,322931.00
2026-02-09 14:57:00,0.0500,0.0100,0.0600,0.0200,0.0295,0.0500,8612.00,321712.00
2026-02-09 14:58:00,0.0200,0.0100,0.0400,0.0300,0.0240,0.0200,7021.00,323110.00
2026-02-09 14:59:00,0.0300,0.0100,0.0300,0.0200,0.0168,0.0300,15338.00,324332.00
2026-02-09 15:00:00,0.0100,0.0100,0.0200,0.0200,0.0152,0.0200,3028.00,324424.00
2026-02-09 15:01:00,0.0300,0.0200,0.0400,0.0400,0.0360,0.0200,13298.00,328737.00
2026-02-09 15:02:00,0.0500,0.0200,0.0500,0.0500,0.0483,0.0400,4507.00,332314.00
2026-02-09 15:03:00,0.0400,0.0100,0.0500,0.0300,0.0351,0.0500,7362.00,332408.00
2026-02-09 15:04:00,0.0200,0.0100,0.0400,0.0100,0.0265,0.0300,3196.00,334978.00
2026-02-09 15:05:00,0.0200,0.0100,0.0300,0.0100,0.0202,0.0100,2309.00,336647.00
2026-02-09 15:06:00,0.0200,0.0100,0.0200,0.0200,0.0155,0.0100,948.00,336647.00
2026-02-09 15:07:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0200,560.00,336712.00
2026-02-09 15:09:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,280.00,336992.00
