end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-10 00:53:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8700,6.00,1287.00
2026-02-10 01:04:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,29.00,1316.00
2026-02-10 01:05:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,112.00,1428.00
2026-02-10 01:09:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,20.00,1448.00
2026-02-10 01:11:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,4.00,1452.00
2026-02-10 01:12:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,11.00,1463.00
2026-02-10 01:13:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,1.00,1464.00
2026-02-10 01:26:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8800,1.00,1465.00
2026-02-10 01:44:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8700,142.00,1607.00
2026-02-10 01:54:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8700,115.00,1722.00
2026-02-10 01:55:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,8.00,1730.00
2026-02-10 02:05:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,13.00,1743.00
2026-02-10 02:06:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,3.00,1746.00
2026-02-10 02:11:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8600,6.00,1746.00
2026-02-10 02:12:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8400,4.00,1750.00
2026-02-10 02:15:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,155.00,1905.00
2026-02-10 02:20:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,19.00,1924.00
2026-02-10 02:27:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8600,20.00,1944.00
2026-02-10 02:32:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8700,1.00,1945.00
2026-02-10 02:35:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8700,11.00,1956.00
2026-02-10 02:36:00,0.8600,0.8600,0.8700,0.8700,0.8642,0.8600,530.00,2486.00
2026-02-10 02:37:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8700,164.00,2650.00
2026-02-10 02:38:00,0.8700,0.8700,0.8800,0.8800,0.8736,0.8700,11.00,2661.00
2026-02-10 02:39:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8800,16.00,2677.00
2026-02-10 02:40:00,0.8800,0.8800,0.8900,0.8900,0.8823,0.8700,957.00,3634.00
2026-02-10 02:41:00,0.8900,0.8800,0.9000,0.8800,0.8881,0.8900,769.00,4368.00
2026-02-10 02:42:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,100.00,4468.00
2026-02-10 02:43:00,0.8800,0.8700,0.8800,0.8700,0.8766,0.8800,29.00,4477.00
2026-02-10 02:44:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8700,26.00,4503.00
2026-02-10 02:45:00,0.8400,0.7900,0.8400,0.7900,0.8117,0.8700,1259.00,5718.00
2026-02-10 02:46:00,0.7800,0.7500,0.7800,0.7600,0.7661,0.7900,347.00,5981.00
2026-02-10 02:47:00,0.7600,0.7600,0.8400,0.8400,0.8029,0.7600,11285.00,17172.00
2026-02-10 02:48:00,0.8400,0.8400,0.8700,0.8700,0.8501,0.8400,1089.00,18261.00
2026-02-10 02:49:00,0.8800,0.8600,0.8800,0.8600,0.8756,0.8700,1543.00,18907.00
2026-02-10 02:50:00,0.8700,0.8600,0.8800,0.8600,0.8625,0.8600,582.00,19439.00
2026-02-10 02:51:00,0.8000,0.7800,0.8200,0.8200,0.8044,0.8600,3074.00,22394.00
2026-02-10 02:52:00,0.8000,0.7800,0.8000,0.8000,0.7897,0.8200,2155.00,24509.00
2026-02-10 02:53:00,0.8000,0.8000,0.8600,0.8500,0.8309,0.8000,2120.00,26629.00
2026-02-10 02:54:00,0.8700,0.8200,0.8700,0.8500,0.8508,0.8500,758.00,27339.00
2026-02-10 02:55:00,0.8600,0.8500,0.8600,0.8500,0.8573,0.8500,78.00,27396.00
2026-02-10 02:56:00,0.8300,0.7400,0.8300,0.8200,0.7896,0.8500,826.00,27580.00
2026-02-10 02:57:00,0.8200,0.7900,0.8300,0.8200,0.8177,0.8200,1025.00,28131.00
2026-02-10 02:58:00,0.8200,0.8100,0.8200,0.8200,0.8149,0.8200,610.00,28741.00
2026-02-10 02:59:00,0.8200,0.7800,0.8200,0.8100,0.8035,0.8200,89.00,28788.00
2026-02-10 03:00:00,0.8100,0.8100,0.8400,0.8400,0.8243,0.8100,1191.00,29979.00
2026-02-10 03:01:00,0.8400,0.8400,0.8500,0.8400,0.8477,0.8400,395.00,30374.00
2026-02-10 03:02:00,0.8200,0.8100,0.8200,0.8100,0.8177,0.8400,30.00,30351.00
