end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-10 21:07:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,26.00,7828.00
2026-02-10 21:18:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0700,5.00,7833.00
2026-02-10 21:29:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0800,6.00,7839.00
2026-02-10 21:32:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,13.00,7852.00
2026-02-10 21:33:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,67.00,7919.00
2026-02-10 21:39:00,0.0600,0.0600,0.0700,0.0700,0.0636,0.0700,176.00,8095.00
2026-02-10 21:48:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,67.00,8162.00
2026-02-10 21:50:00,0.0700,0.0700,0.0800,0.0800,0.0771,0.0700,1218.00,9380.00
2026-02-10 21:54:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0800,11.00,9391.00
2026-02-10 21:55:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,26.00,9417.00
2026-02-10 21:56:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,13.00,9430.00
2026-02-10 22:00:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,100.00,9530.00
2026-02-10 22:08:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,105.00,9635.00
2026-02-10 22:10:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,26.00,9661.00
2026-02-10 22:12:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,13.00,9674.00
2026-02-10 22:13:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,40.00,9714.00
2026-02-10 22:16:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,160.00,9874.00
2026-02-10 22:18:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,1080.00,10954.00
2026-02-10 22:23:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,174.00,11128.00
2026-02-10 22:24:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,107.00,11235.00
2026-02-10 22:26:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,67.00,11302.00
2026-02-10 22:27:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,119.00,11421.00
2026-02-10 22:28:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,1072.00,12493.00
2026-02-10 22:29:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,50.00,12543.00
2026-02-10 22:30:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,53.00,12596.00
2026-02-10 22:31:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,13.00,12609.00
2026-02-10 22:32:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,78.00,12687.00
2026-02-10 22:33:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,19.00,12706.00
2026-02-10 22:35:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,201.00,12907.00
2026-02-10 22:37:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,134.00,13041.00
2026-02-10 22:38:00,0.0600,0.0500,0.0700,0.0700,0.0587,0.0700,1501.00,12682.00
2026-02-10 22:39:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,241.00,12923.00
2026-02-10 22:42:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,657.00,13580.00
2026-02-10 22:43:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,1448.00,15028.00
2026-02-10 22:48:00,0.0500,0.0500,0.0500,0.0500,0.0500,0.0700,11.00,15017.00
2026-02-10 22:49:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0500,21.00,15038.00
2026-02-10 22:50:00,0.0700,0.0700,0.0800,0.0800,0.0704,0.0700,267.00,15305.00
2026-02-10 22:51:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0800,20.00,15325.00
2026-02-10 22:54:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,157.00,15482.00
2026-02-10 22:58:00,0.0700,0.0700,0.0800,0.0800,0.0713,0.0700,264.00,15746.00
2026-02-10 22:59:00,0.0700,0.0700,0.0800,0.0700,0.0724,0.0800,178.00,15924.00
2026-02-10 23:00:00,0.0700,0.0700,0.0800,0.0800,0.0751,0.0700,125.00,16049.00
2026-02-10 23:01:00,0.0700,0.0700,0.0800,0.0800,0.0758,0.0800,217.00,16266.00
2026-02-10 23:02:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,24.00,16290.00
2026-02-10 23:03:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,46.00,16336.00
2026-02-10 23:04:00,0.0800,0.0700,0.0800,0.0800,0.0795,0.0800,981.00,17317.00
2026-02-10 23:05:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,157.00,17474.00
2026-02-10 23:07:00,0.0700,0.0700,0.0800,0.0800,0.0770,0.0800,181.00,17655.00
2026-02-10 23:08:00,0.0700,0.0700,0.0800,0.0700,0.0727,0.0800,470.00,18125.00
2026-02-10 23:09:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,159.00,18284.00
2026-02-10 23:10:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0700,86.00,18370.00
2026-02-10 23:11:00,0.0700,0.0700,0.0800,0.0800,0.0745,0.0700,201.00,18571.00
2026-02-10 23:12:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,609.00,19180.00
2026-02-10 23:13:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,1114.00,20294.00
2026-02-10 23:14:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,208.00,20502.00
2026-02-10 23:15:00,0.0800,0.0700,0.0800,0.0700,0.0715,0.0800,235.00,20737.00
2026-02-10 23:16:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0700,832.00,21569.00
2026-02-10 23:17:00,0.0700,0.0700,0.0800,0.0800,0.0716,0.0800,51.00,21620.00
2026-02-10 23:18:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,156.00,21776.00
2026-02-10 23:19:00,0.0700,0.0700,0.0800,0.0800,0.0763,0.0800,316.00,22092.00
2026-02-10 23:20:00,0.0800,0.0700,0.0800,0.0800,0.0798,0.0800,6328.00,28420.00
2026-02-10 23:21:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,807.00,29227.00
2026-02-10 23:22:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,108.00,29335.00
2026-02-10 23:23:00,0.0700,0.0700,0.0800,0.0800,0.0797,0.0800,175.00,29510.00
2026-02-10 23:24:00,0.0700,0.0700,0.0800,0.0800,0.0799,0.0800,346.00,29856.00
2026-02-10 23:25:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,436.00,30292.00
2026-02-10 23:26:00,0.0800,0.0600,0.0800,0.0700,0.0793,0.0800,726.00,31012.00
2026-02-10 23:27:00,0.0700,0.0700,0.0800,0.0700,0.0736,0.0700,2421.00,33433.00
2026-02-10 23:28:00,0.0700,0.0700,0.0800,0.0800,0.0791,0.0700,2459.00,35892.00
2026-02-10 23:29:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,1610.00,37502.00
2026-02-10 23:30:00,0.0800,0.0700,0.0900,0.0700,0.0792,0.0800,1303.00,38805.00
2026-02-10 23:31:00,0.0700,0.0700,0.0900,0.0800,0.0792,0.0700,1225.00,40030.00
2026-02-10 23:32:00,0.0700,0.0700,0.0800,0.0800,0.0764,0.0800,545.00,40575.00
2026-02-10 23:33:00,0.0800,0.0600,0.0800,0.0700,0.0746,0.0800,3380.00,43954.00
2026-02-10 23:34:00,0.0700,0.0700,0.0900,0.0800,0.0793,0.0700,1733.00,45687.00
2026-02-10 23:35:00,0.0800,0.0700,0.0900,0.0800,0.0807,0.0800,1464.00,47151.00
2026-02-10 23:36:00,0.0800,0.0600,0.1200,0.0800,0.0885,0.0800,4850.00,51774.00
2026-02-10 23:37:00,0.0800,0.0500,0.0900,0.0700,0.0616,0.0800,7402.00,59002.00
2026-02-10 23:38:00,0.0700,0.0500,0.1100,0.0700,0.0766,0.0700,9700.00,68702.00
2026-02-10 23:39:00,0.0800,0.0800,0.1300,0.0900,0.0977,0.0700,11647.00,79919.00
2026-02-10 23:40:00,0.0900,0.0800,0.1900,0.1900,0.1058,0.0900,12827.00,91971.00
2026-02-10 23:41:00,0.1200,0.1000,0.1500,0.1100,0.1232,0.1900,4973.00,96319.00
2026-02-10 23:42:00,0.1000,0.0600,0.1500,0.1000,0.0930,0.1100,9292.00,101710.00
2026-02-10 23:43:00,0.1000,0.0900,0.1000,0.1000,0.0997,0.1000,8655.00,110351.00
2026-02-10 23:44:00,0.1000,0.0600,0.1000,0.0900,0.0988,0.1000,5556.00,115907.00
2026-02-10 23:45:00,0.0900,0.0500,0.1000,0.1000,0.0870,0.0900,2706.00,117964.00
2026-02-10 23:46:00,0.1000,0.0600,0.1300,0.1100,0.0999,0.1000,6426.00,123867.00
2026-02-10 23:47:00,0.1100,0.1000,0.1300,0.1200,0.1172,0.1100,5515.00,129327.00
2026-02-10 23:48:00,0.1200,0.0900,0.1200,0.1200,0.1191,0.1200,4199.00,133410.00
2026-02-10 23:49:00,0.1200,0.1100,0.1200,0.1200,0.1186,0.1200,3643.00,136918.00
2026-02-10 23:50:00,0.1200,0.0800,0.1200,0.1100,0.1086,0.1200,6974.00,141448.00
2026-02-10 23:51:00,0.1100,0.0900,0.1200,0.1200,0.1174,0.1100,3596.00,144984.00
2026-02-10 23:52:00,0.0900,0.0800,0.1200,0.1100,0.1101,0.1200,2437.00,147181.00
2026-02-10 23:53:00,0.1100,0.0800,0.1200,0.1200,0.1183,0.1100,7587.00,154570.00
2026-02-10 23:54:00,0.1200,0.0900,0.1300,0.0900,0.1160,0.1200,2488.00,155693.00
2026-02-10 23:55:00,0.1300,0.1000,0.2600,0.1800,0.1719,0.0900,21348.00,174097.00
2026-02-10 23:56:00,0.1700,0.1200,0.1700,0.1400,0.1462,0.1800,7475.00,172527.00
2026-02-10 23:57:00,0.1300,0.1200,0.1500,0.1500,0.1424,0.1400,10614.00,183124.00
2026-02-10 23:58:00,0.1500,0.1200,0.1500,0.1300,0.1428,0.1500,10914.00,193921.00
2026-02-10 23:59:00,0.1300,0.1300,0.1500,0.1400,0.1376,0.1300,11976.00,205897.00
2026-02-11 00:00:00,0.1400,0.1100,0.1500,0.1300,0.1233,0.1400,17566.00,223406.00
2026-02-11 00:01:00,0.1300,0.1000,0.1500,0.1000,0.1315,0.1300,5429.00,226533.00
2026-02-11 00:02:00,0.1300,0.1100,0.1300,0.1300,0.1272,0.1000,9008.00,234904.00
2026-02-11 00:03:00,0.1300,0.1100,0.1400,0.1400,0.1306,0.1300,6032.00,240633.00
2026-02-11 00:04:00,0.1400,0.1100,0.1500,0.1500,0.1398,0.1400,11339.00,251855.00
2026-02-11 00:05:00,0.1300,0.1100,0.1500,0.1500,0.1418,0.1500,7369.00,258709.00
2026-02-11 00:06:00,0.1500,0.1200,0.1500,0.1500,0.1499,0.1500,6566.00,265264.00
2026-02-11 00:07:00,0.1500,0.1200,0.1500,0.1400,0.1427,0.1500,8483.00,273346.00
2026-02-11 00:08:00,0.1400,0.1200,0.1500,0.1500,0.1443,0.1400,4726.00,277006.00
2026-02-11 00:09:00,0.1500,0.1200,0.1500,0.1500,0.1484,0.1500,4150.00,280854.00
2026-02-11 00:10:00,0.1200,0.1200,0.1500,0.1500,0.1418,0.1500,5189.00,285851.00
2026-02-11 00:11:00,0.1500,0.1300,0.1800,0.1800,0.1497,0.1500,19970.00,302427.00
2026-02-11 00:12:00,0.1800,0.1600,0.2500,0.2300,0.2174,0.1800,5082.00,306513.00
2026-02-11 00:13:00,0.2300,0.1800,0.2700,0.2500,0.2432,0.2300,9769.00,312171.00
2026-02-11 00:14:00,0.2100,0.1800,0.3000,0.2600,0.2462,0.2500,8224.00,314664.00
2026-02-11 00:15:00,0.2800,0.1600,0.2800,0.2200,0.2080,0.2600,8524.00,314326.00
2026-02-11 00:16:00,0.1800,0.1600,0.2600,0.2100,0.2059,0.2200,9736.00,316983.00
2026-02-11 00:17:00,0.2100,0.1200,0.2400,0.1800,0.1414,0.2100,6642.00,317236.00
2026-02-11 00:18:00,0.1700,0.0700,0.2900,0.1300,0.1598,0.1800,31092.00,330480.00
2026-02-11 00:19:00,0.1200,0.0700,0.1200,0.1000,0.0923,0.1300,4030.00,333190.00
2026-02-11 00:20:00,0.1200,0.0900,0.1500,0.0900,0.1132,0.1000,2564.00,334937.00
2026-02-11 00:21:00,0.0900,0.0300,0.1200,0.0700,0.0567,0.0900,21640.00,352866.00
2026-02-11 00:22:00,0.0700,0.0300,0.1000,0.0900,0.0557,0.0700,20941.00,371635.00
2026-02-11 00:23:00,0.0600,0.0200,0.1100,0.0400,0.0527,0.0900,23406.00,385958.00
2026-02-11 00:24:00,0.0400,0.0200,0.0600,0.0600,0.0296,0.0400,26799.00,405750.00
2026-02-11 00:25:00,0.0600,0.0300,0.0900,0.0700,0.0644,0.0600,5387.00,406970.00
2026-02-11 00:26:00,0.0700,0.0500,0.0800,0.0500,0.0730,0.0700,2518.00,407181.00
2026-02-11 00:27:00,0.0800,0.0300,0.0800,0.0600,0.0515,0.0500,9571.00,407184.00
2026-02-11 00:28:00,0.0600,0.0500,0.0800,0.0800,0.0698,0.0600,5060.00,407540.00
2026-02-11 00:29:00,0.0600,0.0400,0.0800,0.0800,0.0786,0.0800,5758.00,407440.00
2026-02-11 00:30:00,0.0800,0.0400,0.0900,0.0800,0.0637,0.0800,9791.00,408229.00
2026-02-11 00:31:00,0.0800,0.0500,0.0900,0.0700,0.0692,0.0800,3670.00,409062.00
2026-02-11 00:32:00,0.0700,0.0400,0.0700,0.0400,0.0603,0.0700,944.00,409087.00
2026-02-11 00:33:00,0.0700,0.0400,0.0800,0.0600,0.0681,0.0400,2778.00,410489.00
2026-02-11 00:34:00,0.0500,0.0400,0.0900,0.0800,0.0723,0.0600,4593.00,411694.00
2026-02-11 00:35:00,0.0800,0.0400,0.1100,0.0700,0.0711,0.0800,4162.00,412664.00
2026-02-11 00:36:00,0.0500,0.0400,0.0600,0.0600,0.0437,0.0700,9289.00,412998.00
2026-02-11 00:37:00,0.0500,0.0500,0.0600,0.0600,0.0580,0.0600,2053.00,413000.00
2026-02-11 00:38:00,0.0600,0.0500,0.1000,0.0800,0.0651,0.0600,6551.00,416268.00
2026-02-11 00:39:00,0.0600,0.0400,0.0900,0.0800,0.0653,0.0800,3567.00,416126.00
2026-02-11 00:40:00,0.0800,0.0400,0.0800,0.0400,0.0710,0.0800,2828.00,416896.00
2026-02-11 00:41:00,0.0700,0.0400,0.0700,0.0600,0.0519,0.0400,10029.00,423335.00
2026-02-11 00:42:00,0.0400,0.0400,0.0700,0.0400,0.0611,0.0600,3946.00,424469.00
2026-02-11 00:43:00,0.0600,0.0400,0.0800,0.0400,0.0670,0.0400,2536.00,426955.00
2026-02-11 00:44:00,0.0700,0.0300,0.0700,0.0500,0.0477,0.0400,8954.00,429239.00
2026-02-11 00:45:00,0.0500,0.0300,0.0700,0.0300,0.0518,0.0500,8926.00,437276.00
2026-02-11 00:46:00,0.0300,0.0200,0.0500,0.0400,0.0324,0.0300,13464.00,439149.00
2026-02-11 00:47:00,0.0400,0.0200,0.0400,0.0400,0.0306,0.0400,8859.00,440287.00
2026-02-11 00:48:00,0.0300,0.0100,0.0300,0.0300,0.0229,0.0400,5799.00,441251.00
2026-02-11 00:49:00,0.0200,0.0100,0.0300,0.0100,0.0193,0.0300,5101.00,442736.00
2026-02-11 00:50:00,0.0200,0.0100,0.0700,0.0200,0.0420,0.0100,12867.00,444098.00
2026-02-11 00:51:00,0.0300,0.0100,0.0400,0.0300,0.0229,0.0200,10681.00,450522.00
2026-02-11 00:52:00,0.0300,0.0200,0.0300,0.0300,0.0250,0.0300,3746.00,450587.00
2026-02-11 00:53:00,0.0300,0.0200,0.0300,0.0200,0.0294,0.0300,4705.00,450597.00
2026-02-11 00:54:00,0.0300,0.0200,0.0400,0.0400,0.0260,0.0200,5275.00,451270.00
2026-02-11 00:55:00,0.0300,0.0200,0.0300,0.0300,0.0292,0.0400,3266.00,451770.00
2026-02-11 00:56:00,0.0400,0.0200,0.0400,0.0400,0.0325,0.0300,951.00,451775.00
2026-02-11 00:57:00,0.0300,0.0200,0.0400,0.0200,0.0294,0.0400,2432.00,452178.00
2026-02-11 00:58:00,0.0200,0.0100,0.0500,0.0100,0.0233,0.0200,10291.00,453230.00
2026-02-11 00:59:00,0.0200,0.0100,0.0300,0.0300,0.0212,0.0100,4177.00,452759.00
2026-02-11 01:00:00,0.0100,0.0100,0.0300,0.0100,0.0162,0.0300,5827.00,453118.00
2026-02-11 01:01:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,10.00,453108.00
2026-02-11 01:02:00,0.0100,0.0100,0.0300,0.0300,0.0164,0.0100,9562.00,453619.00
2026-02-11 01:03:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0300,2222.00,455821.00
2026-02-11 01:04:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,279.00,456100.00
2026-02-11 01:06:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,126.00,456226.00
