end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-11 01:22:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,24.00,8592.00
2026-02-11 01:23:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,635.00,9227.00
2026-02-11 01:25:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,143.00,9370.00
2026-02-11 01:26:00,0.6800,0.6500,0.6800,0.6500,0.6775,0.6800,198.00,9538.00
2026-02-11 01:27:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6500,14.00,9552.00
2026-02-11 01:30:00,0.6900,0.6800,0.6900,0.6800,0.6890,0.6900,347.00,9899.00
2026-02-11 01:32:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,11.00,9910.00
2026-02-11 01:33:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,28.00,9938.00
2026-02-11 01:37:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,25.00,9963.00
2026-02-11 01:41:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,14.00,9977.00
2026-02-11 01:42:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,159.00,10136.00
2026-02-11 01:43:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,130.00,10266.00
2026-02-11 01:44:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,25.00,10291.00
2026-02-11 01:45:00,0.6800,0.6800,0.6900,0.6900,0.6828,0.6800,524.00,10815.00
2026-02-11 01:46:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,155.00,10970.00
2026-02-11 01:47:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1610.00,12580.00
2026-02-11 01:48:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,731.00,13311.00
2026-02-11 01:49:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,36.00,13347.00
2026-02-11 01:50:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,159.00,13506.00
2026-02-11 01:51:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,111.00,13617.00
2026-02-11 01:53:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,300.00,13917.00
2026-02-11 01:54:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,141.00,14058.00
2026-02-11 01:55:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,903.00,14961.00
2026-02-11 01:56:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,2.00,14963.00
2026-02-11 01:57:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,11.00,14974.00
2026-02-11 01:59:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,19.00,14993.00
2026-02-11 02:00:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,405.00,15398.00
2026-02-11 02:01:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1.00,15399.00
2026-02-11 02:02:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,8.00,15407.00
2026-02-11 02:03:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,177.00,15584.00
2026-02-11 02:04:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,307.00,15891.00
2026-02-11 02:05:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,600.00,16491.00
2026-02-11 02:06:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,14.00,16505.00
2026-02-11 02:07:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,78.00,16583.00
2026-02-11 02:09:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,176.00,16759.00
2026-02-11 02:10:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,8.00,16767.00
2026-02-11 02:11:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1.00,16768.00
2026-02-11 02:12:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,268.00,16982.00
2026-02-11 02:14:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,91.00,17073.00
2026-02-11 02:17:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,70.00,17143.00
2026-02-11 02:19:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,6.00,17149.00
2026-02-11 02:20:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,426.00,17575.00
2026-02-11 02:22:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,4.00,17579.00
2026-02-11 02:23:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,1.00,17580.00
2026-02-11 02:26:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,16.00,17596.00
2026-02-11 02:27:00,0.6700,0.6700,0.6900,0.6900,0.6810,0.6900,51.00,17601.00
2026-02-11 02:29:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,65.00,17666.00
2026-02-11 02:33:00,0.6900,0.6900,0.7100,0.7100,0.6994,0.6900,3501.00,21167.00
2026-02-11 02:34:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7100,27.00,21194.00
2026-02-11 02:35:00,0.6900,0.6900,0.7000,0.7000,0.6992,0.7000,700.00,21894.00
2026-02-11 02:36:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,14.00,21908.00
2026-02-11 02:39:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,27.00,21935.00
2026-02-11 02:40:00,0.6900,0.6900,0.7000,0.7000,0.6917,0.7000,70.00,22005.00
2026-02-11 02:41:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,13.00,22018.00
2026-02-11 02:45:00,0.6900,0.6900,0.7000,0.7000,0.6997,0.7000,2107.00,24125.00
2026-02-11 02:46:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7000,69.00,24194.00
2026-02-11 02:47:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,144.00,24338.00
2026-02-11 02:48:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,20.00,24358.00
2026-02-11 02:49:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,6.00,24364.00
2026-02-11 02:50:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,52.00,24416.00
2026-02-11 02:54:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,91.00,24507.00
