end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-13 23:01:00,,,,,,0.4300,0.00,1147.00
2026-02-13 23:02:00,,,,,,0.4300,0.00,1147.00
2026-02-13 23:03:00,,,,,,0.4300,0.00,1147.00
2026-02-13 23:04:00,,,,,,0.4300,0.00,1147.00
2026-02-13 23:05:00,,,,,,0.4300,0.00,1147.00
2026-02-13 23:06:00,,,,,,0.4300,0.00,1147.00
2026-02-13 23:07:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,2.00,1149.00
2026-02-13 23:08:00,,,,,,0.4300,0.00,1149.00
2026-02-13 23:14:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,12.00,1161.00
2026-02-13 23:15:00,,,,,,0.4300,0.00,1161.00
2026-02-13 23:16:00,,,,,,0.4300,0.00,1161.00
2026-02-13 23:17:00,,,,,,0.4300,0.00,1161.00
2026-02-13 23:18:00,,,,,,0.4300,0.00,1161.00
2026-02-13 23:19:00,,,,,,0.4300,0.00,1161.00
2026-02-13 23:20:00,,,,,,0.4300,0.00,1161.00
2026-02-13 23:22:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,4.00,1165.00
2026-02-13 23:24:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,11.00,1176.00
2026-02-13 23:32:00,,,,,,0.4300,0.00,1176.00
2026-02-13 23:33:00,,,,,,0.4300,0.00,1176.00
2026-02-13 23:40:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4300,2.00,1178.00
2026-02-13 23:43:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,64.00,1242.00
2026-02-13 23:48:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,21.00,1263.00
2026-02-13 23:50:00,,,,,,0.4500,0.00,1263.00
2026-02-13 23:51:00,,,,,,0.4500,0.00,1263.00
2026-02-13 23:54:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,21.00,1284.00
2026-02-13 23:56:00,,,,,,0.4500,0.00,1284.00
2026-02-13 23:57:00,,,,,,0.4500,0.00,1284.00
2026-02-13 23:58:00,,,,,,0.4500,0.00,1284.00
2026-02-13 23:59:00,,,,,,0.4500,0.00,1284.00
2026-02-14 00:00:00,,,,,,0.4500,0.00,1284.00
2026-02-14 00:01:00,,,,,,0.4500,0.00,1284.00
