end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-16 21:23:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,500.00,5669.00
2026-02-16 21:24:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4700,10.00,5679.00
2026-02-16 21:25:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,25.00,5704.00
2026-02-16 21:28:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,6.00,5710.00
2026-02-16 21:29:00,,,,,,0.4800,0.00,5710.00
2026-02-16 21:30:00,,,,,,0.4800,0.00,5710.00
2026-02-16 21:31:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,17.00,5727.00
2026-02-16 21:38:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,5.00,5732.00
2026-02-16 21:41:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4700,10.00,5742.00
2026-02-16 21:47:00,,,,,,0.4800,0.00,5742.00
2026-02-16 21:48:00,,,,,,0.4800,0.00,5742.00
2026-02-16 21:49:00,,,,,,0.4800,0.00,5742.00
2026-02-16 21:50:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,10.00,5752.00
2026-02-16 21:53:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,27.00,5779.00
2026-02-16 21:56:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,73.00,5837.00
2026-02-16 21:57:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,55.00,5862.00
2026-02-16 21:58:00,,,,,,0.4700,0.00,5862.00
2026-02-16 22:00:00,0.4700,0.4500,0.4700,0.4500,0.4600,0.4700,182.00,5862.00
2026-02-16 22:02:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4500,58.00,5920.00
2026-02-16 22:03:00,,,,,,0.4700,0.00,5920.00
2026-02-16 22:04:00,,,,,,0.4700,0.00,5920.00
2026-02-16 22:05:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,4.00,5924.00
2026-02-16 22:06:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1280.00,7204.00
2026-02-16 22:07:00,,,,,,0.4600,0.00,7204.00
