end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-16 23:33:00,0.7000,0.7000,0.7100,0.7100,0.7082,0.7100,77.00,14014.00
2026-02-16 23:34:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,52.00,14066.00
2026-02-16 23:35:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,12.00,14078.00
2026-02-16 23:36:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,43.00,14121.00
2026-02-16 23:37:00,,,,,,0.7100,0.00,14121.00
2026-02-16 23:38:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,2.00,14123.00
2026-02-16 23:39:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,29.00,14152.00
2026-02-16 23:40:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,6.00,14158.00
2026-02-16 23:42:00,0.7100,0.7100,0.7400,0.7100,0.7254,0.7100,2949.00,17107.00
2026-02-16 23:43:00,0.7100,0.7100,0.7200,0.7200,0.7141,0.7100,462.00,17569.00
2026-02-16 23:44:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7200,197.00,17569.00
2026-02-16 23:45:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,27.00,17596.00
2026-02-16 23:48:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,207.00,17803.00
2026-02-16 23:52:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,20.00,17823.00
2026-02-16 23:53:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,31.00,17854.00
2026-02-16 23:54:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,69.00,17923.00
2026-02-16 23:55:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,135.00,18058.00
2026-02-16 23:56:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,71.00,18129.00
2026-02-16 23:59:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,18.00,18147.00
2026-02-17 00:02:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,4.00,18151.00
2026-02-17 00:05:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,1.00,18152.00
2026-02-17 00:06:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,86.00,18238.00
2026-02-17 00:07:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,54.00,18292.00
2026-02-17 00:11:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,290.00,18582.00
2026-02-17 00:13:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,54.00,18636.00
2026-02-17 00:14:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,15.00,18651.00
2026-02-17 00:16:00,0.7000,0.7000,0.7100,0.7100,0.7072,0.7100,47.00,18672.00
2026-02-17 00:18:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,69.00,18741.00
2026-02-17 00:20:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,55.00,18796.00
2026-02-17 00:24:00,0.7100,0.7100,0.7300,0.7300,0.7237,0.7100,1015.00,19811.00
2026-02-17 00:25:00,,,,,,0.7300,0.00,19811.00
2026-02-17 00:26:00,,,,,,0.7300,0.00,19811.00
2026-02-17 00:28:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7300,34.00,19845.00
2026-02-17 00:29:00,0.7100,0.7000,0.7100,0.7100,0.7096,0.7100,187.00,20025.00
2026-02-17 00:30:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,55.00,20080.00
2026-02-17 00:31:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,38.00,20118.00
2026-02-17 00:32:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,89.00,20207.00
2026-02-17 00:33:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,33.00,20240.00
2026-02-17 00:34:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,27.00,20267.00
2026-02-17 00:35:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,22.00,20289.00
