end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-18 15:11:00,,,,,,0.2600,0.00,95.00
2026-02-18 15:12:00,,,,,,0.2600,0.00,95.00
2026-02-18 15:13:00,,,,,,0.2600,0.00,95.00
2026-02-18 15:14:00,,,,,,0.2600,0.00,95.00
2026-02-18 15:15:00,,,,,,0.2600,0.00,95.00
2026-02-18 15:16:00,,,,,,0.2600,0.00,95.00
2026-02-18 15:17:00,,,,,,0.2600,0.00,95.00
2026-02-18 15:18:00,,,,,,0.2600,0.00,95.00
2026-02-18 15:19:00,,,,,,0.2600,0.00,95.00
2026-02-18 15:20:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,33.00,128.00
2026-02-18 15:21:00,,,,,,0.2600,0.00,128.00
2026-02-18 15:22:00,,,,,,0.2600,0.00,128.00
2026-02-18 15:23:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,36.00,164.00
2026-02-18 15:24:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:25:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:26:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:27:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:28:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:29:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:30:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:31:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:32:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:33:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:34:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:35:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:36:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:37:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:38:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:39:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:40:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:41:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:42:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:43:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:44:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:45:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:46:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:47:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:48:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:49:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:50:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:51:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:52:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:53:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:54:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:55:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:56:00,,,,,,0.2600,0.00,164.00
2026-02-18 15:57:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2600,9.00,173.00
2026-02-18 15:58:00,,,,,,0.2500,0.00,173.00
2026-02-18 15:59:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:00:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:01:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:02:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:03:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:04:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:05:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:06:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:07:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:08:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:09:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:10:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:11:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:12:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:13:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:14:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:15:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:16:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:17:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:18:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:19:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:20:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:21:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:22:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:23:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:24:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:25:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:26:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:27:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:28:00,,,,,,0.2500,0.00,173.00
2026-02-18 16:30:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2500,9.00,182.00
2026-02-18 16:35:00,0.2700,0.2700,0.2800,0.2800,0.2762,0.2700,1722.00,1903.00
2026-02-18 16:36:00,,,,,,0.2800,0.00,1903.00
2026-02-18 16:39:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2800,10.00,1913.00
2026-02-18 16:41:00,,,,,,0.2700,0.00,1913.00
2026-02-18 16:42:00,0.2700,0.2600,0.2700,0.2600,0.2642,0.2700,157.00,2070.00
2026-02-18 16:43:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,15.00,2085.00
2026-02-18 16:44:00,,,,,,0.2600,0.00,2085.00
2026-02-18 16:45:00,0.2600,0.2600,0.2800,0.2800,0.2661,0.2600,361.00,2446.00
2026-02-18 16:46:00,0.2800,0.2700,0.2800,0.2700,0.2797,0.2800,353.00,2799.00
2026-02-18 16:47:00,,,,,,0.2700,0.00,2799.00
2026-02-18 16:48:00,,,,,,0.2700,0.00,2799.00
2026-02-18 16:49:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,15.00,2814.00
2026-02-18 16:50:00,,,,,,0.2700,0.00,2814.00
2026-02-18 16:51:00,0.2700,0.2700,0.2800,0.2800,0.2794,0.2700,18.00,2832.00
2026-02-18 16:52:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,243.00,3075.00
2026-02-18 16:53:00,0.2800,0.2700,0.2900,0.2900,0.2846,0.2800,878.00,3953.00
2026-02-18 16:54:00,0.2700,0.2500,0.2800,0.2600,0.2673,0.2900,1033.00,4986.00
2026-02-18 16:55:00,0.2400,0.1900,0.2500,0.2500,0.2372,0.2600,460.00,5411.00
2026-02-18 16:56:00,0.2500,0.1800,0.2500,0.2000,0.2131,0.2500,346.00,5523.00
2026-02-18 16:57:00,0.2400,0.2400,0.2700,0.2500,0.2566,0.2000,6020.00,11543.00
2026-02-18 16:58:00,0.2400,0.2100,0.2400,0.2400,0.2229,0.2500,3057.00,12326.00
2026-02-18 16:59:00,0.2500,0.2500,0.3100,0.2900,0.2829,0.2400,1632.00,12594.00
2026-02-18 17:00:00,0.2900,0.2700,0.2900,0.2800,0.2898,0.2900,1055.00,13643.00
2026-02-18 17:01:00,0.2700,0.2700,0.3400,0.2700,0.2785,0.2800,1246.00,14864.00
2026-02-18 17:02:00,0.2500,0.2400,0.2500,0.2400,0.2440,0.2700,174.00,15038.00
2026-02-18 17:03:00,0.2300,0.2300,0.2700,0.2700,0.2504,0.2400,1674.00,16067.00
2026-02-18 17:04:00,0.2700,0.2700,0.3000,0.2900,0.2911,0.2700,7544.00,23501.00
2026-02-18 17:05:00,0.3000,0.2900,0.3000,0.2900,0.2945,0.2900,1103.00,24604.00
2026-02-18 17:06:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2900,184.00,24788.00
2026-02-18 17:07:00,0.2800,0.2700,0.3000,0.3000,0.2792,0.2800,492.00,25270.00
2026-02-18 17:08:00,0.2800,0.2500,0.2900,0.2900,0.2801,0.3000,315.00,25577.00
2026-02-18 17:09:00,0.2900,0.2700,0.3200,0.3200,0.3133,0.2900,826.00,26380.00
2026-02-18 17:10:00,0.3400,0.3000,0.3400,0.3100,0.3037,0.3200,295.00,26508.00
2026-02-18 17:11:00,0.3200,0.2900,0.3300,0.3000,0.3094,0.3100,400.00,26894.00
2026-02-18 17:12:00,0.2900,0.2700,0.2900,0.2700,0.2878,0.3000,1097.00,27964.00
2026-02-18 17:13:00,0.2900,0.2300,0.2900,0.2900,0.2798,0.2700,343.00,28281.00
2026-02-18 17:14:00,0.3000,0.3000,0.3200,0.3200,0.3004,0.2900,720.00,29001.00
2026-02-18 17:15:00,0.2800,0.2800,0.3300,0.3300,0.2958,0.3200,226.00,29217.00
2026-02-18 17:16:00,0.3100,0.3000,0.3400,0.3200,0.3223,0.3300,298.00,29301.00
2026-02-18 17:17:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,111.00,29412.00
2026-02-18 17:18:00,0.3600,0.2800,0.3600,0.3400,0.3180,0.3200,388.00,29437.00
2026-02-18 17:19:00,0.3700,0.3600,0.4700,0.4700,0.3968,0.3400,2339.00,30502.00
2026-02-18 17:20:00,0.5000,0.4900,0.5400,0.5400,0.5241,0.4700,3902.00,33642.00
2026-02-18 17:21:00,0.5500,0.5400,0.8400,0.6300,0.6231,0.5400,19524.00,52415.00
2026-02-18 17:22:00,0.6000,0.6000,0.6200,0.6100,0.6062,0.6300,1064.00,52252.00
2026-02-18 17:23:00,0.6100,0.5400,0.6100,0.5700,0.5797,0.6100,601.00,52606.00
2026-02-18 17:24:00,0.5700,0.5500,0.6100,0.5500,0.5853,0.5700,3286.00,54190.00
2026-02-18 17:25:00,0.5500,0.5400,0.6200,0.5600,0.5622,0.5500,1016.00,54254.00
2026-02-18 17:26:00,0.5400,0.5400,0.5900,0.5600,0.5454,0.5600,522.00,54686.00
2026-02-18 17:27:00,0.5600,0.5300,0.6000,0.6000,0.5691,0.5600,3005.00,56796.00
2026-02-18 17:28:00,0.6100,0.5900,0.6400,0.5900,0.6210,0.6000,3873.00,59311.00
2026-02-18 17:29:00,0.6400,0.6200,0.6600,0.6400,0.6391,0.5900,2287.00,59798.00
2026-02-18 17:30:00,0.6300,0.6000,0.6300,0.6300,0.6265,0.6400,642.00,60290.00
2026-02-18 17:31:00,0.6000,0.5800,0.6500,0.5800,0.6042,0.6300,2343.00,62115.00
2026-02-18 17:32:00,0.5800,0.5100,0.5900,0.5700,0.5746,0.5800,4579.00,64786.00
2026-02-18 17:33:00,0.5900,0.5100,0.6000,0.5800,0.5754,0.5700,8957.00,71666.00
2026-02-18 17:34:00,0.5800,0.5800,0.6100,0.5900,0.5873,0.5800,10601.00,75145.00
2026-02-18 17:35:00,0.5900,0.5500,0.5900,0.5900,0.5725,0.5900,1313.00,76358.00
2026-02-18 17:36:00,0.5900,0.5500,0.6100,0.6100,0.5865,0.5900,1994.00,78300.00
2026-02-18 17:37:00,0.5600,0.5600,0.6100,0.6100,0.6048,0.6100,855.00,79047.00
2026-02-18 17:38:00,0.6200,0.5700,0.7300,0.6600,0.6583,0.6100,4130.00,82514.00
2026-02-18 17:39:00,0.6600,0.5600,0.6600,0.6200,0.6281,0.6600,26943.00,108465.00
2026-02-18 17:40:00,0.6200,0.6000,0.7300,0.7200,0.6641,0.6200,3410.00,111351.00
2026-02-18 17:41:00,0.7100,0.6500,0.7400,0.7200,0.6810,0.7200,15356.00,126243.00
