end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-18 15:20:00,,,,,,0.7600,0.00,245.00
2026-02-18 15:23:00,,,,,,0.7600,0.00,245.00
2026-02-18 15:26:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,27.00,272.00
2026-02-18 15:37:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,6.00,278.00
2026-02-18 15:38:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,1.00,279.00
2026-02-18 15:42:00,0.7600,0.7600,0.7700,0.7700,0.7619,0.7600,129.00,408.00
2026-02-18 15:44:00,,,,,,0.7700,0.00,408.00
2026-02-18 15:45:00,,,,,,0.7700,0.00,408.00
2026-02-18 15:46:00,,,,,,0.7700,0.00,408.00
2026-02-18 15:50:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7700,13.00,421.00
2026-02-18 15:57:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,9.00,430.00
2026-02-18 15:58:00,,,,,,0.7600,0.00,430.00
2026-02-18 15:59:00,,,,,,0.7600,0.00,430.00
2026-02-18 16:02:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7600,16.00,446.00
2026-02-18 16:05:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,1.00,447.00
2026-02-18 16:07:00,,,,,,0.7500,0.00,447.00
2026-02-18 16:09:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,25.00,472.00
2026-02-18 16:10:00,0.7500,0.7500,0.7600,0.7600,0.7550,0.7500,8.00,480.00
2026-02-18 16:21:00,,,,,,0.7600,0.00,480.00
2026-02-18 16:24:00,,,,,,0.7600,0.00,480.00
2026-02-18 16:26:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,100.00,580.00
2026-02-18 16:29:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,31.00,611.00
2026-02-18 16:35:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,644.00,1255.00
2026-02-18 16:36:00,,,,,,0.7600,0.00,1255.00
