end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-20 01:02:00,,,,,,0.6100,0.00,24447.00
2026-02-20 01:04:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,1.00,24448.00
2026-02-20 01:05:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,14.00,24462.00
2026-02-20 01:07:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,7.00,24469.00
2026-02-20 01:08:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,7.00,24476.00
2026-02-20 01:09:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,55.00,24531.00
2026-02-20 01:10:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,135.00,24666.00
2026-02-20 01:11:00,,,,,,0.6100,0.00,24666.00
2026-02-20 01:12:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,63.00,24729.00
2026-02-20 01:13:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,3.00,24732.00
2026-02-20 01:14:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,31.00,24763.00
2026-02-20 01:15:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,3.00,24766.00
2026-02-20 01:16:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,36.00,24802.00
2026-02-20 01:17:00,0.6100,0.6000,0.6200,0.6200,0.6125,0.6100,2194.00,26996.00
2026-02-20 01:18:00,0.6000,0.5900,0.6100,0.6100,0.5995,0.6200,61.00,27057.00
2026-02-20 01:19:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,21.00,27078.00
2026-02-20 01:20:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,409.00,27487.00
2026-02-20 01:21:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,57.00,27541.00
2026-02-20 01:22:00,0.6100,0.6100,0.6300,0.6200,0.6178,0.6100,1072.00,28598.00
2026-02-20 01:23:00,0.6200,0.6100,0.6200,0.6100,0.6149,0.6200,162.00,28760.00
2026-02-20 01:24:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,7.00,28767.00
2026-02-20 01:25:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,33.00,28800.00
2026-02-20 01:26:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,9.00,28809.00
2026-02-20 01:27:00,,,,,,0.6100,0.00,28809.00
2026-02-20 01:28:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6100,14.00,28823.00
2026-02-20 01:29:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,1752.00,30540.00
2026-02-20 01:30:00,0.6000,0.6000,0.6200,0.6200,0.6113,0.6000,1203.00,31743.00
2026-02-20 01:31:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,87.00,31830.00
2026-02-20 01:32:00,0.5800,0.5800,0.6200,0.6200,0.5987,0.6100,135.00,31909.00
2026-02-20 01:33:00,0.6200,0.6100,0.6300,0.6300,0.6203,0.6200,857.00,32766.00
2026-02-20 01:34:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.6300,45.00,32766.00
2026-02-20 01:35:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,114.00,32766.00
2026-02-20 01:36:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.5800,339.00,33105.00
2026-02-20 01:37:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,31.00,33136.00
2026-02-20 01:38:00,,,,,,0.6100,0.00,33136.00
2026-02-20 01:39:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,214.00,33350.00
2026-02-20 01:40:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,3.00,33353.00
2026-02-20 01:41:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,15.00,33368.00
2026-02-20 01:42:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,12.00,33380.00
2026-02-20 01:43:00,,,,,,0.6100,0.00,33380.00
2026-02-20 01:44:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,385.00,33765.00
2026-02-20 01:45:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,689.00,34454.00
2026-02-20 01:46:00,0.6100,0.6100,0.6300,0.6200,0.6155,0.6100,1880.00,36334.00
2026-02-20 01:47:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,1356.00,37690.00
2026-02-20 01:48:00,0.6200,0.6200,0.6300,0.6200,0.6206,0.6200,1620.00,39295.00
2026-02-20 01:49:00,0.6200,0.6200,0.6300,0.6200,0.6229,0.6200,349.00,39644.00
2026-02-20 01:50:00,0.6200,0.6200,0.6300,0.6200,0.6200,0.6200,2159.00,41803.00
2026-02-20 01:51:00,0.6300,0.6200,0.6300,0.6300,0.6295,0.6200,291.00,42094.00
2026-02-20 01:52:00,0.6200,0.6200,0.6300,0.6300,0.6213,0.6300,1153.00,43247.00
2026-02-20 01:53:00,0.6200,0.6200,0.6300,0.6200,0.6221,0.6300,377.00,43624.00
2026-02-20 01:54:00,0.6200,0.6200,0.6300,0.6200,0.6218,0.6200,1026.00,44650.00
2026-02-20 01:55:00,,,,,,0.6200,0.00,44650.00
2026-02-20 01:56:00,0.6200,0.6200,0.6300,0.6200,0.6212,0.6200,124.00,44774.00
2026-02-20 01:57:00,0.6200,0.6200,0.6300,0.6300,0.6201,0.6200,1003.00,45777.00
2026-02-20 01:58:00,0.6200,0.6200,0.6300,0.6300,0.6281,0.6300,391.00,46168.00
2026-02-20 01:59:00,0.6200,0.6200,0.6300,0.6200,0.6200,0.6300,9818.00,55986.00
2026-02-20 02:00:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6200,2386.00,55988.00
2026-02-20 02:01:00,,,,,,0.6300,0.00,55988.00
2026-02-20 02:02:00,0.6200,0.6200,0.6300,0.6200,0.6267,0.6300,309.00,56297.00
2026-02-20 02:03:00,0.6200,0.6200,0.6300,0.6200,0.6213,0.6200,507.00,56804.00
2026-02-20 02:04:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6200,223.00,57027.00
2026-02-20 02:05:00,0.6200,0.6200,0.6300,0.6200,0.6244,0.6300,6114.00,63141.00
2026-02-20 02:06:00,0.6200,0.6000,0.6300,0.6000,0.6184,0.6200,1238.00,64379.00
2026-02-20 02:07:00,0.5700,0.5300,0.6200,0.6100,0.5970,0.6000,4322.00,68532.00
2026-02-20 02:08:00,0.6100,0.6000,0.6600,0.6200,0.6220,0.6100,7767.00,76299.00
2026-02-20 02:09:00,0.6100,0.5800,0.6200,0.5900,0.6138,0.6200,3348.00,79633.00
2026-02-20 02:10:00,0.5700,0.5400,0.6100,0.5500,0.5554,0.5900,7646.00,87239.00
2026-02-20 02:11:00,0.5400,0.5200,0.5500,0.5300,0.5356,0.5500,1875.00,89069.00
2026-02-20 02:12:00,0.5300,0.4600,0.5300,0.4600,0.4928,0.5300,7344.00,96388.00
2026-02-20 02:13:00,0.4900,0.4300,0.5400,0.5300,0.5187,0.4600,5844.00,101333.00
2026-02-20 02:14:00,0.5300,0.5300,0.5700,0.5600,0.5483,0.5300,22855.00,122413.00
2026-02-20 02:15:00,0.5600,0.5300,0.5900,0.5400,0.5705,0.5600,21062.00,143469.00
2026-02-20 02:16:00,0.5300,0.5000,0.5600,0.5300,0.5156,0.5400,8381.00,148755.00
2026-02-20 02:17:00,0.5200,0.5000,0.5500,0.5000,0.5208,0.5300,9483.00,158238.00
2026-02-20 02:18:00,0.5000,0.4900,0.5100,0.5100,0.5043,0.5000,18890.00,176788.00
2026-02-20 02:19:00,0.5100,0.5000,0.5200,0.5200,0.5078,0.5100,4126.00,179148.00
2026-02-20 02:20:00,0.5300,0.5200,0.5600,0.5300,0.5377,0.5200,15641.00,194613.00
2026-02-20 02:21:00,0.5300,0.4800,0.5400,0.4800,0.4936,0.5300,14636.00,209225.00
2026-02-20 02:22:00,0.4800,0.4100,0.5000,0.4800,0.4605,0.4800,16894.00,224834.00
2026-02-20 02:23:00,0.4800,0.4700,0.5200,0.5100,0.4905,0.4800,18229.00,241071.00
2026-02-20 02:24:00,0.5100,0.4700,0.5100,0.5100,0.4912,0.5100,14842.00,255562.00
2026-02-20 02:25:00,0.5100,0.5100,0.5500,0.5500,0.5305,0.5100,7996.00,261111.00
2026-02-20 02:26:00,0.5300,0.5000,0.5500,0.5500,0.5193,0.5500,3963.00,264440.00
2026-02-20 02:27:00,0.5700,0.5300,0.6200,0.5500,0.5615,0.5500,15920.00,280067.00
2026-02-20 02:28:00,0.5500,0.5300,0.6200,0.6200,0.5817,0.5500,3458.00,283125.00
2026-02-20 02:29:00,0.6200,0.6100,0.7000,0.6900,0.6763,0.6200,10404.00,288662.00
2026-02-20 02:30:00,0.6900,0.6800,0.6900,0.6800,0.6878,0.6900,2446.00,290562.00
2026-02-20 02:31:00,0.6900,0.6600,0.7100,0.6700,0.6867,0.6800,7052.00,289206.00
2026-02-20 02:32:00,0.6700,0.6500,0.7200,0.7100,0.7001,0.6700,7186.00,293305.00
2026-02-20 02:33:00,0.7100,0.6700,0.7200,0.7000,0.6989,0.7100,1426.00,294504.00
2026-02-20 02:34:00,0.7000,0.6700,0.7300,0.7200,0.7130,0.7000,5838.00,297708.00
2026-02-20 02:35:00,0.7100,0.6800,0.7200,0.6800,0.7115,0.7200,4370.00,298355.00
2026-02-20 02:36:00,0.6800,0.6700,0.7000,0.6900,0.6879,0.6800,2247.00,299590.00
