end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-20 00:12:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,21.00,1824.00
2026-02-20 00:15:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,2.00,1826.00
2026-02-20 00:18:00,,,,,,0.4500,0.00,1826.00
2026-02-20 00:21:00,,,,,,0.4500,0.00,1826.00
2026-02-20 00:22:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4500,10.00,1836.00
2026-02-20 00:23:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4400,10.00,1846.00
2026-02-20 00:24:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4500,6.00,1852.00
2026-02-20 00:26:00,0.4400,0.4000,0.4400,0.4000,0.4034,0.4400,125.00,1947.00
2026-02-20 00:27:00,0.4400,0.4400,0.4500,0.4500,0.4482,0.4000,118.00,2065.00
2026-02-20 00:37:00,,,,,,0.4500,0.00,2065.00
2026-02-20 00:38:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4500,529.00,2594.00
2026-02-20 00:40:00,,,,,,0.4300,0.00,2594.00
2026-02-20 00:41:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4300,21.00,2615.00
2026-02-20 00:42:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4400,3.00,2618.00
2026-02-20 00:43:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,7.00,2625.00
2026-02-20 00:44:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4000,220.00,2845.00
2026-02-20 00:46:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4300,20.00,2865.00
2026-02-20 00:47:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,6.00,2871.00
2026-02-20 00:51:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,3.00,2874.00
2026-02-20 00:55:00,,,,,,0.4000,0.00,2874.00
2026-02-20 00:56:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,2.00,2874.00
2026-02-20 00:58:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4000,2.00,2876.00
2026-02-20 01:01:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,109.00,2985.00
2026-02-20 01:02:00,,,,,,0.4400,0.00,2985.00
2026-02-20 01:03:00,,,,,,0.4400,0.00,2985.00
2026-02-20 01:04:00,,,,,,0.4400,0.00,2985.00
