end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-20 08:29:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:33:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:34:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:35:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:36:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:37:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:38:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:39:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:40:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:41:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:42:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:43:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:44:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:49:00,,,,,,0.3100,0.00,1208.00
2026-02-20 08:50:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3100,7.00,1215.00
2026-02-20 08:51:00,,,,,,0.3200,0.00,1215.00
2026-02-20 08:52:00,,,,,,0.3200,0.00,1215.00
2026-02-20 08:53:00,,,,,,0.3200,0.00,1215.00
2026-02-20 08:54:00,,,,,,0.3200,0.00,1215.00
2026-02-20 08:55:00,,,,,,0.3200,0.00,1215.00
2026-02-20 08:56:00,,,,,,0.3200,0.00,1215.00
2026-02-20 08:57:00,,,,,,0.3200,0.00,1215.00
2026-02-20 08:58:00,,,,,,0.3200,0.00,1215.00
2026-02-20 08:59:00,,,,,,0.3200,0.00,1215.00
2026-02-20 09:00:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,14.00,1229.00
2026-02-20 09:01:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,302.00,1531.00
2026-02-20 09:02:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,298.00,1829.00
2026-02-20 09:03:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,372.00,2201.00
2026-02-20 09:04:00,,,,,,0.3200,0.00,2201.00
2026-02-20 09:05:00,,,,,,0.3200,0.00,2201.00
2026-02-20 09:07:00,0.3200,0.3200,0.3400,0.3400,0.3261,0.3200,1044.00,3245.00
2026-02-20 09:11:00,,,,,,0.3400,0.00,3245.00
2026-02-20 09:12:00,,,,,,0.3400,0.00,3245.00
2026-02-20 09:13:00,,,,,,0.3400,0.00,3245.00
2026-02-20 09:14:00,,,,,,0.3400,0.00,3245.00
2026-02-20 09:15:00,,,,,,0.3400,0.00,3245.00
2026-02-20 09:16:00,,,,,,0.3400,0.00,3245.00
2026-02-20 09:20:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3400,13.00,3258.00
2026-02-20 09:21:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,42.00,3300.00
2026-02-20 09:26:00,,,,,,0.3500,0.00,3300.00
2026-02-20 09:27:00,,,,,,0.3500,0.00,3300.00
2026-02-20 09:28:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3500,2.00,3302.00
2026-02-20 09:31:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,328.00,3630.00
2026-02-20 09:33:00,,,,,,0.3600,0.00,3630.00
2026-02-20 09:37:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,239.00,3869.00
2026-02-20 09:39:00,,,,,,0.3600,0.00,3869.00
2026-02-20 09:40:00,0.3600,0.3600,0.3700,0.3700,0.3656,0.3600,2282.00,5403.00
2026-02-20 09:42:00,,,,,,0.3700,0.00,5403.00
