end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-25 09:32:00,,,,,,0.6600,0.00,2574.00
2026-02-25 09:33:00,,,,,,0.6600,0.00,2574.00
2026-02-25 09:34:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,36.00,2610.00
2026-02-25 09:35:00,,,,,,0.6600,0.00,2610.00
2026-02-25 09:36:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,7.00,2617.00
2026-02-25 09:37:00,,,,,,0.6600,0.00,2617.00
2026-02-25 09:39:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,400.00,3017.00
2026-02-25 09:41:00,,,,,,0.6600,0.00,3017.00
2026-02-25 09:42:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,20.00,3037.00
2026-02-25 09:44:00,,,,,,0.6600,0.00,3037.00
2026-02-25 09:45:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,7.00,3044.00
2026-02-25 09:47:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,125.00,3169.00
2026-02-25 09:51:00,,,,,,0.6600,0.00,3169.00
2026-02-25 09:52:00,,,,,,0.6600,0.00,3169.00
2026-02-25 09:53:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,14.00,3183.00
2026-02-25 09:58:00,,,,,,0.6600,0.00,3183.00
2026-02-25 10:00:00,,,,,,0.6600,0.00,3183.00
2026-02-25 10:01:00,,,,,,0.6600,0.00,3183.00
2026-02-25 10:03:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,74.00,3257.00
2026-02-25 10:05:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,176.00,3433.00
2026-02-25 10:09:00,,,,,,0.6600,0.00,3433.00
2026-02-25 10:11:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6600,7.00,3440.00
2026-02-25 10:12:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,155.00,3595.00
2026-02-25 10:13:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,166.00,3761.00
2026-02-25 10:15:00,,,,,,0.6700,0.00,3761.00
2026-02-25 10:19:00,,,,,,0.6700,0.00,3761.00
2026-02-25 10:20:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1.00,3762.00
2026-02-25 10:21:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,70.00,3832.00
2026-02-25 10:22:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1226.00,5058.00
2026-02-25 10:23:00,0.6700,0.6500,0.6700,0.6500,0.6655,0.6700,689.00,5647.00
2026-02-25 10:24:00,0.6500,0.6100,0.6600,0.6200,0.6485,0.6500,149.00,5796.00
2026-02-25 10:25:00,0.6400,0.5800,0.6400,0.5800,0.6232,0.6200,462.00,5960.00
2026-02-25 10:26:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5800,8.00,5968.00
2026-02-25 10:27:00,0.5700,0.5700,0.6100,0.6100,0.5944,0.5700,64.00,6024.00
2026-02-25 10:28:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.6100,17.00,6041.00
2026-02-25 10:29:00,0.5600,0.5600,0.6200,0.6100,0.5826,0.5700,102.00,6143.00
2026-02-25 10:30:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,113.00,6143.00
2026-02-25 10:31:00,0.6700,0.6700,0.6800,0.6800,0.6799,0.6200,67.00,6210.00
2026-02-25 10:32:00,,,,,,0.6800,0.00,6210.00
2026-02-25 10:33:00,0.6600,0.6600,0.6700,0.6700,0.6693,0.6800,15.00,6225.00
2026-02-25 10:34:00,0.6200,0.6100,0.6200,0.6100,0.6115,0.6700,47.00,6272.00
2026-02-25 10:35:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.6100,124.00,6396.00
2026-02-25 10:36:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,55.00,6451.00
2026-02-25 10:37:00,0.5800,0.5500,0.6000,0.5500,0.5755,0.6000,136.00,6458.00
2026-02-25 10:38:00,0.5300,0.5300,0.5800,0.5700,0.5715,0.5500,73.00,6491.00
2026-02-25 10:39:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.5700,1266.00,7704.00
2026-02-25 10:40:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400,60.00,7764.00
2026-02-25 10:41:00,0.6100,0.6100,0.6200,0.6100,0.6122,0.6300,319.00,8083.00
2026-02-25 10:42:00,0.6200,0.6000,0.6200,0.6000,0.6055,0.6100,110.00,8193.00
2026-02-25 10:43:00,0.6200,0.6100,0.6300,0.6300,0.6251,0.6000,534.00,8727.00
2026-02-25 10:44:00,0.6200,0.6100,0.6300,0.6100,0.6113,0.6300,366.00,9093.00
2026-02-25 10:45:00,0.5800,0.5700,0.6100,0.6100,0.5880,0.6100,132.00,9225.00
2026-02-25 10:46:00,0.5800,0.5800,0.6200,0.5900,0.6179,0.6100,33.00,9233.00
2026-02-25 10:47:00,0.6100,0.5900,0.6200,0.6100,0.5961,0.5900,3383.00,12616.00
2026-02-25 10:48:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,541.00,13157.00
2026-02-25 10:49:00,0.5600,0.5300,0.5600,0.5300,0.5317,0.6200,316.00,12942.00
2026-02-25 10:50:00,0.5900,0.5800,0.5900,0.5800,0.5801,0.5300,566.00,12442.00
2026-02-25 10:51:00,0.5900,0.5700,0.5900,0.5700,0.5743,0.5800,37.00,12479.00
2026-02-25 10:52:00,0.5800,0.5800,0.6000,0.5900,0.5870,0.5700,94.00,12543.00
2026-02-25 10:53:00,0.6200,0.6200,0.6400,0.6200,0.6291,0.5900,216.00,12759.00
2026-02-25 10:54:00,0.6400,0.6300,0.6400,0.6300,0.6382,0.6200,875.00,13634.00
2026-02-25 10:55:00,0.6300,0.6100,0.6500,0.6300,0.6297,0.6300,117.00,13751.00
2026-02-25 10:56:00,0.6000,0.5800,0.6000,0.6000,0.5994,0.6300,1740.00,15453.00
2026-02-25 10:57:00,0.6100,0.5300,0.6100,0.5300,0.5714,0.6000,1045.00,16349.00
2026-02-25 10:58:00,0.5600,0.5500,0.6200,0.5900,0.5788,0.5300,1732.00,17980.00
2026-02-25 10:59:00,0.5900,0.5900,0.6300,0.6300,0.6173,0.5900,1176.00,19156.00
2026-02-25 11:00:00,0.6300,0.6100,0.6700,0.6500,0.6389,0.6300,17785.00,36833.00
2026-02-25 11:01:00,0.6500,0.5900,0.6900,0.5900,0.6478,0.6500,12616.00,49199.00
2026-02-25 11:02:00,0.5900,0.5100,0.5900,0.5200,0.5488,0.5900,4541.00,53390.00
2026-02-25 11:03:00,0.5200,0.4900,0.5600,0.5000,0.5270,0.5200,27946.00,81029.00
2026-02-25 11:04:00,0.5200,0.4600,0.5700,0.4800,0.5386,0.5000,14978.00,95014.00
2026-02-25 11:05:00,0.5200,0.5000,0.5700,0.5700,0.5559,0.4800,5140.00,99911.00
2026-02-25 11:06:00,0.5700,0.4800,0.5700,0.5300,0.4906,0.5700,6527.00,102964.00
2026-02-25 11:07:00,0.5400,0.5400,0.5900,0.5800,0.5534,0.5300,8260.00,111224.00
2026-02-25 11:08:00,0.5800,0.5700,0.6100,0.6100,0.5889,0.5800,6571.00,115895.00
2026-02-25 11:09:00,0.6000,0.5900,0.6200,0.6200,0.6093,0.6100,2909.00,118594.00
2026-02-25 11:10:00,0.6200,0.5900,0.6200,0.6200,0.6004,0.6200,1162.00,119515.00
2026-02-25 11:11:00,0.6200,0.5600,0.6200,0.5800,0.5832,0.6200,1845.00,119542.00
2026-02-25 11:12:00,0.5800,0.5800,0.6600,0.6100,0.6265,0.5800,1563.00,120617.00
2026-02-25 11:13:00,0.6100,0.6000,0.6600,0.6100,0.6486,0.6100,1557.00,122052.00
2026-02-25 11:14:00,0.6100,0.6000,0.6800,0.6100,0.6463,0.6100,4174.00,125655.00
2026-02-25 11:15:00,0.6100,0.5700,0.6600,0.5900,0.6007,0.6100,1090.00,126597.00
2026-02-25 11:16:00,0.6300,0.5600,0.6300,0.5700,0.5898,0.5900,12060.00,138444.00
2026-02-25 11:17:00,0.5600,0.4800,0.6100,0.5900,0.5502,0.5700,4726.00,143144.00
2026-02-25 11:18:00,0.5900,0.5900,0.6500,0.6500,0.6216,0.5900,541.00,143685.00
2026-02-25 11:19:00,0.6500,0.6500,0.7300,0.7300,0.7044,0.6500,6694.00,147100.00
2026-02-25 11:20:00,0.7300,0.6900,0.7800,0.7000,0.7161,0.7300,6352.00,153334.00
2026-02-25 11:21:00,0.7200,0.7100,0.8100,0.8000,0.7794,0.7000,4572.00,152856.00
2026-02-25 11:22:00,0.8100,0.7500,0.8300,0.8300,0.8139,0.8000,5825.00,150155.00
2026-02-25 11:23:00,0.8200,0.8200,0.8400,0.8200,0.8211,0.8300,3164.00,147580.00
2026-02-25 11:24:00,0.8200,0.8100,0.8300,0.8100,0.8220,0.8200,1845.00,147039.00
2026-02-25 11:25:00,0.8300,0.8100,0.8300,0.8200,0.8150,0.8100,1190.00,146605.00
2026-02-25 11:26:00,0.8200,0.8100,0.8200,0.8200,0.8196,0.8200,899.00,147424.00
2026-02-25 11:27:00,0.8100,0.8100,0.8500,0.8500,0.8279,0.8200,7160.00,152521.00
2026-02-25 11:28:00,0.8700,0.8300,0.8800,0.8800,0.8589,0.8500,1291.00,153403.00
2026-02-25 11:29:00,0.8700,0.8300,0.9100,0.8300,0.8631,0.8800,629.00,153565.00
2026-02-25 11:30:00,0.8300,0.8000,0.8400,0.8400,0.8167,0.8300,765.00,153467.00
2026-02-25 11:31:00,0.8300,0.8000,0.8600,0.8000,0.8355,0.8400,1146.00,153720.00
2026-02-25 11:32:00,0.8200,0.8200,0.8600,0.8600,0.8283,0.8000,558.00,154177.00
2026-02-25 11:33:00,0.8800,0.8300,0.8900,0.8300,0.8568,0.8600,5502.00,157138.00
2026-02-25 11:34:00,0.8100,0.8000,0.8100,0.8100,0.8080,0.8300,884.00,157646.00
2026-02-25 11:35:00,0.8200,0.8100,0.8300,0.8300,0.8113,0.8100,2053.00,156321.00
2026-02-25 11:36:00,0.8300,0.8200,0.8400,0.8200,0.8295,0.8300,471.00,156736.00
