end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-25 14:21:00,,,,,,0.3600,0.00,386.00
2026-02-25 14:30:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3600,1.00,387.00
2026-02-25 14:41:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3500,10.00,397.00
2026-02-25 14:43:00,,,,,,0.3600,0.00,397.00
2026-02-25 14:45:00,,,,,,0.3600,0.00,397.00
2026-02-25 14:46:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,2.00,399.00
2026-02-25 14:48:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,943.00,1342.00
2026-02-25 14:50:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,132.00,1474.00
2026-02-25 14:52:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,26.00,1500.00
2026-02-25 14:54:00,,,,,,0.3600,0.00,1500.00
2026-02-25 14:55:00,,,,,,0.3600,0.00,1500.00
2026-02-25 14:57:00,,,,,,0.3600,0.00,1500.00
2026-02-25 14:59:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:03:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:04:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:08:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:09:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:10:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:11:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:14:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:15:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:16:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:18:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:19:00,,,,,,0.3600,0.00,1500.00
2026-02-25 15:21:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,1.00,1501.00
2026-02-25 15:22:00,,,,,,0.3600,0.00,1501.00
2026-02-25 15:23:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,118.00,1619.00
2026-02-25 15:24:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,5.00,1624.00
2026-02-25 15:25:00,,,,,,0.3600,0.00,1624.00
2026-02-25 15:26:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,15.00,1639.00
2026-02-25 15:28:00,,,,,,0.3600,0.00,1639.00
2026-02-25 15:31:00,,,,,,0.3600,0.00,1639.00
2026-02-25 15:32:00,,,,,,0.3600,0.00,1639.00
2026-02-25 15:33:00,,,,,,0.3600,0.00,1639.00
2026-02-25 15:36:00,,,,,,0.3600,0.00,1639.00
2026-02-25 15:41:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,53.00,1692.00
2026-02-25 15:43:00,,,,,,0.3600,0.00,1692.00
2026-02-25 15:46:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3600,37.00,1729.00
2026-02-25 15:47:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,80.00,1809.00
2026-02-25 15:48:00,0.3500,0.3500,0.3600,0.3600,0.3575,0.3500,4.00,1810.00
2026-02-25 15:49:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3600,24.00,1832.00
2026-02-25 15:50:00,0.3500,0.3500,0.3600,0.3600,0.3501,0.3500,766.00,2598.00
2026-02-25 15:51:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,1.00,2599.00
2026-02-25 15:52:00,,,,,,0.3600,0.00,2599.00
2026-02-25 15:53:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3600,208.00,2599.00
2026-02-25 15:54:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3000,45.00,2644.00
2026-02-25 15:55:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3500,312.00,2956.00
2026-02-25 15:56:00,0.2700,0.2700,0.2800,0.2700,0.2797,0.3300,305.00,3261.00
2026-02-25 15:57:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,5.00,3266.00
2026-02-25 15:58:00,0.2900,0.2900,0.3000,0.2900,0.2995,0.2700,205.00,3471.00
2026-02-25 15:59:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.2900,76.00,3547.00
2026-02-25 16:00:00,0.3500,0.3500,0.4300,0.4300,0.3910,0.3400,2219.00,5765.00
2026-02-25 16:01:00,0.4600,0.4000,0.5000,0.4000,0.4451,0.4300,360.00,6028.00
2026-02-25 16:02:00,0.3600,0.3300,0.3800,0.3300,0.3371,0.4000,192.00,6082.00
2026-02-25 16:03:00,0.3300,0.3200,0.3300,0.3200,0.3277,0.3300,564.00,6214.00
2026-02-25 16:04:00,0.3200,0.3200,0.3700,0.3700,0.3417,0.3200,4990.00,10337.00
2026-02-25 16:05:00,0.3700,0.3700,0.3900,0.3900,0.3723,0.3700,429.00,10397.00
2026-02-25 16:06:00,0.3900,0.3700,0.3900,0.3800,0.3806,0.3900,1078.00,11218.00
2026-02-25 16:07:00,0.3800,0.3800,0.3900,0.3900,0.3880,0.3800,25.00,11243.00
2026-02-25 16:08:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3900,258.00,11501.00
2026-02-25 16:09:00,0.3700,0.3700,0.4100,0.3700,0.3867,0.3700,417.00,11818.00
2026-02-25 16:10:00,0.3600,0.3600,0.5100,0.5100,0.4312,0.3700,3802.00,15619.00
2026-02-25 16:11:00,0.4500,0.4500,0.5600,0.5600,0.5465,0.5100,1520.00,15819.00
2026-02-25 16:12:00,0.5600,0.5500,0.5700,0.5700,0.5569,0.5600,2926.00,18305.00
2026-02-25 16:13:00,0.5500,0.5500,0.6100,0.6000,0.5881,0.5700,5879.00,23041.00
2026-02-25 16:14:00,0.6000,0.5300,0.6100,0.5300,0.5932,0.6000,3442.00,25697.00
2026-02-25 16:15:00,0.5300,0.4500,0.5300,0.4700,0.4899,0.5300,1640.00,26658.00
2026-02-25 16:16:00,0.4500,0.4500,0.5500,0.5500,0.5260,0.4700,5365.00,31918.00
