end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-26 06:16:00,,,,,,0.7100,0.00,18292.00
2026-02-26 06:17:00,,,,,,0.7100,0.00,18292.00
2026-02-26 06:18:00,,,,,,0.7100,0.00,18292.00
2026-02-26 06:19:00,,,,,,0.7100,0.00,18292.00
2026-02-26 06:20:00,,,,,,0.7100,0.00,18292.00
2026-02-26 06:21:00,,,,,,0.7100,0.00,18292.00
2026-02-26 06:22:00,,,,,,0.7100,0.00,18292.00
2026-02-26 06:23:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,58.00,18350.00
2026-02-26 06:24:00,,,,,,0.7100,0.00,18350.00
2026-02-26 06:25:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,10.00,18360.00
2026-02-26 06:26:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:27:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:28:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:29:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:30:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:31:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:32:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:33:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:34:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:35:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:36:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:37:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:38:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:39:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:40:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:41:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:42:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:43:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:44:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:45:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:46:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:47:00,,,,,,0.7100,0.00,18360.00
2026-02-26 06:48:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,34.00,18394.00
2026-02-26 06:49:00,,,,,,0.7100,0.00,18394.00
2026-02-26 06:50:00,,,,,,0.7100,0.00,18394.00
2026-02-26 06:51:00,,,,,,0.7100,0.00,18394.00
2026-02-26 06:52:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,11.00,18405.00
2026-02-26 06:53:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,11.00,18416.00
2026-02-26 06:54:00,,,,,,0.7100,0.00,18416.00
2026-02-26 06:55:00,,,,,,0.7100,0.00,18416.00
2026-02-26 06:56:00,,,,,,0.7100,0.00,18416.00
2026-02-26 06:57:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,5.00,18421.00
2026-02-26 06:58:00,,,,,,0.7100,0.00,18421.00
2026-02-26 06:59:00,,,,,,0.7100,0.00,18421.00
2026-02-26 07:00:00,,,,,,0.7100,0.00,18421.00
2026-02-26 07:01:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,4.00,18425.00
2026-02-26 07:02:00,,,,,,0.7100,0.00,18425.00
2026-02-26 07:08:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,6.00,18431.00
2026-02-26 07:14:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:15:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:16:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:17:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:18:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:19:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:20:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:21:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:22:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:23:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:24:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:25:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:26:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:27:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:28:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:29:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:30:00,,,,,,0.7100,0.00,18431.00
2026-02-26 07:31:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,176.00,18607.00
2026-02-26 07:32:00,,,,,,0.7100,0.00,18607.00
2026-02-26 07:33:00,,,,,,0.7100,0.00,18607.00
2026-02-26 07:34:00,,,,,,0.7100,0.00,18607.00
2026-02-26 07:35:00,,,,,,0.7100,0.00,18607.00
2026-02-26 07:36:00,,,,,,0.7100,0.00,18607.00
2026-02-26 07:37:00,,,,,,0.7100,0.00,18607.00
2026-02-26 07:38:00,,,,,,0.7100,0.00,18607.00
2026-02-26 07:39:00,,,,,,0.7100,0.00,18607.00
2026-02-26 07:40:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,20.00,18627.00
2026-02-26 07:41:00,,,,,,0.7100,0.00,18627.00
2026-02-26 07:42:00,,,,,,0.7100,0.00,18627.00
2026-02-26 07:43:00,,,,,,0.7100,0.00,18627.00
2026-02-26 07:44:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,322.00,18949.00
2026-02-26 07:45:00,,,,,,0.7100,0.00,18949.00
2026-02-26 07:46:00,,,,,,0.7100,0.00,18949.00
2026-02-26 07:47:00,,,,,,0.7100,0.00,18949.00
2026-02-26 07:48:00,,,,,,0.7100,0.00,18949.00
2026-02-26 07:49:00,,,,,,0.7100,0.00,18949.00
2026-02-26 07:50:00,,,,,,0.7100,0.00,18949.00
2026-02-26 07:51:00,,,,,,0.7100,0.00,18949.00
2026-02-26 07:52:00,,,,,,0.7100,0.00,18949.00
2026-02-26 07:53:00,,,,,,0.7100,0.00,18949.00
2026-02-26 07:54:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,47.00,18996.00
2026-02-26 07:55:00,,,,,,0.7100,0.00,18996.00
2026-02-26 07:56:00,,,,,,0.7100,0.00,18996.00
2026-02-26 07:57:00,,,,,,0.7100,0.00,18996.00
2026-02-26 07:58:00,,,,,,0.7100,0.00,18996.00
2026-02-26 07:59:00,,,,,,0.7100,0.00,18996.00
2026-02-26 08:00:00,,,,,,0.7100,0.00,18996.00
2026-02-26 08:01:00,,,,,,0.7100,0.00,18996.00
2026-02-26 08:03:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,1.00,18997.00
2026-02-26 08:04:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,294.00,19291.00
2026-02-26 08:05:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,70.00,19361.00
2026-02-26 08:06:00,,,,,,0.7100,0.00,19361.00
2026-02-26 08:07:00,0.7100,0.6900,0.7100,0.6900,0.7027,0.7100,150.00,19401.00
