end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-26 06:24:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,158.00,2189.00
2026-02-26 06:34:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,454.00,2643.00
2026-02-26 06:42:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,383.00,3026.00
2026-02-26 06:43:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,177.00,3203.00
2026-02-26 06:44:00,,,,,,0.6100,0.00,3203.00
2026-02-26 06:45:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,262.00,3465.00
2026-02-26 06:47:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,11.00,3476.00
2026-02-26 06:48:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,39.00,3515.00
2026-02-26 06:49:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,71.00,3586.00
2026-02-26 06:52:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,625.00,4211.00
2026-02-26 06:54:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,7.00,4218.00
2026-02-26 06:56:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,7.00,4225.00
2026-02-26 06:57:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,14.00,4239.00
2026-02-26 06:58:00,,,,,,0.6100,0.00,4239.00
2026-02-26 07:01:00,,,,,,0.6100,0.00,4239.00
2026-02-26 07:02:00,,,,,,0.6100,0.00,4239.00
2026-02-26 07:03:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,11.00,4250.00
2026-02-26 07:05:00,,,,,,0.6100,0.00,4250.00
2026-02-26 07:06:00,,,,,,0.6100,0.00,4250.00
2026-02-26 07:07:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,189.00,4439.00
2026-02-26 07:08:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,15.00,4454.00
2026-02-26 07:10:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,148.00,4602.00
2026-02-26 07:13:00,,,,,,0.6100,0.00,4602.00
2026-02-26 07:20:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,95.00,4697.00
2026-02-26 07:23:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,3.00,4700.00
2026-02-26 07:24:00,,,,,,0.6100,0.00,4700.00
2026-02-26 07:25:00,,,,,,0.6100,0.00,4700.00
2026-02-26 07:26:00,,,,,,0.6100,0.00,4700.00
2026-02-26 07:27:00,,,,,,0.6100,0.00,4700.00
2026-02-26 07:29:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,60.00,4760.00
2026-02-26 07:31:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,255.00,5015.00
2026-02-26 07:33:00,,,,,,0.6100,0.00,5015.00
2026-02-26 07:35:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,2.00,5017.00
2026-02-26 07:36:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,236.00,5253.00
2026-02-26 07:37:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,9.00,5262.00
2026-02-26 07:38:00,,,,,,0.6200,0.00,5262.00
2026-02-26 07:41:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,54.00,5316.00
2026-02-26 07:42:00,,,,,,0.6200,0.00,5316.00
2026-02-26 07:43:00,,,,,,0.6200,0.00,5316.00
2026-02-26 07:44:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6200,39.00,5355.00
2026-02-26 07:46:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,957.00,6312.00
2026-02-26 07:48:00,,,,,,0.6100,0.00,6312.00
2026-02-26 07:50:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,1.00,6313.00
2026-02-26 07:53:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,31.00,6344.00
2026-02-26 07:54:00,,,,,,0.6100,0.00,6344.00
2026-02-26 07:55:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,502.00,6846.00
2026-02-26 07:56:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,9.00,6855.00
2026-02-26 07:57:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,7.00,6862.00
2026-02-26 08:00:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,38.00,6900.00
