end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 09:56:00,,,,,,0.3100,0.00,660.00
2026-02-27 09:57:00,,,,,,0.3100,0.00,660.00
2026-02-27 09:58:00,,,,,,0.3100,0.00,660.00
2026-02-27 09:59:00,,,,,,0.3100,0.00,660.00
2026-02-27 10:00:00,,,,,,0.3100,0.00,660.00
2026-02-27 10:01:00,,,,,,0.3100,0.00,660.00
2026-02-27 10:02:00,,,,,,0.3100,0.00,660.00
2026-02-27 10:03:00,,,,,,0.3100,0.00,660.00
2026-02-27 10:04:00,,,,,,0.3100,0.00,660.00
2026-02-27 10:06:00,,,,,,0.3100,0.00,660.00
2026-02-27 10:07:00,,,,,,0.3100,0.00,660.00
2026-02-27 10:08:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,307.00,967.00
2026-02-27 10:09:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,198.00,1165.00
2026-02-27 10:10:00,,,,,,0.3100,0.00,1165.00
2026-02-27 10:11:00,,,,,,0.3100,0.00,1165.00
2026-02-27 10:12:00,,,,,,0.3100,0.00,1165.00
2026-02-27 10:13:00,,,,,,0.3100,0.00,1165.00
2026-02-27 10:14:00,,,,,,0.3100,0.00,1165.00
2026-02-27 10:15:00,,,,,,0.3100,0.00,1165.00
2026-02-27 10:16:00,,,,,,0.3100,0.00,1165.00
2026-02-27 10:17:00,,,,,,0.3100,0.00,1165.00
2026-02-27 10:18:00,,,,,,0.3100,0.00,1165.00
2026-02-27 10:19:00,,,,,,0.3100,0.00,1165.00
2026-02-27 10:20:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,12.00,1177.00
2026-02-27 10:21:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,3.00,1180.00
2026-02-27 10:22:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:23:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:24:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:25:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:26:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:27:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:28:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:29:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:30:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:31:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:32:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:33:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:34:00,,,,,,0.3100,0.00,1180.00
2026-02-27 10:35:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,15.00,1195.00
2026-02-27 10:36:00,,,,,,0.3100,0.00,1195.00
2026-02-27 10:37:00,,,,,,0.3100,0.00,1195.00
2026-02-27 10:44:00,,,,,,0.3100,0.00,1195.00
2026-02-27 10:53:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,31.00,1226.00
2026-02-27 11:02:00,,,,,,0.3100,0.00,1226.00
2026-02-27 11:03:00,,,,,,0.3100,0.00,1226.00
2026-02-27 11:06:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,18.00,1244.00
2026-02-27 11:22:00,,,,,,0.3100,0.00,1244.00
2026-02-27 11:23:00,,,,,,0.3100,0.00,1244.00
2026-02-27 11:27:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,3.00,1247.00
2026-02-27 11:29:00,,,,,,0.3100,0.00,1247.00
2026-02-27 11:30:00,,,,,,0.3100,0.00,1247.00
2026-02-27 11:31:00,,,,,,0.3100,0.00,1247.00
2026-02-27 11:32:00,,,,,,0.3100,0.00,1247.00
2026-02-27 11:33:00,,,,,,0.3100,0.00,1247.00
2026-02-27 11:34:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,23.00,1247.00
2026-02-27 11:36:00,0.3200,0.3200,0.3400,0.3400,0.3338,0.3100,55.00,1302.00
2026-02-27 11:37:00,0.3000,0.3000,0.3600,0.3600,0.3322,0.3400,49.00,1349.00
2026-02-27 11:38:00,0.3800,0.3800,0.4200,0.4200,0.3898,0.3600,1186.00,2514.00
2026-02-27 11:39:00,0.4500,0.4500,0.4800,0.4800,0.4656,0.4200,308.00,2822.00
