end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 10:52:00,,,,,,0.6900,0.00,15405.00
2026-02-27 10:53:00,,,,,,0.6900,0.00,15405.00
2026-02-27 10:55:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,28.00,15433.00
2026-02-27 10:56:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,97.00,15530.00
2026-02-27 10:57:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,239.00,15769.00
2026-02-27 10:58:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,70.00,15839.00
2026-02-27 11:01:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,35.00,15874.00
2026-02-27 11:02:00,,,,,,0.6900,0.00,15874.00
2026-02-27 11:03:00,,,,,,0.6900,0.00,15874.00
2026-02-27 11:05:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,37.00,15911.00
2026-02-27 11:06:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6900,17.00,15911.00
2026-02-27 11:09:00,,,,,,0.6700,0.00,15911.00
2026-02-27 11:16:00,,,,,,0.6700,0.00,15911.00
2026-02-27 11:18:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6700,14.00,15925.00
2026-02-27 11:19:00,,,,,,0.6900,0.00,15925.00
2026-02-27 11:20:00,,,,,,0.6900,0.00,15925.00
2026-02-27 11:21:00,,,,,,0.6900,0.00,15925.00
2026-02-27 11:23:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,167.00,16092.00
2026-02-27 11:24:00,,,,,,0.6900,0.00,16092.00
2026-02-27 11:26:00,,,,,,0.6900,0.00,16092.00
2026-02-27 11:27:00,,,,,,0.6900,0.00,16092.00
2026-02-27 11:30:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,70.00,16162.00
2026-02-27 11:31:00,,,,,,0.6900,0.00,16162.00
2026-02-27 11:33:00,,,,,,0.6900,0.00,16162.00
2026-02-27 11:34:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,211.00,16373.00
2026-02-27 11:35:00,,,,,,0.6900,0.00,16373.00
2026-02-27 11:37:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,2.00,16375.00
2026-02-27 11:38:00,,,,,,0.6900,0.00,16375.00
2026-02-27 11:39:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,22.00,16397.00
2026-02-27 11:40:00,,,,,,0.6900,0.00,16397.00
2026-02-27 11:41:00,,,,,,0.6900,0.00,16397.00
2026-02-27 11:42:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,431.00,15966.00
2026-02-27 11:45:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,61.00,15905.00
2026-02-27 11:50:00,,,,,,0.6800,0.00,15905.00
2026-02-27 11:51:00,,,,,,0.6800,0.00,15905.00
2026-02-27 11:53:00,,,,,,0.6800,0.00,15905.00
2026-02-27 11:54:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,42.00,15947.00
2026-02-27 11:55:00,,,,,,0.6900,0.00,15947.00
2026-02-27 11:56:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,7.00,15954.00
2026-02-27 11:59:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,8.00,15962.00
2026-02-27 12:01:00,,,,,,0.6900,0.00,15962.00
2026-02-27 12:03:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,69.00,16031.00
2026-02-27 12:04:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,285.00,16316.00
2026-02-27 12:05:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,50.00,16366.00
2026-02-27 12:06:00,,,,,,0.6900,0.00,16366.00
2026-02-27 12:08:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,150.00,16516.00
2026-02-27 12:09:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,339.00,16855.00
2026-02-27 12:10:00,,,,,,0.6900,0.00,16855.00
2026-02-27 12:11:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,50.00,16905.00
2026-02-27 12:12:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,28.00,16933.00
2026-02-27 12:16:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,373.00,17306.00
2026-02-27 12:17:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,98.00,17404.00
2026-02-27 12:18:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,158.00,17562.00
2026-02-27 12:21:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,250.00,17812.00
2026-02-27 12:27:00,,,,,,0.6800,0.00,17812.00
2026-02-27 12:31:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,5.00,17817.00
2026-02-27 12:32:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,21.00,17838.00
2026-02-27 12:34:00,,,,,,0.6800,0.00,17838.00
2026-02-27 12:35:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,43.00,17881.00
2026-02-27 12:36:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,139.00,18020.00
2026-02-27 12:37:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,49.00,18069.00
2026-02-27 12:38:00,,,,,,0.6900,0.00,18069.00
2026-02-27 12:39:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,22.00,18091.00
2026-02-27 12:40:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,2.00,18093.00
2026-02-27 12:41:00,,,,,,0.6900,0.00,18093.00
2026-02-27 12:42:00,,,,,,0.6900,0.00,18093.00
2026-02-27 12:44:00,0.6800,0.6800,0.6900,0.6900,0.6888,0.6900,16.00,18109.00
2026-02-27 12:45:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,406.00,18515.00
2026-02-27 12:46:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,125.00,18640.00
2026-02-27 12:47:00,,,,,,0.6800,0.00,18640.00
2026-02-27 12:48:00,0.6600,0.6600,0.6900,0.6900,0.6791,0.6800,2392.00,21032.00
