end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 08:31:00,,,,,,0.7600,0.00,951.00
2026-02-27 08:49:00,,,,,,0.7600,0.00,951.00
2026-02-27 08:54:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,1.00,952.00
2026-02-27 08:55:00,,,,,,0.7600,0.00,952.00
2026-02-27 08:57:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,1.00,953.00
2026-02-27 08:58:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,20.00,973.00
2026-02-27 09:00:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,1.00,974.00
2026-02-27 09:02:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,102.00,1076.00
2026-02-27 09:04:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,18.00,1094.00
2026-02-27 09:16:00,,,,,,0.7600,0.00,1094.00
2026-02-27 09:20:00,,,,,,0.7600,0.00,1094.00
2026-02-27 09:26:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,5.00,1099.00
2026-02-27 09:28:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,217.00,1316.00
2026-02-27 09:31:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,146.00,1462.00
2026-02-27 09:34:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,2.00,1464.00
2026-02-27 09:35:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,647.00,2111.00
2026-02-27 09:36:00,,,,,,0.7600,0.00,2111.00
2026-02-27 09:37:00,,,,,,0.7600,0.00,2111.00
2026-02-27 09:38:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,5.00,2116.00
2026-02-27 09:39:00,,,,,,0.7600,0.00,2116.00
2026-02-27 09:41:00,,,,,,0.7600,0.00,2116.00
2026-02-27 09:42:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,513.00,2629.00
2026-02-27 09:43:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,113.00,2742.00
2026-02-27 09:47:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,188.00,2930.00
2026-02-27 09:48:00,,,,,,0.7600,0.00,2930.00
2026-02-27 09:49:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,151.00,3081.00
2026-02-27 09:51:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,54.00,3135.00
2026-02-27 09:52:00,,,,,,0.7600,0.00,3135.00
2026-02-27 09:53:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,43.00,3178.00
2026-02-27 09:54:00,0.7700,0.7700,0.7800,0.7800,0.7719,0.7600,3762.00,6940.00
2026-02-27 09:55:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7800,38.00,6978.00
2026-02-27 09:56:00,0.7700,0.7700,0.7800,0.7700,0.7748,0.7700,1281.00,8259.00
2026-02-27 09:57:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,5.00,8264.00
2026-02-27 09:58:00,0.7700,0.7700,0.9000,0.7900,0.8150,0.7700,15921.00,20099.00
2026-02-27 09:59:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7900,1388.00,20213.00
2026-02-27 10:00:00,0.7700,0.7600,0.7700,0.7600,0.7613,0.7800,11050.00,31263.00
2026-02-27 10:01:00,0.7500,0.7000,0.7700,0.7000,0.7260,0.7600,3107.00,33758.00
2026-02-27 10:02:00,0.7100,0.7100,0.7400,0.7300,0.7271,0.7000,5121.00,36272.00
2026-02-27 10:03:00,0.7300,0.7200,0.7700,0.7500,0.7577,0.7300,4571.00,40221.00
2026-02-27 10:04:00,0.7500,0.7500,0.7700,0.7700,0.7691,0.7500,6520.00,46440.00
2026-02-27 10:05:00,0.7700,0.7700,0.7900,0.7900,0.7804,0.7700,2008.00,48448.00
2026-02-27 10:06:00,0.7700,0.7600,0.7900,0.7700,0.7746,0.7900,5631.00,54079.00
2026-02-27 10:07:00,0.7700,0.7300,0.7700,0.7300,0.7372,0.7700,658.00,53792.00
2026-02-27 10:08:00,0.7300,0.7300,0.7700,0.7300,0.7467,0.7300,2414.00,55037.00
2026-02-27 10:09:00,0.7700,0.7700,0.8000,0.8000,0.7768,0.7300,1860.00,56896.00
2026-02-27 10:10:00,0.8000,0.7400,0.8100,0.7400,0.7695,0.8000,2855.00,59552.00
2026-02-27 10:11:00,0.7400,0.7000,0.7400,0.7200,0.7253,0.7400,3788.00,63215.00
2026-02-27 10:12:00,0.7300,0.7300,0.7500,0.7400,0.7364,0.7200,1180.00,64395.00
2026-02-27 10:13:00,0.7400,0.7400,0.7600,0.7600,0.7465,0.7400,3161.00,67450.00
2026-02-27 10:14:00,0.7200,0.7200,0.7500,0.7500,0.7381,0.7600,4343.00,71307.00
2026-02-27 10:15:00,0.7400,0.7300,0.7700,0.7700,0.7475,0.7500,4970.00,75463.00
2026-02-27 10:16:00,0.7600,0.7300,0.7600,0.7400,0.7476,0.7700,2246.00,75974.00
2026-02-27 10:17:00,0.7600,0.7600,0.7700,0.7600,0.7642,0.7400,177.00,76151.00
2026-02-27 10:18:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,800.00,76951.00
2026-02-27 10:19:00,0.7600,0.7600,0.8300,0.8300,0.7824,0.7600,4178.00,80442.00
2026-02-27 10:20:00,0.8400,0.8200,0.8700,0.8500,0.8497,0.8300,2210.00,80573.00
2026-02-27 10:21:00,0.8500,0.8500,0.8700,0.8700,0.8626,0.8500,1879.00,82452.00
2026-02-27 10:22:00,0.8700,0.8700,0.8900,0.8900,0.8726,0.8700,6673.00,88806.00
2026-02-27 10:23:00,0.8800,0.8500,0.8800,0.8500,0.8732,0.8900,15264.00,104070.00
