end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 11:46:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2400,38.00,1905.00
2026-02-27 11:47:00,,,,,,0.2500,0.00,1905.00
2026-02-27 11:49:00,,,,,,0.2500,0.00,1905.00
2026-02-27 11:51:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,570.00,2475.00
2026-02-27 11:53:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,54.00,2529.00
2026-02-27 11:54:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,10.00,2539.00
2026-02-27 11:55:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,1.00,2540.00
2026-02-27 11:56:00,,,,,,0.2500,0.00,2540.00
2026-02-27 11:57:00,,,,,,0.2500,0.00,2540.00
2026-02-27 12:00:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,12.00,2552.00
2026-02-27 12:01:00,,,,,,0.2500,0.00,2552.00
2026-02-27 12:02:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,95.00,2647.00
2026-02-27 12:04:00,,,,,,0.2500,0.00,2647.00
2026-02-27 12:05:00,,,,,,0.2500,0.00,2647.00
2026-02-27 12:06:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,53.00,2700.00
2026-02-27 12:09:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,48.00,2748.00
2026-02-27 12:11:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,38.00,2786.00
2026-02-27 12:13:00,,,,,,0.2500,0.00,2786.00
2026-02-27 12:14:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2500,95.00,2786.00
2026-02-27 12:15:00,,,,,,0.2400,0.00,2786.00
2026-02-27 12:22:00,,,,,,0.2400,0.00,2786.00
2026-02-27 12:23:00,,,,,,0.2400,0.00,2786.00
2026-02-27 12:25:00,,,,,,0.2400,0.00,2786.00
2026-02-27 12:26:00,,,,,,0.2400,0.00,2786.00
2026-02-27 12:30:00,,,,,,0.2400,0.00,2786.00
2026-02-27 12:33:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2400,1.00,2787.00
2026-02-27 12:34:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,15.00,2802.00
2026-02-27 12:35:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,325.00,3127.00
2026-02-27 12:36:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,380.00,3507.00
2026-02-27 12:37:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,672.00,4179.00
2026-02-27 12:40:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,53.00,4232.00
2026-02-27 12:41:00,,,,,,0.2500,0.00,4232.00
2026-02-27 12:42:00,,,,,,0.2500,0.00,4232.00
2026-02-27 12:43:00,,,,,,0.2500,0.00,4232.00
2026-02-27 12:44:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2500,25.00,4257.00
2026-02-27 12:45:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,3656.00,7913.00
2026-02-27 12:47:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,107.00,8020.00
2026-02-27 12:48:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,200.00,8220.00
2026-02-27 12:50:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,43.00,8263.00
2026-02-27 12:51:00,,,,,,0.2600,0.00,8263.00
2026-02-27 12:54:00,,,,,,0.2600,0.00,8263.00
2026-02-27 12:56:00,0.2600,0.2500,0.2700,0.2700,0.2683,0.2600,64.00,8264.00
2026-02-27 12:57:00,,,,,,0.2700,0.00,8264.00
2026-02-27 12:59:00,,,,,,0.2700,0.00,8264.00
2026-02-27 13:01:00,,,,,,0.2700,0.00,8264.00
2026-02-27 13:02:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,17.00,8264.00
2026-02-27 13:04:00,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,10.00,8264.00
2026-02-27 13:05:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2700,1.00,8263.00
2026-02-27 13:06:00,,,,,,0.2500,0.00,8263.00
2026-02-27 13:09:00,,,,,,0.2500,0.00,8263.00
2026-02-27 13:10:00,,,,,,0.2500,0.00,8263.00
2026-02-27 13:11:00,,,,,,0.2500,0.00,8263.00
2026-02-27 13:12:00,0.2700,0.2700,0.2800,0.2800,0.2775,0.2500,4.00,8264.00
2026-02-27 13:13:00,0.2700,0.2700,0.2800,0.2800,0.2707,0.2800,465.00,8695.00
2026-02-27 13:14:00,,,,,,0.2800,0.00,8695.00
2026-02-27 13:18:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,85.00,8695.00
2026-02-27 13:19:00,,,,,,0.2800,0.00,8695.00
2026-02-27 13:20:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,100.00,8746.00
2026-02-27 13:22:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,1.00,8747.00
2026-02-27 13:24:00,,,,,,0.2800,0.00,8747.00
2026-02-27 13:25:00,,,,,,0.2800,0.00,8747.00
2026-02-27 13:27:00,0.2800,0.2800,0.2900,0.2900,0.2895,0.2800,19.00,8748.00
2026-02-27 13:28:00,0.2800,0.2800,0.2900,0.2900,0.2898,0.2900,65.00,8770.00
2026-02-27 13:29:00,0.2800,0.2800,0.2900,0.2900,0.2899,0.2900,67.00,8837.00
2026-02-27 13:30:00,,,,,,0.2900,0.00,8837.00
2026-02-27 13:31:00,0.2800,0.2800,0.2900,0.2900,0.2899,0.2900,164.00,9001.00
2026-02-27 13:32:00,0.2800,0.2800,0.2900,0.2900,0.2900,0.2900,732.00,9733.00
2026-02-27 13:33:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,220.00,9953.00
2026-02-27 13:34:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,11.00,9964.00
2026-02-27 13:35:00,,,,,,0.2900,0.00,9964.00
2026-02-27 13:38:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2900,13.00,9977.00
2026-02-27 13:40:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2800,96.00,10073.00
2026-02-27 13:41:00,,,,,,0.2900,0.00,10073.00
2026-02-27 13:42:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,26.00,10099.00
2026-02-27 13:46:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,657.00,10756.00
2026-02-27 13:55:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,2.00,10758.00
2026-02-27 13:56:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,13.00,10771.00
2026-02-27 13:57:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,1714.00,12485.00
2026-02-27 13:58:00,,,,,,0.2900,0.00,12485.00
2026-02-27 13:59:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,268.00,12753.00
2026-02-27 14:00:00,,,,,,0.2900,0.00,12753.00
2026-02-27 14:01:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,209.00,12962.00
2026-02-27 14:02:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,9.00,12971.00
2026-02-27 14:04:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,51.00,13022.00
2026-02-27 14:05:00,,,,,,0.2900,0.00,13022.00
2026-02-27 14:06:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,164.00,13186.00
2026-02-27 14:08:00,,,,,,0.2900,0.00,13186.00
2026-02-27 14:09:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,229.00,13415.00
2026-02-27 14:10:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,266.00,13681.00
2026-02-27 14:11:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,125.00,13806.00
2026-02-27 14:12:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,736.00,14494.00
