end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-28 09:51:00,0.6700,0.6700,0.6800,0.6800,0.6750,0.6700,2.00,9544.00
2026-02-28 09:52:00,,,,,,0.6800,0.00,9544.00
2026-02-28 09:55:00,0.6700,0.6700,0.6800,0.6800,0.6800,0.6800,715.00,10259.00
2026-02-28 09:56:00,,,,,,0.6800,0.00,10259.00
2026-02-28 09:57:00,,,,,,0.6800,0.00,10259.00
2026-02-28 09:58:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,71.00,10330.00
2026-02-28 09:59:00,,,,,,0.6800,0.00,10330.00
2026-02-28 10:00:00,,,,,,0.6800,0.00,10330.00
2026-02-28 10:01:00,,,,,,0.6800,0.00,10330.00
2026-02-28 10:02:00,,,,,,0.6800,0.00,10330.00
2026-02-28 10:03:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,7.00,10337.00
2026-02-28 10:04:00,,,,,,0.6800,0.00,10337.00
2026-02-28 10:05:00,,,,,,0.6800,0.00,10337.00
2026-02-28 10:06:00,,,,,,0.6800,0.00,10337.00
2026-02-28 10:07:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,23.00,10360.00
2026-02-28 10:08:00,,,,,,0.6800,0.00,10360.00
2026-02-28 10:09:00,,,,,,0.6800,0.00,10360.00
2026-02-28 10:10:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,5.00,10365.00
2026-02-28 10:11:00,,,,,,0.6800,0.00,10365.00
2026-02-28 10:12:00,,,,,,0.6800,0.00,10365.00
2026-02-28 10:13:00,,,,,,0.6800,0.00,10365.00
2026-02-28 10:14:00,,,,,,0.6800,0.00,10365.00
2026-02-28 10:15:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,600.00,10965.00
2026-02-28 10:16:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,10.00,10975.00
2026-02-28 10:17:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,17.00,10992.00
2026-02-28 10:19:00,,,,,,0.6800,0.00,10992.00
2026-02-28 10:20:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,91.00,11083.00
2026-02-28 10:21:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,14.00,11097.00
2026-02-28 10:24:00,,,,,,0.6800,0.00,11097.00
2026-02-28 10:25:00,,,,,,0.6800,0.00,11097.00
2026-02-28 10:26:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,14.00,11111.00
2026-02-28 10:27:00,0.6800,0.6800,0.6900,0.6900,0.6891,0.6800,963.00,12074.00
2026-02-28 10:28:00,,,,,,0.6900,0.00,12074.00
2026-02-28 10:29:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,7.00,12081.00
2026-02-28 10:30:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,17.00,12098.00
2026-02-28 10:32:00,,,,,,0.6900,0.00,12098.00
2026-02-28 10:33:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,38.00,12136.00
2026-02-28 10:34:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6800,280.00,12136.00
2026-02-28 10:35:00,,,,,,0.6600,0.00,12136.00
2026-02-28 10:36:00,,,,,,0.6600,0.00,12136.00
2026-02-28 10:37:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6600,32.00,12168.00
2026-02-28 10:38:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,153.00,12321.00
2026-02-28 10:39:00,0.6700,0.6600,0.6700,0.6600,0.6619,0.6700,269.00,12163.00
2026-02-28 10:40:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6600,51.00,12214.00
2026-02-28 10:41:00,,,,,,0.6700,0.00,12214.00
2026-02-28 10:42:00,0.6700,0.6700,0.6900,0.6900,0.6864,0.6700,1460.00,13674.00
2026-02-28 10:43:00,0.6900,0.6600,0.6900,0.6600,0.6602,0.6900,631.00,13679.00
2026-02-28 10:44:00,,,,,,0.6600,0.00,13679.00
2026-02-28 10:45:00,0.6800,0.6800,0.7100,0.7000,0.6969,0.6600,5857.00,19523.00
2026-02-28 10:46:00,0.6900,0.6800,0.7100,0.6800,0.6988,0.7000,6836.00,26358.00
2026-02-28 10:47:00,0.6900,0.6900,0.7000,0.6900,0.6978,0.6800,1608.00,27966.00
