end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-16 09:51:00,,,,,,0.5000,0.00,110.00
2026-01-16 09:52:00,,,,,,0.5000,0.00,110.00
2026-01-16 09:54:00,,,,,,0.5000,0.00,110.00
2026-01-16 09:58:00,,,,,,0.5000,0.00,110.00
2026-01-16 09:59:00,,,,,,0.5000,0.00,110.00
2026-01-16 10:00:00,,,,,,0.5000,0.00,110.00
2026-01-16 10:01:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,20.00,130.00
2026-01-16 10:02:00,,,,,,0.5000,0.00,130.00
2026-01-16 10:03:00,,,,,,0.5000,0.00,130.00
2026-01-16 10:04:00,0.5200,0.5200,0.5300,0.5300,0.5205,0.5000,188.00,318.00
2026-01-16 10:05:00,,,,,,0.5300,0.00,318.00
2026-01-16 10:06:00,,,,,,0.5300,0.00,318.00
2026-01-16 10:08:00,,,,,,0.5300,0.00,318.00
2026-01-16 10:09:00,,,,,,0.5300,0.00,318.00
2026-01-16 10:10:00,,,,,,0.5300,0.00,318.00
2026-01-16 10:11:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5300,139.00,457.00
2026-01-16 10:13:00,,,,,,0.5200,0.00,457.00
2026-01-16 10:14:00,,,,,,0.5200,0.00,457.00
2026-01-16 10:15:00,,,,,,0.5200,0.00,457.00
2026-01-16 10:16:00,,,,,,0.5200,0.00,457.00
2026-01-16 10:17:00,0.5100,0.5100,0.5200,0.5200,0.5113,0.5200,56.00,464.00
2026-01-16 10:18:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,18.00,482.00
2026-01-16 10:19:00,,,,,,0.5200,0.00,482.00
2026-01-16 10:20:00,,,,,,0.5200,0.00,482.00
2026-01-16 10:21:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,55.00,537.00
2026-01-16 10:22:00,,,,,,0.5200,0.00,537.00
2026-01-16 10:23:00,,,,,,0.5200,0.00,537.00
2026-01-16 10:24:00,,,,,,0.5200,0.00,537.00
2026-01-16 10:25:00,,,,,,0.5200,0.00,537.00
2026-01-16 10:26:00,,,,,,0.5200,0.00,537.00
2026-01-16 10:28:00,,,,,,0.5200,0.00,537.00
2026-01-16 10:29:00,,,,,,0.5200,0.00,537.00
2026-01-16 10:30:00,,,,,,0.5200,0.00,537.00
2026-01-16 10:31:00,,,,,,0.5200,0.00,537.00
2026-01-16 10:32:00,,,,,,0.5200,0.00,537.00
2026-01-16 10:33:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.5200,56.00,481.00
2026-01-16 10:34:00,,,,,,0.4700,0.00,481.00
2026-01-16 10:35:00,,,,,,0.4700,0.00,481.00
