end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-21 07:31:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:32:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:33:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:34:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:35:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:36:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:39:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:40:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:41:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:42:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:43:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:44:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:45:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:46:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:47:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:49:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:50:00,,,,,,0.3200,0.00,2.00
2026-01-21 07:52:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3200,55.00,57.00
2026-01-21 07:53:00,0.3300,0.3300,0.3400,0.3400,0.3307,0.3400,14.00,71.00
2026-01-21 07:54:00,,,,,,0.3400,0.00,71.00
2026-01-21 07:55:00,,,,,,0.3400,0.00,71.00
2026-01-21 07:56:00,,,,,,0.3400,0.00,71.00
2026-01-21 07:57:00,,,,,,0.3400,0.00,71.00
2026-01-21 07:58:00,,,,,,0.3400,0.00,71.00
2026-01-21 08:00:00,,,,,,0.3400,0.00,71.00
2026-01-21 08:01:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,14.00,85.00
2026-01-21 08:02:00,,,,,,0.3400,0.00,85.00
2026-01-21 08:03:00,,,,,,0.3400,0.00,85.00
2026-01-21 08:04:00,,,,,,0.3400,0.00,85.00
2026-01-21 08:05:00,,,,,,0.3400,0.00,85.00
2026-01-21 08:07:00,,,,,,0.3400,0.00,85.00
2026-01-21 08:08:00,,,,,,0.3400,0.00,85.00
2026-01-21 08:09:00,0.3300,0.3200,0.3300,0.3200,0.3208,0.3400,175.00,260.00
2026-01-21 08:10:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,89.00,349.00
2026-01-21 08:11:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,213.00,562.00
2026-01-21 08:12:00,0.3200,0.3200,0.3300,0.3300,0.3291,0.3200,1833.00,2395.00
2026-01-21 08:13:00,0.3300,0.3300,0.3500,0.3300,0.3377,0.3300,1994.00,4388.00
2026-01-21 08:14:00,0.3700,0.3700,0.7000,0.7000,0.3858,0.3300,444.00,4831.00
2026-01-21 08:15:00,0.3600,0.2500,0.6500,0.3400,0.3672,0.7000,882.00,5673.00
2026-01-21 08:16:00,0.3400,0.3400,0.4400,0.3600,0.3613,0.3400,383.00,6056.00
2026-01-21 08:17:00,0.4400,0.3500,0.4500,0.3500,0.3662,0.3600,504.00,6544.00
2026-01-21 08:18:00,0.3400,0.3000,0.4200,0.3000,0.3506,0.3500,1635.00,8010.00
2026-01-21 08:19:00,0.3000,0.3000,0.3600,0.3100,0.3248,0.3000,1076.00,9062.00
2026-01-21 08:20:00,0.3400,0.2500,0.3800,0.3700,0.3394,0.3100,688.00,9518.00
2026-01-21 08:21:00,0.3600,0.3500,0.4900,0.4400,0.4249,0.3700,2946.00,12036.00
2026-01-21 08:22:00,0.3600,0.3500,0.3800,0.3700,0.3692,0.4400,1297.00,13275.00
