end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-21 09:45:00,,,,,,0.2700,0.00,214.00
2026-01-21 09:46:00,,,,,,0.2700,0.00,214.00
2026-01-21 09:47:00,,,,,,0.2700,0.00,214.00
2026-01-21 09:48:00,,,,,,0.2700,0.00,214.00
2026-01-21 09:49:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2700,18.00,232.00
2026-01-21 09:55:00,,,,,,0.2600,0.00,232.00
2026-01-21 09:56:00,,,,,,0.2600,0.00,232.00
2026-01-21 09:57:00,,,,,,0.2600,0.00,232.00
2026-01-21 09:58:00,,,,,,0.2600,0.00,232.00
2026-01-21 09:59:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:00:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:01:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:02:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:03:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:04:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:06:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:08:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:10:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:11:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:12:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:13:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:14:00,,,,,,0.2600,0.00,232.00
2026-01-21 10:15:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2600,38.00,270.00
2026-01-21 10:17:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:19:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:20:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:21:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:23:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:24:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:25:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:26:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:28:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:29:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:30:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:34:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:35:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:36:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:37:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:38:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:39:00,,,,,,0.2500,0.00,270.00
2026-01-21 10:40:00,,,,,,0.2500,0.00,270.00
