end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-27 15:43:00,,,,,,0.6000,0.00,7590.00
2026-01-27 15:44:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6000,23.00,7613.00
2026-01-27 15:45:00,,,,,,0.6200,0.00,7613.00
2026-01-27 15:46:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,40.00,7653.00
2026-01-27 15:47:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:48:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:49:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:50:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:51:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:52:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:53:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:54:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:55:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:56:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:57:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:58:00,,,,,,0.6200,0.00,7653.00
2026-01-27 15:59:00,,,,,,0.6200,0.00,7653.00
2026-01-27 16:00:00,,,,,,0.6200,0.00,7653.00
2026-01-27 16:01:00,,,,,,0.6200,0.00,7653.00
2026-01-27 16:02:00,,,,,,0.6200,0.00,7653.00
2026-01-27 16:03:00,,,,,,0.6200,0.00,7653.00
2026-01-27 16:05:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,9.00,7662.00
2026-01-27 16:11:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,15.00,7677.00
2026-01-27 16:12:00,,,,,,0.6200,0.00,7677.00
2026-01-27 16:20:00,,,,,,0.6200,0.00,7677.00
2026-01-27 16:21:00,,,,,,0.6200,0.00,7677.00
2026-01-27 16:22:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,282.00,7959.00
2026-01-27 16:25:00,,,,,,0.6200,0.00,7959.00
2026-01-27 16:27:00,,,,,,0.6200,0.00,7959.00
2026-01-27 16:28:00,,,,,,0.6200,0.00,7959.00
2026-01-27 16:29:00,,,,,,0.6200,0.00,7959.00
2026-01-27 16:30:00,,,,,,0.6200,0.00,7959.00
2026-01-27 16:31:00,,,,,,0.6200,0.00,7959.00
2026-01-27 16:33:00,,,,,,0.6200,0.00,7959.00
2026-01-27 16:34:00,,,,,,0.6200,0.00,7959.00
2026-01-27 16:36:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,50.00,8009.00
2026-01-27 16:38:00,,,,,,0.6200,0.00,8009.00
2026-01-27 16:40:00,,,,,,0.6200,0.00,8009.00
2026-01-27 16:41:00,,,,,,0.6200,0.00,8009.00
2026-01-27 16:42:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.6200,1.00,8009.00
2026-01-27 16:44:00,,,,,,0.5800,0.00,8009.00
2026-01-27 16:48:00,,,,,,0.5800,0.00,8009.00
2026-01-27 16:49:00,,,,,,0.5800,0.00,8009.00
2026-01-27 16:50:00,,,,,,0.5800,0.00,8009.00
2026-01-27 16:51:00,,,,,,0.5800,0.00,8009.00
2026-01-27 16:53:00,0.6100,0.6100,0.6200,0.6200,0.6200,0.5800,548.00,8557.00
2026-01-27 16:54:00,,,,,,0.6200,0.00,8557.00
2026-01-27 16:56:00,,,,,,0.6200,0.00,8557.00
2026-01-27 16:57:00,,,,,,0.6200,0.00,8557.00
2026-01-27 16:58:00,,,,,,0.6200,0.00,8557.00
2026-01-27 16:59:00,,,,,,0.6200,0.00,8557.00
2026-01-27 17:00:00,,,,,,0.6200,0.00,8557.00
2026-01-27 17:01:00,,,,,,0.6200,0.00,8557.00
2026-01-27 17:03:00,,,,,,0.6200,0.00,8557.00
2026-01-27 17:04:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,400.00,8957.00
2026-01-27 17:05:00,0.6100,0.6000,0.6100,0.6000,0.6090,0.6200,40.00,8917.00
2026-01-27 17:06:00,,,,,,0.6000,0.00,8917.00
2026-01-27 17:07:00,,,,,,0.6000,0.00,8917.00
2026-01-27 17:08:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6000,15.00,8932.00
2026-01-27 17:09:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,23.00,8955.00
2026-01-27 17:10:00,,,,,,0.6200,0.00,8955.00
2026-01-27 17:11:00,,,,,,0.6200,0.00,8955.00
2026-01-27 17:13:00,,,,,,0.6200,0.00,8955.00
2026-01-27 17:14:00,,,,,,0.6200,0.00,8955.00
2026-01-27 17:15:00,,,,,,0.6200,0.00,8955.00
2026-01-27 17:16:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6200,9.00,8964.00
2026-01-27 17:17:00,,,,,,0.6400,0.00,8964.00
2026-01-27 17:18:00,,,,,,0.6400,0.00,8964.00
2026-01-27 17:19:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,809.00,9773.00
2026-01-27 17:20:00,0.6100,0.6100,0.6400,0.6400,0.6241,0.6400,1034.00,9711.00
2026-01-27 17:21:00,0.6400,0.6100,0.6400,0.6200,0.6366,0.6400,376.00,10072.00
2026-01-27 17:22:00,0.6200,0.6200,0.6300,0.6200,0.6293,0.6200,1599.00,11671.00
2026-01-27 17:23:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,400.00,12071.00
2026-01-27 17:24:00,0.6100,0.6000,0.6200,0.6000,0.6084,0.6200,3249.00,15320.00
2026-01-27 17:25:00,0.6000,0.5300,0.6000,0.5300,0.5629,0.6000,2693.00,16249.00
2026-01-27 17:26:00,0.5700,0.5700,0.6500,0.6500,0.6057,0.5300,2259.00,18263.00
2026-01-27 17:27:00,0.6300,0.6200,0.6400,0.6300,0.6315,0.6500,4590.00,22814.00
2026-01-27 17:28:00,0.6300,0.6200,0.6500,0.6400,0.6335,0.6300,9335.00,32093.00
2026-01-27 17:29:00,0.6100,0.5800,0.6100,0.5800,0.6058,0.6400,685.00,32778.00
2026-01-27 17:30:00,0.5700,0.5500,0.5700,0.5500,0.5515,0.5800,2562.00,35305.00
2026-01-27 17:31:00,0.5500,0.5400,0.5500,0.5400,0.5403,0.5500,2721.00,37430.00
2026-01-27 17:32:00,0.5500,0.5400,0.6000,0.5800,0.5704,0.5400,4063.00,41483.00
2026-01-27 17:33:00,0.5600,0.5600,0.5900,0.5800,0.5783,0.5800,3850.00,45010.00
2026-01-27 17:34:00,0.5800,0.5700,0.5800,0.5700,0.5746,0.5800,334.00,45212.00
2026-01-27 17:35:00,0.5600,0.5500,0.5600,0.5500,0.5572,0.5700,122.00,45334.00
2026-01-27 17:36:00,0.5500,0.5300,0.5500,0.5300,0.5301,0.5500,2621.00,47936.00
2026-01-27 17:37:00,0.5400,0.5200,0.5800,0.5600,0.5628,0.5300,4666.00,52399.00
2026-01-27 17:38:00,0.5600,0.5300,0.5900,0.5900,0.5565,0.5600,1503.00,53902.00
2026-01-27 17:39:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,62.00,53964.00
2026-01-27 17:40:00,0.5900,0.5900,0.6300,0.6000,0.6116,0.5900,1926.00,55890.00
2026-01-27 17:41:00,0.6000,0.5700,0.6800,0.6800,0.6336,0.6000,3391.00,58969.00
2026-01-27 17:42:00,0.6800,0.6800,0.7900,0.7200,0.7495,0.6800,4856.00,59021.00
2026-01-27 17:43:00,0.7300,0.7300,0.7700,0.7700,0.7519,0.7200,915.00,59728.00
2026-01-27 17:44:00,0.7500,0.7500,0.8200,0.8200,0.8083,0.7700,3392.00,62056.00
2026-01-27 17:45:00,0.8200,0.8000,0.8200,0.8100,0.8161,0.8200,3187.00,64256.00
2026-01-27 17:46:00,0.8100,0.7600,0.8400,0.8400,0.8193,0.8100,4326.00,67232.00
2026-01-27 17:47:00,0.8400,0.8100,0.8400,0.8200,0.8333,0.8400,1556.00,68455.00
2026-01-27 17:48:00,0.8200,0.7800,0.8200,0.7900,0.7930,0.8200,1730.00,70144.00
2026-01-27 17:49:00,0.7800,0.7100,0.7900,0.7600,0.7568,0.7900,3956.00,71488.00
