end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-26 22:34:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:37:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:38:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:39:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:40:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:41:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:43:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:44:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:45:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:47:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:48:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:49:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:50:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:51:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:53:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:55:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:56:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:57:00,,,,,,0.8600,0.00,39.00
2026-01-26 22:59:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:00:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:01:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:02:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:03:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:05:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:07:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:08:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:09:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:10:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:11:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:12:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:13:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:14:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:15:00,,,,,,0.8600,0.00,39.00
2026-01-26 23:16:00,,,,,,0.8600,0.00,39.00
