end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-28 21:54:00,,,,,,0.7000,0.00,210.00
2026-01-28 21:55:00,,,,,,0.7000,0.00,210.00
2026-01-28 21:57:00,,,,,,0.7000,0.00,210.00
2026-01-28 22:00:00,,,,,,0.7000,0.00,210.00
2026-01-28 22:01:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1.00,211.00
2026-01-28 22:03:00,,,,,,0.7000,0.00,211.00
2026-01-28 22:04:00,,,,,,0.7000,0.00,211.00
2026-01-28 22:06:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,5.00,216.00
2026-01-28 22:07:00,,,,,,0.7000,0.00,216.00
2026-01-28 22:08:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,15.00,231.00
2026-01-28 22:09:00,,,,,,0.7000,0.00,231.00
2026-01-28 22:10:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,2.00,233.00
2026-01-28 22:12:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,27.00,260.00
2026-01-28 22:13:00,,,,,,0.7000,0.00,260.00
2026-01-28 22:14:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,13.00,273.00
2026-01-28 22:16:00,,,,,,0.7000,0.00,273.00
2026-01-28 22:17:00,,,,,,0.7000,0.00,273.00
2026-01-28 22:19:00,,,,,,0.7000,0.00,273.00
2026-01-28 22:20:00,,,,,,0.7000,0.00,273.00
2026-01-28 22:21:00,,,,,,0.7000,0.00,273.00
2026-01-28 22:22:00,,,,,,0.7000,0.00,273.00
2026-01-28 22:25:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1.00,274.00
2026-01-28 22:26:00,,,,,,0.7000,0.00,274.00
2026-01-28 22:27:00,,,,,,0.7000,0.00,274.00
2026-01-28 22:28:00,,,,,,0.7000,0.00,274.00
2026-01-28 22:29:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,5.00,279.00
2026-01-28 22:31:00,,,,,,0.7000,0.00,279.00
2026-01-28 22:32:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,69.00,348.00
2026-01-28 22:34:00,,,,,,0.7000,0.00,348.00
2026-01-28 22:35:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.7000,2.00,350.00
2026-01-28 22:37:00,,,,,,0.6700,0.00,350.00
2026-01-28 22:40:00,,,,,,0.6700,0.00,350.00
2026-01-28 22:41:00,,,,,,0.6700,0.00,350.00
2026-01-28 22:43:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6700,2.00,348.00
2026-01-28 22:44:00,,,,,,0.6600,0.00,348.00
2026-01-28 22:47:00,,,,,,0.6600,0.00,348.00
2026-01-28 22:48:00,,,,,,0.6600,0.00,348.00
2026-01-28 22:50:00,,,,,,0.6600,0.00,348.00
2026-01-28 22:51:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.6600,5.00,353.00
2026-01-28 22:53:00,,,,,,0.7000,0.00,353.00
2026-01-28 22:56:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,13.00,366.00
2026-01-28 22:57:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,14.00,380.00
2026-01-28 22:59:00,,,,,,0.7000,0.00,380.00
2026-01-28 23:02:00,,,,,,0.7000,0.00,380.00
2026-01-28 23:04:00,,,,,,0.7000,0.00,380.00
2026-01-28 23:05:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,8.00,388.00
2026-01-28 23:06:00,,,,,,0.7000,0.00,388.00
2026-01-28 23:08:00,,,,,,0.7000,0.00,388.00
2026-01-28 23:09:00,,,,,,0.7000,0.00,388.00
2026-01-28 23:11:00,,,,,,0.7000,0.00,388.00
2026-01-28 23:12:00,,,,,,0.7000,0.00,388.00
2026-01-28 23:14:00,,,,,,0.7000,0.00,388.00
2026-01-28 23:19:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,78.00,466.00
2026-01-28 23:21:00,,,,,,0.7000,0.00,466.00
2026-01-28 23:22:00,,,,,,0.7000,0.00,466.00
2026-01-28 23:23:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1.00,467.00
2026-01-28 23:25:00,,,,,,0.7000,0.00,467.00
2026-01-28 23:26:00,,,,,,0.7000,0.00,467.00
