end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-29 14:02:00,,,,,,0.8600,0.00,1694.00
2026-01-29 14:03:00,,,,,,0.8600,0.00,1694.00
2026-01-29 14:04:00,,,,,,0.8600,0.00,1694.00
2026-01-29 14:06:00,,,,,,0.8600,0.00,1694.00
2026-01-29 14:07:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,11.00,1705.00
2026-01-29 14:09:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8600,380.00,2074.00
2026-01-29 14:10:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:11:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:12:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:13:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:14:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:15:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:16:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:18:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:19:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:23:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:24:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:25:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:26:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:27:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:28:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:29:00,,,,,,0.8700,0.00,2074.00
2026-01-29 14:30:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8700,563.00,2637.00
2026-01-29 14:31:00,,,,,,0.8800,0.00,2637.00
2026-01-29 14:32:00,,,,,,0.8800,0.00,2637.00
2026-01-29 14:33:00,,,,,,0.8800,0.00,2637.00
2026-01-29 14:34:00,,,,,,0.8800,0.00,2637.00
2026-01-29 14:35:00,,,,,,0.8800,0.00,2637.00
2026-01-29 14:36:00,,,,,,0.8800,0.00,2637.00
2026-01-29 14:37:00,,,,,,0.8800,0.00,2637.00
2026-01-29 14:38:00,,,,,,0.8800,0.00,2637.00
2026-01-29 14:39:00,0.8800,0.8800,0.8800,0.8800,0.8800,0.8800,169.00,2806.00
2026-01-29 14:40:00,,,,,,0.8800,0.00,2806.00
