end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-01 09:36:00,,,,,,0.7700,0.00,646.00
2026-03-01 09:39:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,2.00,648.00
2026-03-01 09:40:00,,,,,,0.7700,0.00,648.00
2026-03-01 09:46:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,1.00,649.00
2026-03-01 09:48:00,,,,,,0.7700,0.00,649.00
2026-03-01 09:55:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,255.00,904.00
2026-03-01 09:56:00,,,,,,0.7700,0.00,904.00
2026-03-01 10:06:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,37.00,941.00
2026-03-01 10:07:00,,,,,,0.7700,0.00,941.00
2026-03-01 10:09:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,100.00,1041.00
2026-03-01 10:10:00,,,,,,0.7700,0.00,1041.00
2026-03-01 10:11:00,,,,,,0.7700,0.00,1041.00
2026-03-01 10:20:00,,,,,,0.7700,0.00,1041.00
2026-03-01 10:21:00,,,,,,0.7700,0.00,1041.00
2026-03-01 10:24:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,3.00,1044.00
2026-03-01 10:25:00,,,,,,0.7700,0.00,1044.00
2026-03-01 10:29:00,,,,,,0.7700,0.00,1044.00
2026-03-01 10:30:00,,,,,,0.7700,0.00,1044.00
2026-03-01 10:34:00,,,,,,0.7700,0.00,1044.00
2026-03-01 10:35:00,,,,,,0.7700,0.00,1044.00
2026-03-01 10:36:00,,,,,,0.7700,0.00,1044.00
2026-03-01 10:38:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,12.00,1056.00
2026-03-01 10:39:00,,,,,,0.7700,0.00,1056.00
2026-03-01 10:45:00,,,,,,0.7700,0.00,1056.00
2026-03-01 10:46:00,,,,,,0.7700,0.00,1056.00
