end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-04 03:01:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1600,27.00,115703.00
2026-03-04 03:02:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,93.00,115703.00
2026-03-04 03:03:00,,,,,,0.1700,0.00,115703.00
2026-03-04 03:04:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,8.00,115703.00
2026-03-04 03:05:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1700,129.00,115703.00
2026-03-04 03:06:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,4.00,115703.00
2026-03-04 03:07:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1600,28.00,115729.00
2026-03-04 03:09:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,1.00,115730.00
2026-03-04 03:10:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,5.00,115730.00
2026-03-04 03:11:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1700,177.00,115730.00
2026-03-04 03:12:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1800,5.00,115730.00
2026-03-04 03:13:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1700,1103.00,115888.00
2026-03-04 03:14:00,,,,,,0.1800,0.00,115888.00
2026-03-04 03:15:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1800,131.00,115888.00
2026-03-04 03:16:00,0.1800,0.1700,0.1800,0.1700,0.1796,0.1700,111.00,115995.00
2026-03-04 03:17:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1700,10.00,116005.00
2026-03-04 03:18:00,0.1700,0.1700,0.1800,0.1800,0.1719,0.1800,300.00,116062.00
2026-03-04 03:19:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1800,52.00,116062.00
2026-03-04 03:20:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,208.00,116070.00
2026-03-04 03:21:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,1155.00,116070.00
2026-03-04 03:23:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1700,238.00,116308.00
2026-03-04 03:24:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,42.00,116350.00
2026-03-04 03:25:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,36.00,116386.00
2026-03-04 03:27:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.1800,26.00,116386.00
2026-03-04 03:28:00,0.1700,0.1600,0.1700,0.1600,0.1621,0.1700,1081.00,116386.00
2026-03-04 03:29:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1600,3.00,116389.00
2026-03-04 03:30:00,0.1800,0.1600,0.1800,0.1600,0.1643,0.1800,70.00,116404.00
2026-03-04 03:33:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,3.00,116404.00
2026-03-04 03:34:00,,,,,,0.1600,0.00,116404.00
2026-03-04 03:35:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1600,21.00,116425.00
2026-03-04 03:38:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,15.00,116440.00
2026-03-04 03:39:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,52.00,116492.00
2026-03-04 03:40:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,26.00,116518.00
2026-03-04 03:41:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,52.00,116570.00
2026-03-04 03:42:00,,,,,,0.1800,0.00,116570.00
2026-03-04 03:43:00,,,,,,0.1800,0.00,116570.00
2026-03-04 03:44:00,0.1600,0.1600,0.1800,0.1800,0.1609,0.1800,110.00,116575.00
2026-03-04 03:45:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,13.00,116588.00
2026-03-04 03:46:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,7.00,116595.00
2026-03-04 03:48:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,10.00,116605.00
2026-03-04 03:49:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1800,5.00,116600.00
2026-03-04 03:52:00,,,,,,0.1600,0.00,116600.00
