end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-04 03:01:00,0.8500,0.8400,0.8500,0.8500,0.8456,0.8500,62.00,234825.00
2026-03-04 03:02:00,0.8400,0.8400,0.8500,0.8500,0.8407,0.8500,163.00,234825.00
2026-03-04 03:04:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8500,97.00,234825.00
2026-03-04 03:05:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8400,2.00,234825.00
2026-03-04 03:07:00,0.8400,0.8400,0.8500,0.8500,0.8450,0.8400,4.00,234825.00
2026-03-04 03:08:00,0.8500,0.8400,0.8500,0.8400,0.8402,0.8500,58.00,234825.00
2026-03-04 03:09:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8400,7.00,234825.00
2026-03-04 03:10:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8400,3.00,234825.00
2026-03-04 03:11:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,1.00,234825.00
2026-03-04 03:12:00,0.8400,0.8400,0.8500,0.8500,0.8499,0.8500,255.00,234825.00
2026-03-04 03:13:00,0.8400,0.8200,0.8400,0.8200,0.8296,0.8500,421.00,234730.00
2026-03-04 03:16:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8200,1.00,234731.00
2026-03-04 03:17:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8400,12.00,234743.00
2026-03-04 03:18:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8400,1177.00,235920.00
2026-03-04 03:19:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8400,53.00,235973.00
2026-03-04 03:20:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8400,1.00,235974.00
2026-03-04 03:21:00,0.8400,0.8200,0.8400,0.8200,0.8236,0.8400,55.00,235984.00
2026-03-04 03:22:00,0.8400,0.8200,0.8400,0.8400,0.8253,0.8200,136.00,236020.00
2026-03-04 03:23:00,0.8400,0.8200,0.8400,0.8400,0.8351,0.8400,69.00,236072.00
2026-03-04 03:24:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8400,43.00,236115.00
2026-03-04 03:25:00,,,,,,0.8400,0.00,236115.00
2026-03-04 03:26:00,0.8300,0.8200,0.8400,0.8400,0.8302,0.8400,231.00,236139.00
2026-03-04 03:27:00,0.8400,0.8400,0.8500,0.8500,0.8482,0.8400,857.00,236625.00
2026-03-04 03:28:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8500,6.00,236625.00
2026-03-04 03:29:00,0.8400,0.8400,0.8500,0.8500,0.8478,0.8200,370.00,236875.00
2026-03-04 03:30:00,0.8400,0.8400,0.8500,0.8500,0.8499,0.8500,1014.00,236889.00
2026-03-04 03:31:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8500,799.00,236789.00
2026-03-04 03:32:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,511.00,236789.00
2026-03-04 03:33:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8200,660.00,236789.00
2026-03-04 03:34:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,5.00,236789.00
2026-03-04 03:35:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,10.00,236789.00
2026-03-04 03:36:00,0.8300,0.8300,0.8500,0.8300,0.8311,0.8500,1069.00,236800.00
2026-03-04 03:37:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8300,3.00,236800.00
2026-03-04 03:38:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8500,48.00,236800.00
2026-03-04 03:42:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8300,394.00,236800.00
2026-03-04 03:43:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,141.00,236800.00
2026-03-04 03:44:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,100.00,236800.00
2026-03-04 03:45:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,34.00,236800.00
2026-03-04 03:46:00,0.8500,0.8300,0.8500,0.8300,0.8353,0.8500,87.00,236800.00
2026-03-04 03:47:00,0.8500,0.8300,0.8500,0.8300,0.8401,0.8300,69.00,236800.00
2026-03-04 03:48:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8300,10.00,236800.00
2026-03-04 03:49:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,120.00,236800.00
2026-03-04 03:52:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,14.00,236800.00
