end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-04 11:47:00,0.3000,0.3000,0.3100,0.3100,0.3097,0.3000,30.00,1093.00
2026-03-04 11:50:00,,,,,,0.3100,0.00,1093.00
2026-03-04 11:51:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,15.00,1108.00
2026-03-04 11:52:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3000,76.00,1184.00
2026-03-04 11:53:00,,,,,,0.3100,0.00,1184.00
2026-03-04 11:55:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,1.00,1185.00
2026-03-04 11:56:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,15.00,1200.00
2026-03-04 11:57:00,,,,,,0.3000,0.00,1200.00
2026-03-04 11:59:00,,,,,,0.3000,0.00,1200.00
2026-03-04 12:00:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3000,1.00,1201.00
2026-03-04 12:01:00,0.2900,0.2900,0.3000,0.3000,0.2938,0.2900,324.00,1525.00
2026-03-04 12:02:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,3.00,1528.00
2026-03-04 12:03:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,63.00,1591.00
2026-03-04 12:04:00,0.2900,0.2900,0.3000,0.3000,0.2949,0.3000,317.00,1908.00
2026-03-04 12:05:00,0.2900,0.2900,0.3000,0.3000,0.2971,0.3000,684.00,2592.00
2026-03-04 12:06:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,3.00,2595.00
2026-03-04 12:07:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,18.00,2613.00
2026-03-04 12:08:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,6.00,2619.00
2026-03-04 12:09:00,,,,,,0.3000,0.00,2619.00
2026-03-04 12:10:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,55.00,2674.00
2026-03-04 12:11:00,,,,,,0.3000,0.00,2674.00
2026-03-04 12:12:00,,,,,,0.3000,0.00,2674.00
2026-03-04 12:13:00,,,,,,0.3000,0.00,2674.00
2026-03-04 12:15:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3000,1.00,2674.00
2026-03-04 12:16:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,82.00,2756.00
2026-03-04 12:17:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,31.00,2787.00
2026-03-04 12:18:00,,,,,,0.3000,0.00,2787.00
2026-03-04 12:19:00,,,,,,0.3000,0.00,2787.00
2026-03-04 12:20:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,222.00,3009.00
2026-03-04 12:21:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,468.00,3477.00
2026-03-04 12:22:00,,,,,,0.3000,0.00,3477.00
2026-03-04 12:23:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,60.00,3537.00
2026-03-04 12:24:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3000,1.00,3538.00
2026-03-04 12:25:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,1.00,3539.00
2026-03-04 12:26:00,,,,,,0.3000,0.00,3539.00
2026-03-04 12:27:00,,,,,,0.3000,0.00,3539.00
2026-03-04 12:28:00,,,,,,0.3000,0.00,3539.00
2026-03-04 12:29:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,5.00,3544.00
2026-03-04 12:30:00,0.3000,0.3000,0.3100,0.3100,0.3037,0.3000,3120.00,6664.00
2026-03-04 12:32:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,54.00,6718.00
2026-03-04 12:33:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,41.00,6759.00
2026-03-04 12:34:00,0.3000,0.2800,0.3000,0.2800,0.2979,0.3000,107.00,6855.00
