end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-06 06:52:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,7.00,974.00
2026-03-06 06:59:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,136.00,1110.00
2026-03-06 07:01:00,,,,,,0.7000,0.00,1110.00
2026-03-06 07:03:00,,,,,,0.7000,0.00,1110.00
2026-03-06 07:09:00,,,,,,0.7000,0.00,1110.00
2026-03-06 07:10:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,20.00,1130.00
2026-03-06 07:11:00,,,,,,0.7000,0.00,1130.00
2026-03-06 07:13:00,,,,,,0.7000,0.00,1130.00
2026-03-06 07:15:00,,,,,,0.7000,0.00,1130.00
2026-03-06 07:16:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7000,22.00,1152.00
2026-03-06 07:23:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,7.00,1159.00
2026-03-06 07:35:00,0.6900,0.6900,0.7000,0.7000,0.6967,0.6900,63.00,1222.00
2026-03-06 07:36:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,69.00,1291.00
2026-03-06 07:37:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,46.00,1337.00
2026-03-06 07:39:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,13.00,1350.00
2026-03-06 07:41:00,,,,,,0.7000,0.00,1350.00
2026-03-06 07:43:00,,,,,,0.7000,0.00,1350.00
2026-03-06 07:45:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1645.00,2995.00
2026-03-06 07:48:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,138.00,3133.00
2026-03-06 07:49:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,20.00,3153.00
2026-03-06 07:50:00,,,,,,0.7000,0.00,3153.00
2026-03-06 07:51:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,63.00,3216.00
2026-03-06 07:52:00,,,,,,0.7000,0.00,3216.00
2026-03-06 07:53:00,,,,,,0.7000,0.00,3216.00
2026-03-06 07:54:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,216.00,3432.00
2026-03-06 07:56:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7000,5.00,3437.00
2026-03-06 07:57:00,,,,,,0.6900,0.00,3437.00
2026-03-06 07:59:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,21.00,3458.00
2026-03-06 08:00:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,19.00,3477.00
2026-03-06 08:02:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,21.00,3498.00
2026-03-06 08:03:00,,,,,,0.6900,0.00,3498.00
2026-03-06 08:04:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,21.00,3519.00
2026-03-06 08:05:00,,,,,,0.6900,0.00,3519.00
2026-03-06 08:06:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,6.00,3525.00
2026-03-06 08:07:00,,,,,,0.6800,0.00,3525.00
2026-03-06 08:08:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,7.00,3532.00
2026-03-06 08:09:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,10.00,3542.00
2026-03-06 08:10:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,7.00,3549.00
2026-03-06 08:11:00,,,,,,0.6800,0.00,3549.00
2026-03-06 08:13:00,0.6900,0.6900,0.7000,0.7000,0.6905,0.6800,1055.00,4604.00
2026-03-06 08:14:00,,,,,,0.7000,0.00,4604.00
2026-03-06 08:15:00,0.6900,0.6900,0.7000,0.7000,0.6997,0.7000,38.00,4642.00
2026-03-06 08:16:00,0.6900,0.6900,0.7000,0.7000,0.6995,0.7000,1173.00,5815.00
2026-03-06 08:17:00,,,,,,0.7000,0.00,5815.00
2026-03-06 08:18:00,0.6900,0.6800,0.6900,0.6900,0.6888,0.7000,877.00,6692.00
2026-03-06 08:19:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6900,55.00,6747.00
2026-03-06 08:20:00,,,,,,0.6800,0.00,6747.00
2026-03-06 08:21:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6800,226.00,6973.00
2026-03-06 08:22:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,10.00,6983.00
2026-03-06 08:23:00,0.6900,0.6700,0.6900,0.6900,0.6848,0.6900,73.00,7021.00
