end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-07 07:31:00,,,,,,0.4200,0.00,5093.00
2026-03-07 07:35:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,177.00,5270.00
2026-03-07 07:36:00,,,,,,0.4200,0.00,5270.00
2026-03-07 07:46:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,24.00,5294.00
2026-03-07 07:48:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,5.00,5299.00
2026-03-07 07:49:00,,,,,,0.4200,0.00,5299.00
2026-03-07 07:50:00,,,,,,0.4200,0.00,5299.00
2026-03-07 07:51:00,,,,,,0.4200,0.00,5299.00
2026-03-07 07:53:00,,,,,,0.4200,0.00,5299.00
2026-03-07 07:54:00,,,,,,0.4200,0.00,5299.00
2026-03-07 07:55:00,,,,,,0.4200,0.00,5299.00
2026-03-07 07:56:00,,,,,,0.4200,0.00,5299.00
2026-03-07 07:57:00,,,,,,0.4200,0.00,5299.00
2026-03-07 07:58:00,,,,,,0.4200,0.00,5299.00
2026-03-07 07:59:00,,,,,,0.4200,0.00,5299.00
2026-03-07 08:00:00,,,,,,0.4200,0.00,5299.00
2026-03-07 08:01:00,,,,,,0.4200,0.00,5299.00
2026-03-07 08:02:00,,,,,,0.4200,0.00,5299.00
2026-03-07 08:03:00,,,,,,0.4200,0.00,5299.00
2026-03-07 08:04:00,,,,,,0.4200,0.00,5299.00
2026-03-07 08:05:00,,,,,,0.4200,0.00,5299.00
2026-03-07 08:06:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,91.00,5390.00
2026-03-07 08:07:00,,,,,,0.4200,0.00,5390.00
2026-03-07 08:08:00,,,,,,0.4200,0.00,5390.00
2026-03-07 08:09:00,,,,,,0.4200,0.00,5390.00
2026-03-07 08:10:00,,,,,,0.4200,0.00,5390.00
2026-03-07 08:11:00,,,,,,0.4200,0.00,5390.00
2026-03-07 08:12:00,,,,,,0.4200,0.00,5390.00
2026-03-07 08:13:00,,,,,,0.4200,0.00,5390.00
2026-03-07 08:14:00,,,,,,0.4200,0.00,5390.00
2026-03-07 08:15:00,,,,,,0.4200,0.00,5390.00
2026-03-07 08:17:00,,,,,,0.4200,0.00,5390.00
2026-03-07 08:18:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,2.00,5392.00
2026-03-07 08:24:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,11.00,5403.00
2026-03-07 08:29:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,46.00,5449.00
2026-03-07 08:31:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,340.00,5789.00
2026-03-07 08:35:00,,,,,,0.4200,0.00,5789.00
2026-03-07 08:39:00,,,,,,0.4200,0.00,5789.00
2026-03-07 08:42:00,0.4100,0.4000,0.4100,0.4000,0.4004,0.4200,537.00,5812.00
2026-03-07 08:45:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4000,592.00,6404.00
2026-03-07 08:46:00,,,,,,0.4100,0.00,6404.00
2026-03-07 08:47:00,,,,,,0.4100,0.00,6404.00
2026-03-07 08:48:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,4.00,6408.00
2026-03-07 08:49:00,,,,,,0.4100,0.00,6408.00
2026-03-07 08:51:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,145.00,6553.00
2026-03-07 08:53:00,,,,,,0.4100,0.00,6553.00
2026-03-07 08:56:00,,,,,,0.4100,0.00,6553.00
2026-03-07 08:57:00,,,,,,0.4100,0.00,6553.00
2026-03-07 08:58:00,,,,,,0.4100,0.00,6553.00
2026-03-07 08:59:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,232.00,6785.00
2026-03-07 09:01:00,,,,,,0.4100,0.00,6785.00
2026-03-07 09:02:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,137.00,6922.00
2026-03-07 09:03:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,1.00,6923.00
2026-03-07 09:04:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,113.00,7036.00
2026-03-07 09:05:00,,,,,,0.4100,0.00,7036.00
2026-03-07 09:06:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,47.00,7083.00
2026-03-07 09:07:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,40.00,7123.00
2026-03-07 09:08:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4000,84.00,7207.00
2026-03-07 09:09:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,66.00,7273.00
2026-03-07 09:11:00,,,,,,0.4100,0.00,7273.00
2026-03-07 09:12:00,,,,,,0.4100,0.00,7273.00
2026-03-07 09:13:00,,,,,,0.4100,0.00,7273.00
2026-03-07 09:14:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4100,21.00,7273.00
2026-03-07 09:15:00,,,,,,0.4000,0.00,7273.00
2026-03-07 09:16:00,,,,,,0.4000,0.00,7273.00
2026-03-07 09:17:00,,,,,,0.4000,0.00,7273.00
2026-03-07 09:20:00,,,,,,0.4000,0.00,7273.00
2026-03-07 09:21:00,,,,,,0.4000,0.00,7273.00
2026-03-07 09:22:00,,,,,,0.4000,0.00,7273.00
2026-03-07 09:23:00,,,,,,0.4000,0.00,7273.00
2026-03-07 09:24:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4000,150.00,7423.00
2026-03-07 09:25:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,23.00,7446.00
2026-03-07 09:26:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,118.00,7564.00
2026-03-07 09:27:00,,,,,,0.4100,0.00,7564.00
2026-03-07 09:28:00,0.4100,0.4100,0.4300,0.4300,0.4105,0.4100,5225.00,12749.00
2026-03-07 09:29:00,0.4300,0.4100,0.4300,0.4100,0.4202,0.4300,47.00,12749.00
2026-03-07 09:30:00,0.4000,0.4000,0.4200,0.4100,0.4184,0.4100,1280.00,13484.00
2026-03-07 09:31:00,0.4200,0.4200,0.4600,0.4600,0.4556,0.4100,2376.00,14746.00
2026-03-07 09:32:00,0.4800,0.4700,0.5700,0.5700,0.5105,0.4600,2409.00,16991.00
2026-03-07 09:33:00,0.5900,0.5400,0.6000,0.5400,0.5814,0.5700,3859.00,20850.00
2026-03-07 09:34:00,0.5100,0.5100,0.5500,0.5300,0.5340,0.5400,1342.00,21864.00
2026-03-07 09:35:00,0.5400,0.5300,0.5900,0.5900,0.5513,0.5300,3329.00,23964.00
2026-03-07 09:36:00,0.5300,0.4300,0.5400,0.4300,0.4747,0.5900,5842.00,22591.00
2026-03-07 09:37:00,0.4500,0.4400,0.4500,0.4400,0.4423,0.4300,35.00,22618.00
2026-03-07 09:38:00,0.4200,0.3900,0.4200,0.4000,0.4126,0.4400,402.00,22735.00
2026-03-07 09:39:00,0.4000,0.3800,0.4000,0.3800,0.3878,0.4000,683.00,22749.00
2026-03-07 09:40:00,0.3700,0.3700,0.4000,0.4000,0.3759,0.3800,3174.00,25395.00
2026-03-07 09:41:00,0.3900,0.3500,0.4000,0.3500,0.3939,0.4000,779.00,26174.00
2026-03-07 09:42:00,0.3400,0.3100,0.3700,0.3700,0.3334,0.3500,2383.00,27741.00
2026-03-07 09:43:00,0.3800,0.3600,0.4300,0.4300,0.3710,0.3700,3439.00,30701.00
2026-03-07 09:44:00,0.4200,0.4200,0.4300,0.4300,0.4279,0.4300,483.00,31000.00
2026-03-07 09:45:00,0.4300,0.3900,0.4800,0.4800,0.4474,0.4300,890.00,31658.00
2026-03-07 09:46:00,0.4000,0.4000,0.4700,0.4700,0.4318,0.4800,124.00,31717.00
2026-03-07 09:47:00,0.4600,0.4600,0.6000,0.5400,0.5522,0.4700,6359.00,35543.00
2026-03-07 09:48:00,0.5400,0.5000,0.5800,0.5100,0.5207,0.5400,3751.00,37397.00
2026-03-07 09:49:00,0.4600,0.4000,0.4700,0.4000,0.4412,0.5100,3093.00,40349.00
2026-03-07 09:50:00,0.3700,0.3400,0.3900,0.3900,0.3456,0.4000,4320.00,44652.00
2026-03-07 09:51:00,0.4000,0.3600,0.4300,0.4000,0.4111,0.3900,9826.00,54476.00
2026-03-07 09:52:00,0.3900,0.2900,0.3900,0.2900,0.3565,0.4000,1907.00,55996.00
2026-03-07 09:53:00,0.2900,0.2700,0.4200,0.3100,0.3279,0.2900,5407.00,59860.00
2026-03-07 09:54:00,0.3100,0.2200,0.3100,0.2300,0.2612,0.3100,1074.00,60157.00
2026-03-07 09:55:00,0.2200,0.2000,0.2300,0.2100,0.2176,0.2300,4529.00,57733.00
2026-03-07 09:56:00,0.2100,0.1700,0.2200,0.1700,0.1985,0.2100,1632.00,58965.00
2026-03-07 09:57:00,0.1800,0.1500,0.1800,0.1500,0.1685,0.1700,2907.00,61300.00
2026-03-07 09:58:00,0.1500,0.1400,0.1600,0.1400,0.1545,0.1500,5564.00,66564.00
2026-03-07 09:59:00,0.1400,0.1100,0.1400,0.1400,0.1316,0.1400,1265.00,67359.00
2026-03-07 10:00:00,0.1400,0.1400,0.1600,0.1600,0.1502,0.1400,2766.00,70125.00
2026-03-07 10:01:00,0.1600,0.1600,0.1700,0.1700,0.1688,0.1600,988.00,71113.00
