end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-07 07:31:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,510.00,11571.00
2026-03-07 07:33:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,446.00,12017.00
2026-03-07 07:34:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,16.00,12033.00
2026-03-07 07:35:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,129.00,12162.00
2026-03-07 07:36:00,,,,,,0.6000,0.00,12162.00
2026-03-07 07:37:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.6000,3.00,12159.00
2026-03-07 07:40:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5800,198.00,12357.00
2026-03-07 07:44:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,1.00,12358.00
2026-03-07 07:46:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,57.00,12415.00
2026-03-07 07:49:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,5.00,12420.00
2026-03-07 07:50:00,0.6000,0.6000,0.6100,0.6100,0.6061,0.6000,4042.00,16462.00
2026-03-07 07:51:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,65.00,16527.00
2026-03-07 07:52:00,,,,,,0.6100,0.00,16527.00
2026-03-07 07:53:00,,,,,,0.6100,0.00,16527.00
2026-03-07 07:54:00,,,,,,0.6100,0.00,16527.00
2026-03-07 07:55:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6100,37.00,16564.00
2026-03-07 07:56:00,,,,,,0.6000,0.00,16564.00
2026-03-07 07:57:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,130.00,16694.00
2026-03-07 07:58:00,,,,,,0.6000,0.00,16694.00
2026-03-07 07:59:00,,,,,,0.6000,0.00,16694.00
2026-03-07 08:00:00,,,,,,0.6000,0.00,16694.00
2026-03-07 08:01:00,,,,,,0.6000,0.00,16694.00
2026-03-07 08:02:00,,,,,,0.6000,0.00,16694.00
2026-03-07 08:03:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,44.00,16738.00
2026-03-07 08:04:00,,,,,,0.6000,0.00,16738.00
2026-03-07 08:05:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,8.00,16746.00
2026-03-07 08:06:00,,,,,,0.6000,0.00,16746.00
2026-03-07 08:07:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,419.00,17165.00
2026-03-07 08:08:00,,,,,,0.6000,0.00,17165.00
2026-03-07 08:09:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,2.00,17167.00
2026-03-07 08:10:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,79.00,17246.00
2026-03-07 08:11:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,238.00,17484.00
2026-03-07 08:12:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,1991.00,19475.00
2026-03-07 08:13:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,40.00,19515.00
2026-03-07 08:14:00,,,,,,0.6000,0.00,19515.00
2026-03-07 08:17:00,,,,,,0.6000,0.00,19515.00
2026-03-07 08:18:00,,,,,,0.6000,0.00,19515.00
