end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-11 08:13:00,,,,,,0.5900,0.00,6427.00
2026-03-11 08:14:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,165.00,6592.00
2026-03-11 08:19:00,,,,,,0.5900,0.00,6592.00
2026-03-11 08:20:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,8.00,6600.00
2026-03-11 08:21:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,30.00,6630.00
2026-03-11 08:22:00,,,,,,0.5900,0.00,6630.00
2026-03-11 08:23:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,1.00,6631.00
2026-03-11 08:28:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,81.00,6712.00
2026-03-11 08:29:00,,,,,,0.5900,0.00,6712.00
2026-03-11 08:30:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,187.00,6899.00
2026-03-11 08:35:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,57.00,6956.00
2026-03-11 08:36:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,82.00,7038.00
2026-03-11 08:39:00,,,,,,0.5900,0.00,7038.00
2026-03-11 08:40:00,,,,,,0.5900,0.00,7038.00
2026-03-11 08:41:00,,,,,,0.5900,0.00,7038.00
2026-03-11 08:42:00,,,,,,0.5900,0.00,7038.00
2026-03-11 08:43:00,,,,,,0.5900,0.00,7038.00
2026-03-11 08:44:00,,,,,,0.5900,0.00,7038.00
2026-03-11 08:45:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,55.00,7093.00
2026-03-11 08:46:00,,,,,,0.6000,0.00,7093.00
2026-03-11 08:48:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,1.00,7094.00
2026-03-11 08:51:00,,,,,,0.6000,0.00,7094.00
2026-03-11 08:53:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,25.00,7119.00
2026-03-11 08:56:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,10.00,7129.00
2026-03-11 09:01:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,725.00,7854.00
2026-03-11 09:04:00,,,,,,0.6000,0.00,7854.00
2026-03-11 09:05:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,3.00,7857.00
2026-03-11 09:06:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,16.00,7873.00
2026-03-11 09:09:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,155.00,8028.00
2026-03-11 09:10:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,11.00,8039.00
2026-03-11 09:11:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,13.00,8052.00
2026-03-11 09:12:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,56.00,8108.00
2026-03-11 09:13:00,,,,,,0.6000,0.00,8108.00
2026-03-11 09:14:00,,,,,,0.6000,0.00,8108.00
2026-03-11 09:16:00,,,,,,0.6000,0.00,8108.00
2026-03-11 09:17:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,451.00,8559.00
2026-03-11 09:18:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,62.00,8621.00
2026-03-11 09:21:00,,,,,,0.6000,0.00,8621.00
2026-03-11 09:22:00,0.6000,0.6000,0.6100,0.6100,0.6063,0.6000,284.00,8905.00
2026-03-11 09:23:00,0.6100,0.5900,0.6100,0.5900,0.5942,0.6100,24.00,8910.00
2026-03-11 09:24:00,,,,,,0.5900,0.00,8910.00
2026-03-11 09:25:00,,,,,,0.5900,0.00,8910.00
2026-03-11 09:26:00,,,,,,0.5900,0.00,8910.00
2026-03-11 09:27:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.5900,158.00,9068.00
2026-03-11 09:28:00,,,,,,0.6100,0.00,9068.00
2026-03-11 09:29:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,23.00,9091.00
2026-03-11 09:30:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,81.00,9172.00
2026-03-11 09:31:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,16.00,9188.00
2026-03-11 09:32:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,7527.00,16715.00
