end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-02 13:47:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,37.00,10914.00
2026-02-02 13:48:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,260.00,11174.00
2026-02-02 13:49:00,,,,,,0.5900,0.00,11174.00
2026-02-02 13:50:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,645.00,11819.00
2026-02-02 13:51:00,,,,,,0.5900,0.00,11819.00
2026-02-02 13:52:00,,,,,,0.5900,0.00,11819.00
2026-02-02 13:53:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,346.00,12165.00
2026-02-02 13:54:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,81.00,12246.00
2026-02-02 13:55:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,411.00,12657.00
2026-02-02 13:56:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,20.00,12677.00
2026-02-02 13:57:00,,,,,,0.5900,0.00,12677.00
2026-02-02 13:58:00,,,,,,0.5900,0.00,12677.00
2026-02-02 13:59:00,,,,,,0.5900,0.00,12677.00
2026-02-02 14:00:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,18.00,12695.00
2026-02-02 14:01:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,82.00,12777.00
2026-02-02 14:02:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,755.00,13532.00
2026-02-02 14:03:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,145.00,13677.00
2026-02-02 14:04:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,32.00,13709.00
2026-02-02 14:05:00,,,,,,0.5900,0.00,13709.00
2026-02-02 14:06:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,26.00,13735.00
2026-02-02 14:07:00,,,,,,0.5900,0.00,13735.00
2026-02-02 14:08:00,,,,,,0.5900,0.00,13735.00
2026-02-02 14:09:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,82.00,13817.00
2026-02-02 14:10:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,163.00,13980.00
2026-02-02 14:11:00,,,,,,0.5900,0.00,13980.00
2026-02-02 14:12:00,,,,,,0.5900,0.00,13980.00
2026-02-02 14:13:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,345.00,14325.00
2026-02-02 14:14:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,164.00,14489.00
2026-02-02 14:16:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,145.00,14634.00
2026-02-02 14:17:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,4.00,14638.00
2026-02-02 14:18:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,113.00,14751.00
2026-02-02 14:19:00,,,,,,0.5900,0.00,14751.00
2026-02-02 14:20:00,,,,,,0.5900,0.00,14751.00
2026-02-02 14:21:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,3949.00,18700.00
2026-02-02 14:22:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,1.00,18701.00
2026-02-02 14:23:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,486.00,19187.00
2026-02-02 14:24:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,3449.00,22636.00
2026-02-02 14:25:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,16.00,22652.00
2026-02-02 14:26:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,49.00,22701.00
2026-02-02 14:27:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,541.00,23242.00
2026-02-02 14:28:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,281.00,23523.00
2026-02-02 14:29:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,81.00,23604.00
2026-02-02 14:30:00,0.5900,0.5900,0.6000,0.6000,0.5933,0.6000,242.00,23683.00
2026-02-02 14:31:00,0.6000,0.6000,0.6100,0.6100,0.6040,0.6000,1396.00,25079.00
2026-02-02 14:32:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,1236.00,26315.00
2026-02-02 14:33:00,0.6100,0.6100,0.6200,0.6200,0.6179,0.6100,856.00,27171.00
