end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-03 11:23:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4300,67.00,20707.00
2026-02-03 11:24:00,,,,,,0.4200,0.00,20707.00
2026-02-03 11:25:00,,,,,,0.4200,0.00,20707.00
2026-02-03 11:26:00,0.4100,0.4100,0.4200,0.4200,0.4121,0.4200,208.00,20750.00
2026-02-03 11:27:00,,,,,,0.4200,0.00,20750.00
2026-02-03 11:28:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,286.00,21036.00
2026-02-03 11:29:00,,,,,,0.4200,0.00,21036.00
2026-02-03 11:30:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,129.00,21165.00
2026-02-03 11:31:00,0.4200,0.4200,0.4300,0.4300,0.4269,0.4200,526.00,21691.00
2026-02-03 11:32:00,,,,,,0.4300,0.00,21691.00
2026-02-03 11:33:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,60.00,21751.00
2026-02-03 11:34:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,10.00,21761.00
2026-02-03 11:35:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,46.00,21807.00
2026-02-03 11:36:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,33.00,21840.00
2026-02-03 11:37:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,70.00,21910.00
2026-02-03 11:38:00,,,,,,0.4300,0.00,21910.00
2026-02-03 11:39:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,25.00,21935.00
2026-02-03 11:40:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,6.00,21941.00
2026-02-03 11:41:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,4444.00,26385.00
2026-02-03 11:42:00,,,,,,0.4300,0.00,26385.00
2026-02-03 11:43:00,,,,,,0.4300,0.00,26385.00
2026-02-03 11:44:00,,,,,,0.4300,0.00,26385.00
2026-02-03 11:45:00,,,,,,0.4300,0.00,26385.00
2026-02-03 11:46:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,198.00,26583.00
2026-02-03 11:47:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,1111.00,27694.00
2026-02-03 11:49:00,,,,,,0.4300,0.00,27694.00
2026-02-03 11:50:00,,,,,,0.4300,0.00,27694.00
2026-02-03 11:51:00,,,,,,0.4300,0.00,27694.00
2026-02-03 11:52:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,1110.00,28804.00
2026-02-03 11:53:00,0.4300,0.4200,0.4300,0.4200,0.4210,0.4300,651.00,28869.00
