end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-06 12:32:00,,,,,,0.6300,0.00,22245.00
2026-02-06 12:35:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,22260.00
2026-02-06 12:36:00,,,,,,0.6300,0.00,22260.00
2026-02-06 12:37:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,22275.00
2026-02-06 12:38:00,,,,,,0.6300,0.00,22275.00
2026-02-06 12:39:00,,,,,,0.6300,0.00,22275.00
2026-02-06 12:40:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,100.00,22375.00
2026-02-06 12:41:00,,,,,,0.6300,0.00,22375.00
2026-02-06 12:43:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,20.00,22395.00
2026-02-06 12:44:00,,,,,,0.6300,0.00,22395.00
2026-02-06 12:45:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,153.00,22548.00
2026-02-06 12:46:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,13.00,22561.00
2026-02-06 12:49:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1.00,22562.00
2026-02-06 12:50:00,,,,,,0.6300,0.00,22562.00
2026-02-06 12:51:00,,,,,,0.6300,0.00,22562.00
2026-02-06 12:52:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,22577.00
2026-02-06 12:53:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1.00,22578.00
2026-02-06 12:54:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,61.00,22639.00
2026-02-06 12:55:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1.00,22640.00
2026-02-06 12:56:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,48.00,22688.00
2026-02-06 12:57:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,2012.00,24700.00
2026-02-06 12:58:00,,,,,,0.6300,0.00,24700.00
2026-02-06 12:59:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,58.00,24758.00
2026-02-06 13:00:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,307.00,25065.00
2026-02-06 13:01:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,100.00,25165.00
2026-02-06 13:02:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,150.00,25315.00
2026-02-06 13:03:00,,,,,,0.6300,0.00,25315.00
2026-02-06 13:04:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,25330.00
2026-02-06 13:05:00,,,,,,0.6300,0.00,25330.00
2026-02-06 13:06:00,,,,,,0.6300,0.00,25330.00
2026-02-06 13:07:00,,,,,,0.6300,0.00,25330.00
2026-02-06 13:08:00,,,,,,0.6300,0.00,25330.00
2026-02-06 13:09:00,,,,,,0.6300,0.00,25330.00
2026-02-06 13:10:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,154.00,25484.00
2026-02-06 13:11:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,84.00,25568.00
2026-02-06 13:12:00,,,,,,0.6300,0.00,25568.00
2026-02-06 13:13:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,266.00,25834.00
2026-02-06 13:14:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,194.00,26028.00
2026-02-06 13:16:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,46.00,26074.00
2026-02-06 13:17:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,63.00,26137.00
2026-02-06 13:18:00,,,,,,0.6300,0.00,26137.00
2026-02-06 13:19:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,12.00,26149.00
2026-02-06 13:20:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,46.00,26195.00
2026-02-06 13:21:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,20.00,26215.00
2026-02-06 13:22:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,175.00,26390.00
2026-02-06 13:23:00,,,,,,0.6300,0.00,26390.00
2026-02-06 13:24:00,0.6200,0.6100,0.6200,0.6100,0.6148,0.6300,58.00,26334.00
2026-02-06 13:25:00,,,,,,0.6100,0.00,26334.00
2026-02-06 13:26:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6100,4.00,26338.00
2026-02-06 13:27:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,275.00,26613.00
2026-02-06 13:28:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,84.00,26697.00
2026-02-06 13:29:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,203.00,26900.00
2026-02-06 13:31:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,77.00,26977.00
2026-02-06 13:32:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,290.00,27267.00
2026-02-06 13:33:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,621.00,27888.00
2026-02-06 13:34:00,,,,,,0.6300,0.00,27888.00
2026-02-06 13:35:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,32.00,27920.00
2026-02-06 13:36:00,,,,,,0.6300,0.00,27920.00
2026-02-06 13:37:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,322.00,28242.00
2026-02-06 13:38:00,,,,,,0.6300,0.00,28242.00
2026-02-06 13:39:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,28257.00
2026-02-06 13:40:00,,,,,,0.6300,0.00,28257.00
2026-02-06 13:41:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,33.00,28290.00
2026-02-06 13:42:00,0.6300,0.6200,0.6300,0.6200,0.6229,0.6300,21.00,28281.00
2026-02-06 13:43:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6200,121.00,28402.00
2026-02-06 13:44:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,159.00,28561.00
2026-02-06 13:45:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,506.00,29067.00
2026-02-06 13:46:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,2.00,29069.00
2026-02-06 13:47:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,402.00,29471.00
2026-02-06 13:48:00,,,,,,0.6300,0.00,29471.00
2026-02-06 13:49:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,31.00,29502.00
2026-02-06 13:50:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,245.00,29747.00
2026-02-06 13:51:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,8.00,29755.00
2026-02-06 13:52:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,393.00,30148.00
2026-02-06 13:53:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6300,107.00,30041.00
2026-02-06 13:54:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6200,366.00,30407.00
2026-02-06 13:55:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,325.00,30732.00
2026-02-06 13:57:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,62.00,30794.00
2026-02-06 13:58:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,30.00,30824.00
2026-02-06 13:59:00,,,,,,0.6400,0.00,30824.00
2026-02-06 14:00:00,,,,,,0.6400,0.00,30824.00
2026-02-06 14:01:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,570.00,31394.00
2026-02-06 14:02:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,3534.00,34928.00
2026-02-06 14:03:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,37.00,34965.00
2026-02-06 14:04:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,151.00,35116.00
2026-02-06 14:05:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,254.00,35370.00
2026-02-06 14:06:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,54.00,35424.00
2026-02-06 14:07:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,452.00,35876.00
2026-02-06 14:08:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,74.00,35950.00
2026-02-06 14:09:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1984.00,37934.00
2026-02-06 14:10:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,583.00,38517.00
2026-02-06 14:11:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,829.00,39346.00
2026-02-06 14:12:00,0.6400,0.6300,0.6400,0.6300,0.6347,0.6400,163.00,39509.00
2026-02-06 14:13:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,66.00,39575.00
2026-02-06 14:14:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,2036.00,41611.00
2026-02-06 14:15:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,2439.00,44050.00
2026-02-06 14:16:00,0.6300,0.6300,0.6400,0.6400,0.6305,0.6400,747.00,44090.00
2026-02-06 14:17:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,7641.00,51731.00
2026-02-06 14:18:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,18308.00,70039.00
2026-02-06 14:19:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1335.00,71374.00
2026-02-06 14:20:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1044.00,72418.00
2026-02-06 14:21:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1204.00,73622.00
2026-02-06 14:22:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,7161.00,80783.00
2026-02-06 14:23:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,2080.00,82863.00
2026-02-06 14:24:00,0.6400,0.6400,0.6500,0.6500,0.6412,0.6400,1039.00,83902.00
2026-02-06 14:25:00,0.6400,0.6400,0.6500,0.6500,0.6402,0.6500,1438.00,85340.00
2026-02-06 14:26:00,0.6500,0.6300,0.6500,0.6400,0.6372,0.6500,4861.00,88557.00
2026-02-06 14:27:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,228.00,88785.00
2026-02-06 14:28:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,4524.00,93309.00
2026-02-06 14:29:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,984.00,94293.00
2026-02-06 14:30:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,225.00,94518.00
2026-02-06 14:31:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1974.00,96292.00
2026-02-06 14:32:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6400,1101.00,97393.00
2026-02-06 14:33:00,0.6500,0.6400,0.6500,0.6500,0.6495,0.6500,851.00,98242.00
2026-02-06 14:34:00,0.6500,0.6400,0.6500,0.6500,0.6495,0.6500,4929.00,103171.00
2026-02-06 14:35:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,324.00,103495.00
2026-02-06 14:36:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,2826.00,106321.00
2026-02-06 14:37:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,1733.00,108054.00
2026-02-06 14:38:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,2996.00,111050.00
2026-02-06 14:39:00,0.6500,0.6500,0.6800,0.6800,0.6544,0.6500,49738.00,160788.00
2026-02-06 14:40:00,0.6800,0.6400,0.6800,0.6700,0.6668,0.6800,9189.00,168325.00
2026-02-06 14:41:00,0.6700,0.6600,0.6700,0.6600,0.6672,0.6700,5114.00,173439.00
2026-02-06 14:42:00,0.6600,0.6400,0.7400,0.6500,0.6801,0.6600,9067.00,182384.00
2026-02-06 14:43:00,0.6500,0.6500,0.6800,0.6800,0.6666,0.6500,7326.00,189692.00
2026-02-06 14:44:00,0.6700,0.6700,0.6900,0.6900,0.6806,0.6800,23028.00,212720.00
2026-02-06 14:45:00,0.6900,0.6800,0.7500,0.6800,0.6969,0.6900,18520.00,230522.00
2026-02-06 14:46:00,0.6700,0.6500,0.6900,0.6700,0.6716,0.6800,6085.00,234992.00
2026-02-06 14:47:00,0.6700,0.6600,0.6700,0.6700,0.6691,0.6700,10482.00,245470.00
2026-02-06 14:48:00,0.6600,0.6000,0.6600,0.6200,0.6280,0.6700,22121.00,263831.00
2026-02-06 14:49:00,0.6400,0.6400,0.6700,0.6700,0.6622,0.6200,5927.00,269708.00
2026-02-06 14:50:00,0.6700,0.6500,0.6700,0.6500,0.6685,0.6700,14984.00,284626.00
2026-02-06 14:51:00,0.6500,0.6400,0.6500,0.6400,0.6403,0.6500,13562.00,289076.00
2026-02-06 14:52:00,0.6400,0.6300,0.6400,0.6400,0.6392,0.6400,4498.00,293524.00
2026-02-06 14:53:00,0.6300,0.6300,0.6400,0.6300,0.6345,0.6400,2443.00,295967.00
2026-02-06 14:54:00,0.6300,0.6200,0.6400,0.6300,0.6289,0.6300,6201.00,301760.00
2026-02-06 14:55:00,0.6400,0.6400,0.6700,0.6600,0.6558,0.6300,14317.00,315433.00
2026-02-06 14:56:00,0.6600,0.6500,0.6600,0.6600,0.6530,0.6600,2310.00,317743.00
2026-02-06 14:57:00,0.6500,0.6400,0.6800,0.6400,0.6524,0.6600,2091.00,319373.00
2026-02-06 14:58:00,0.6300,0.6200,0.6600,0.6200,0.6314,0.6400,7117.00,326019.00
2026-02-06 14:59:00,0.6200,0.6100,0.6300,0.6300,0.6220,0.6200,9521.00,335133.00
2026-02-06 15:00:00,0.6300,0.6000,0.6400,0.6200,0.6190,0.6300,13976.00,349063.00
2026-02-06 15:01:00,0.6200,0.6200,0.6500,0.6200,0.6232,0.6200,8770.00,357833.00
2026-02-06 15:02:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,3340.00,359607.00
2026-02-06 15:03:00,0.6200,0.6100,0.6200,0.6200,0.6199,0.6200,3553.00,363123.00
2026-02-06 15:04:00,0.6200,0.6200,0.6500,0.6200,0.6323,0.6200,3244.00,366367.00
2026-02-06 15:05:00,0.6200,0.6200,0.6400,0.6200,0.6278,0.6200,1655.00,367722.00
2026-02-06 15:06:00,0.6200,0.6000,0.6200,0.6100,0.6177,0.6200,5016.00,372738.00
2026-02-06 15:07:00,0.6200,0.6000,0.6200,0.6200,0.6078,0.6100,2664.00,375402.00
2026-02-06 15:08:00,0.6200,0.5800,0.6200,0.6000,0.5949,0.6200,7442.00,378434.00
2026-02-06 15:09:00,0.6100,0.6000,0.6500,0.6200,0.6261,0.6000,10823.00,389107.00
2026-02-06 15:10:00,0.6200,0.6000,0.6600,0.6600,0.6211,0.6200,28349.00,417349.00
2026-02-06 15:11:00,0.6100,0.6000,0.6400,0.6100,0.6224,0.6600,6725.00,424070.00
2026-02-06 15:12:00,0.6100,0.5800,0.6100,0.5900,0.5974,0.6100,6987.00,431053.00
2026-02-06 15:13:00,0.5900,0.5800,0.5900,0.5800,0.5820,0.5900,418.00,431407.00
