end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-09 10:12:00,,,,,,0.4700,0.00,12403.00
2026-02-09 10:13:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,138.00,12541.00
2026-02-09 10:14:00,,,,,,0.4600,0.00,12541.00
2026-02-09 10:15:00,,,,,,0.4600,0.00,12541.00
2026-02-09 10:16:00,,,,,,0.4600,0.00,12541.00
2026-02-09 10:17:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,20.00,12561.00
2026-02-09 10:18:00,,,,,,0.4600,0.00,12561.00
2026-02-09 10:19:00,,,,,,0.4600,0.00,12561.00
2026-02-09 10:20:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,10.00,12571.00
2026-02-09 10:21:00,0.4700,0.4500,0.4800,0.4800,0.4734,0.4700,630.00,13190.00
2026-02-09 10:22:00,,,,,,0.4800,0.00,13190.00
2026-02-09 10:23:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,6.00,13196.00
2026-02-09 10:24:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,70.00,13266.00
2026-02-09 10:25:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,306.00,13572.00
2026-02-09 10:26:00,,,,,,0.4800,0.00,13572.00
2026-02-09 10:27:00,,,,,,0.4800,0.00,13572.00
2026-02-09 10:28:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,27.00,13599.00
2026-02-09 10:29:00,,,,,,0.4800,0.00,13599.00
2026-02-09 10:30:00,,,,,,0.4800,0.00,13599.00
2026-02-09 10:31:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,2344.00,15943.00
2026-02-09 10:32:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4700,20.00,15963.00
2026-02-09 10:33:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,220.00,16183.00
2026-02-09 10:34:00,,,,,,0.4800,0.00,16183.00
2026-02-09 10:35:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,62.00,16245.00
2026-02-09 10:36:00,,,,,,0.4700,0.00,16245.00
2026-02-09 10:37:00,,,,,,0.4700,0.00,16245.00
2026-02-09 10:38:00,,,,,,0.4700,0.00,16245.00
