end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-10 20:32:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,225.00,5524.00
2026-02-10 20:36:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,53.00,5577.00
2026-02-10 20:38:00,0.4500,0.4500,0.4600,0.4600,0.4598,0.4500,10595.00,16172.00
2026-02-10 20:43:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,10.00,16182.00
2026-02-10 20:52:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,2089.00,18271.00
2026-02-10 21:02:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,55.00,18326.00
2026-02-10 21:18:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,462.00,18788.00
2026-02-10 21:20:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,104.00,18892.00
2026-02-10 21:21:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,20947.00,39839.00
2026-02-10 21:24:00,0.4600,0.4600,0.4700,0.4700,0.4700,0.4600,10662.00,50501.00
2026-02-10 21:25:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,20.00,50521.00
2026-02-10 21:26:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,45.00,50566.00
2026-02-10 21:28:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,2723.00,53289.00
2026-02-10 21:29:00,0.4700,0.4700,0.4800,0.4800,0.4702,0.4700,1295.00,54584.00
2026-02-10 21:31:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,10.00,54594.00
2026-02-10 21:32:00,0.4700,0.4700,0.4800,0.4800,0.4780,0.4700,3615.00,58209.00
2026-02-10 21:33:00,0.4700,0.4700,0.4800,0.4800,0.4728,0.4800,22512.00,80721.00
2026-02-10 21:34:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,20.00,80741.00
2026-02-10 21:36:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,550.00,81291.00
2026-02-10 21:40:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,10.00,81301.00
2026-02-10 21:42:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,355.00,81656.00
2026-02-10 21:43:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,13.00,81669.00
2026-02-10 21:44:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,133.00,81802.00
2026-02-10 21:45:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,408.00,82210.00
2026-02-10 21:46:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,102.00,82312.00
2026-02-10 21:47:00,0.4700,0.4500,0.4700,0.4500,0.4631,0.4700,625.00,82503.00
2026-02-10 21:49:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4500,3061.00,85564.00
2026-02-10 21:50:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,479.00,86043.00
2026-02-10 21:51:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,61.00,86104.00
2026-02-10 21:53:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,221.00,86325.00
2026-02-10 21:54:00,0.4700,0.4500,0.4700,0.4500,0.4654,0.4700,274.00,86473.00
2026-02-10 21:55:00,0.4500,0.4500,0.4700,0.4700,0.4502,0.4500,884.00,86481.00
2026-02-10 21:56:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,12.00,86493.00
2026-02-10 21:57:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,121.00,86614.00
2026-02-10 21:59:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,2.00,86616.00
2026-02-10 22:01:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,10.00,86626.00
2026-02-10 22:03:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,813.00,87439.00
2026-02-10 22:05:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,10.00,87449.00
2026-02-10 22:10:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,2052.00,89501.00
2026-02-10 22:11:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,10.00,89511.00
2026-02-10 22:12:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,205.00,89716.00
2026-02-10 22:13:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,102.00,89818.00
2026-02-10 22:15:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,25.00,89843.00
2026-02-10 22:16:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,784.00,90627.00
2026-02-10 22:17:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,29.00,90656.00
2026-02-10 22:19:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,27.00,90683.00
2026-02-10 22:20:00,0.4700,0.4600,0.4700,0.4600,0.4668,0.4700,259.00,90942.00
2026-02-10 22:21:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,241.00,91183.00
2026-02-10 22:22:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,204.00,91387.00
2026-02-10 22:23:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,587.00,91974.00
2026-02-10 22:24:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,145.00,92119.00
2026-02-10 22:25:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,12.00,92131.00
2026-02-10 22:26:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,20.00,92151.00
2026-02-10 22:27:00,0.4600,0.4600,0.4700,0.4700,0.4624,0.4600,1042.00,93193.00
2026-02-10 22:28:00,0.4600,0.4500,0.4600,0.4500,0.4598,0.4700,782.00,93960.00
2026-02-10 22:29:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,1632.00,95592.00
2026-02-10 22:30:00,0.4500,0.4500,0.4600,0.4600,0.4520,0.4600,444.00,95680.00
2026-02-10 22:31:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,36.00,95716.00
2026-02-10 22:32:00,0.4600,0.4400,0.4600,0.4400,0.4499,0.4600,495.00,95712.00
2026-02-10 22:34:00,0.4600,0.4400,0.4600,0.4400,0.4564,0.4400,852.00,96314.00
2026-02-10 22:35:00,0.4500,0.4400,0.4600,0.4600,0.4536,0.4400,1113.00,97377.00
2026-02-10 22:36:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,10.00,97387.00
2026-02-10 22:38:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,30000.00,127387.00
2026-02-10 22:39:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,4375.00,131762.00
2026-02-10 22:40:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,434.00,132196.00
2026-02-10 22:41:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,4.00,132200.00
2026-02-10 22:42:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,45.00,132245.00
2026-02-10 22:43:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,13.00,132258.00
2026-02-10 22:44:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,41.00,132299.00
2026-02-10 22:45:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,249.00,132548.00
2026-02-10 22:46:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,10.00,132558.00
2026-02-10 22:47:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,523.00,133081.00
2026-02-10 22:48:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,751.00,133832.00
2026-02-10 22:49:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,14.00,133846.00
2026-02-10 22:50:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,132.00,133978.00
2026-02-10 22:51:00,0.4600,0.4600,0.4700,0.4600,0.4611,0.4600,395.00,134373.00
2026-02-10 22:53:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,51.00,134424.00
2026-02-10 22:55:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,193.00,134617.00
2026-02-10 22:56:00,0.4400,0.4400,0.4600,0.4600,0.4469,0.4600,52.00,134635.00
2026-02-10 22:57:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,269.00,134904.00
2026-02-10 22:58:00,0.4600,0.4500,0.4700,0.4500,0.4600,0.4600,2059.00,136953.00
2026-02-10 22:59:00,0.4600,0.4600,0.4700,0.4600,0.4626,0.4500,1286.00,138239.00
2026-02-10 23:00:00,0.4600,0.4600,0.4700,0.4600,0.4603,0.4600,714.00,138953.00
2026-02-10 23:01:00,0.4600,0.4600,0.4700,0.4700,0.4601,0.4600,12711.00,151664.00
2026-02-10 23:02:00,0.4600,0.4500,0.4600,0.4600,0.4581,0.4700,560.00,152119.00
2026-02-10 23:03:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1231.00,153350.00
2026-02-10 23:04:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,2258.00,155608.00
2026-02-10 23:05:00,0.4600,0.4500,0.4600,0.4600,0.4556,0.4600,1092.00,156700.00
2026-02-10 23:06:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4600,251.00,156951.00
2026-02-10 23:07:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,561.00,157512.00
2026-02-10 23:08:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,2272.00,159784.00
2026-02-10 23:09:00,0.4400,0.4400,0.4500,0.4500,0.4486,0.4500,1448.00,160820.00
2026-02-10 23:10:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4500,91.00,160911.00
2026-02-10 23:11:00,0.4400,0.4400,0.4500,0.4500,0.4419,0.4400,2009.00,162920.00
2026-02-10 23:12:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4500,69.00,162989.00
2026-02-10 23:13:00,0.4400,0.4400,0.4500,0.4400,0.4454,0.4400,1801.00,164790.00
2026-02-10 23:14:00,0.4400,0.4300,0.4500,0.4500,0.4470,0.4400,2711.00,167501.00
2026-02-10 23:15:00,0.4400,0.4400,0.4500,0.4400,0.4499,0.4500,7015.00,174506.00
2026-02-10 23:16:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4400,293.00,174799.00
2026-02-10 23:17:00,0.4500,0.4500,0.4600,0.4600,0.4555,0.4500,319.00,175118.00
2026-02-10 23:18:00,0.4500,0.4200,0.4600,0.4200,0.4510,0.4600,2964.00,178082.00
2026-02-10 23:19:00,0.4300,0.4100,0.4600,0.4600,0.4450,0.4200,8217.00,186276.00
2026-02-10 23:20:00,0.4600,0.4200,0.4600,0.4200,0.4359,0.4600,3184.00,189451.00
2026-02-10 23:21:00,0.4200,0.3300,0.4200,0.3500,0.3848,0.4200,1356.00,190584.00
2026-02-10 23:22:00,0.3500,0.3500,0.4400,0.4300,0.3993,0.3500,6173.00,196535.00
