end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-10 12:38:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,394.00,1774.00
2026-02-10 12:40:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,240.00,2014.00
2026-02-10 12:41:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.3800,375.00,2389.00
2026-02-10 13:03:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,476.00,2865.00
2026-02-10 13:22:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4000,2.00,2865.00
2026-02-10 13:29:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.3900,9.00,2874.00
2026-02-10 13:36:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,1190.00,4064.00
2026-02-10 13:47:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,595.00,4659.00
2026-02-10 13:52:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,11.00,4670.00
2026-02-10 14:02:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,24.00,4694.00
2026-02-10 14:03:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,50.00,4744.00
2026-02-10 14:04:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,238.00,4982.00
2026-02-10 14:15:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,23.00,5005.00
2026-02-10 14:22:00,0.4000,0.4000,0.4700,0.4700,0.4225,0.4000,11421.00,16426.00
2026-02-10 14:23:00,0.4100,0.4100,0.4300,0.4300,0.4220,0.4700,5920.00,22346.00
2026-02-10 14:24:00,0.4300,0.4300,0.4400,0.4400,0.4391,0.4300,1198.00,23544.00
2026-02-10 14:25:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4400,212.00,23756.00
2026-02-10 14:26:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4400,444.00,24200.00
2026-02-10 14:27:00,0.4300,0.3300,0.4300,0.3300,0.4022,0.4300,1556.00,25241.00
2026-02-10 14:28:00,0.3400,0.3400,0.3900,0.3900,0.3555,0.3300,2804.00,27404.00
2026-02-10 14:29:00,0.3900,0.3900,0.4200,0.3900,0.3921,0.3900,1027.00,28431.00
2026-02-10 14:30:00,0.3900,0.2700,0.3900,0.2700,0.3094,0.3900,640.00,28505.00
2026-02-10 14:31:00,0.2700,0.2500,0.2700,0.2500,0.2610,0.2700,427.00,28917.00
2026-02-10 14:32:00,0.2300,0.2300,0.2400,0.2300,0.2363,0.2500,467.00,29346.00
2026-02-10 14:33:00,0.2300,0.2300,0.2500,0.2400,0.2344,0.2300,723.00,30069.00
2026-02-10 14:34:00,0.2400,0.2400,0.2600,0.2600,0.2501,0.2400,194.00,30262.00
2026-02-10 14:35:00,0.2600,0.2600,0.2700,0.2700,0.2636,0.2600,11.00,30269.00
2026-02-10 14:36:00,0.2700,0.2700,0.3400,0.3400,0.3109,0.2700,3530.00,33543.00
2026-02-10 14:37:00,0.3600,0.3600,0.4400,0.4100,0.4231,0.3400,6572.00,34569.00
2026-02-10 14:38:00,0.4200,0.4200,0.4800,0.4800,0.4423,0.4100,836.00,35307.00
2026-02-10 14:39:00,0.4800,0.4700,0.4900,0.4900,0.4836,0.4800,541.00,35629.00
2026-02-10 14:40:00,0.4900,0.4800,0.5000,0.5000,0.4959,0.4900,1060.00,36210.00
2026-02-10 14:41:00,0.4900,0.4800,0.5700,0.5400,0.5148,0.5000,854.00,36660.00
2026-02-10 14:42:00,0.5400,0.4800,0.5500,0.5500,0.5212,0.5400,2328.00,38892.00
2026-02-10 14:43:00,0.4800,0.4500,0.4900,0.4500,0.4661,0.5500,2056.00,39365.00
