end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-12 14:03:00,,,,,,0.2800,0.00,1255.00
2026-02-12 14:04:00,,,,,,0.2800,0.00,1255.00
2026-02-12 14:05:00,,,,,,0.2800,0.00,1255.00
2026-02-12 14:06:00,,,,,,0.2800,0.00,1255.00
2026-02-12 14:07:00,,,,,,0.2800,0.00,1255.00
2026-02-12 14:08:00,,,,,,0.2800,0.00,1255.00
2026-02-12 14:09:00,,,,,,0.2800,0.00,1255.00
2026-02-12 14:10:00,,,,,,0.2800,0.00,1255.00
2026-02-12 14:11:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,25.00,1280.00
2026-02-12 14:12:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:13:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:14:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:15:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:16:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:17:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:18:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:19:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:20:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:21:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:22:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:23:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:24:00,,,,,,0.2800,0.00,1280.00
2026-02-12 14:25:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,85.00,1365.00
2026-02-12 14:26:00,,,,,,0.2800,0.00,1365.00
2026-02-12 14:27:00,,,,,,0.2800,0.00,1365.00
2026-02-12 14:28:00,,,,,,0.2800,0.00,1365.00
2026-02-12 14:29:00,,,,,,0.2800,0.00,1365.00
2026-02-12 14:30:00,,,,,,0.2800,0.00,1365.00
2026-02-12 14:31:00,,,,,,0.2800,0.00,1365.00
2026-02-12 14:32:00,,,,,,0.2800,0.00,1365.00
2026-02-12 14:33:00,,,,,,0.2800,0.00,1365.00
2026-02-12 14:34:00,,,,,,0.2800,0.00,1365.00
2026-02-12 14:35:00,,,,,,0.2800,0.00,1365.00
2026-02-12 14:36:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,20.00,1385.00
2026-02-12 14:37:00,,,,,,0.2800,0.00,1385.00
2026-02-12 14:38:00,,,,,,0.2800,0.00,1385.00
2026-02-12 14:39:00,,,,,,0.2800,0.00,1385.00
