end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-11 13:50:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,38.00,45769.00
2026-02-11 13:51:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,46.00,45815.00
2026-02-11 13:52:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6300,19.00,45815.00
2026-02-11 13:56:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6200,121.00,45936.00
2026-02-11 14:00:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,52.00,45988.00
2026-02-11 14:03:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,2887.00,48875.00
2026-02-11 14:05:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,48890.00
2026-02-11 14:08:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6300,250.00,48890.00
2026-02-11 14:11:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6200,278.00,49168.00
2026-02-11 14:13:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,7.00,49175.00
2026-02-11 14:18:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,9.00,49184.00
2026-02-11 14:23:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,50.00,49234.00
2026-02-11 14:24:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,4384.00,53618.00
2026-02-11 14:25:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,401.00,54019.00
2026-02-11 14:26:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,77.00,54096.00
2026-02-11 14:27:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1384.00,55480.00
2026-02-11 14:28:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,154.00,55634.00
2026-02-11 14:29:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,150.00,55784.00
2026-02-11 14:30:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,40.00,55824.00
2026-02-11 14:33:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,60.00,55884.00
2026-02-11 14:36:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,242.00,55885.00
2026-02-11 14:41:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,105.00,55990.00
2026-02-11 14:42:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,4.00,55994.00
2026-02-11 14:43:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,52.00,56046.00
2026-02-11 14:44:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,8.00,56054.00
2026-02-11 14:45:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,41.00,56095.00
2026-02-11 14:46:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1522.00,57617.00
2026-02-11 14:47:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,401.00,58018.00
2026-02-11 14:48:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,152.00,58170.00
2026-02-11 14:49:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,23.00,58193.00
2026-02-11 14:50:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,204.00,58397.00
2026-02-11 14:51:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,76.00,58473.00
2026-02-11 14:52:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,42.00,58515.00
2026-02-11 14:53:00,0.6300,0.6300,0.6400,0.6400,0.6398,0.6300,230.00,58745.00
2026-02-11 14:54:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,16.00,58761.00
2026-02-11 14:55:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400,1156.00,59917.00
2026-02-11 14:56:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,352.00,60269.00
2026-02-11 14:58:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,20.00,60289.00
2026-02-11 14:59:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,7731.00,68020.00
2026-02-11 15:00:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,96.00,68116.00
2026-02-11 15:01:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,899.00,69015.00
2026-02-11 15:03:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,333.00,69348.00
2026-02-11 15:04:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,333.00,69681.00
2026-02-11 15:05:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,53.00,69734.00
2026-02-11 15:06:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,76.00,69810.00
2026-02-11 15:08:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,909.00,70719.00
2026-02-11 15:09:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,22.00,70741.00
2026-02-11 15:10:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,7.00,70748.00
2026-02-11 15:12:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,908.00,71656.00
2026-02-11 15:13:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,68.00,71724.00
2026-02-11 15:16:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,702.00,72426.00
2026-02-11 15:17:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,34.00,72460.00
2026-02-11 15:19:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,250.00,72710.00
2026-02-11 15:20:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15173.00,87883.00
2026-02-11 15:21:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,17.00,87900.00
2026-02-11 15:22:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15151.00,103051.00
2026-02-11 15:23:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,280.00,103331.00
2026-02-11 15:24:00,0.6400,0.6300,0.6400,0.6300,0.6396,0.6400,2594.00,105601.00
2026-02-11 15:25:00,0.6500,0.6400,0.6500,0.6400,0.6443,0.6300,87.00,105688.00
2026-02-11 15:26:00,0.6400,0.6400,0.6500,0.6500,0.6416,0.6400,184.00,105872.00
2026-02-11 15:27:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6500,633.00,106505.00
2026-02-11 15:28:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6400,30.00,106535.00
2026-02-11 15:29:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,116.00,106651.00
2026-02-11 15:30:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,600.00,107251.00
2026-02-11 15:31:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,680.00,107931.00
2026-02-11 15:32:00,0.6500,0.6300,0.6500,0.6400,0.6482,0.6500,3315.00,111244.00
2026-02-11 15:33:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6400,1558.00,112802.00
2026-02-11 15:34:00,0.6500,0.6200,0.6500,0.6500,0.6441,0.6500,13342.00,125205.00
2026-02-11 15:35:00,0.6400,0.6100,0.6400,0.6400,0.6242,0.6500,1052.00,125703.00
2026-02-11 15:36:00,0.6100,0.6000,0.6400,0.6400,0.6102,0.6400,3312.00,128452.00
2026-02-11 15:37:00,0.6300,0.6000,0.6500,0.6000,0.6273,0.6400,2869.00,131321.00
2026-02-11 15:38:00,0.5900,0.5900,0.6000,0.6000,0.5992,0.6000,18686.00,150007.00
2026-02-11 15:39:00,0.6100,0.6100,0.6500,0.6400,0.6331,0.6000,15561.00,165568.00
2026-02-11 15:40:00,0.6500,0.6400,0.6600,0.6400,0.6487,0.6400,12653.00,178221.00
2026-02-11 15:41:00,0.6500,0.6300,0.6500,0.6500,0.6334,0.6400,1899.00,179926.00
2026-02-11 15:42:00,0.6600,0.6400,0.6800,0.6400,0.6556,0.6500,879.00,180805.00
2026-02-11 15:43:00,0.6400,0.6400,0.6800,0.6700,0.6649,0.6400,20832.00,198195.00
2026-02-11 15:44:00,0.7100,0.6400,0.7100,0.6400,0.6723,0.6700,997.00,198793.00
2026-02-11 15:45:00,0.6300,0.6300,0.6600,0.6500,0.6487,0.6400,398.00,198906.00
2026-02-11 15:46:00,0.6400,0.6400,0.6800,0.6800,0.6605,0.6500,2939.00,201835.00
2026-02-11 15:47:00,0.6800,0.6800,0.7200,0.6800,0.6976,0.6800,25581.00,227373.00
2026-02-11 15:48:00,0.6800,0.6000,0.6800,0.6400,0.6291,0.6800,3781.00,229850.00
2026-02-11 15:49:00,0.6400,0.6200,0.6400,0.6300,0.6376,0.6400,3446.00,233163.00
2026-02-11 15:50:00,0.6300,0.6300,0.6800,0.6600,0.6506,0.6300,39153.00,272316.00
2026-02-11 15:51:00,0.6500,0.6500,0.6700,0.6700,0.6693,0.6600,8087.00,280403.00
2026-02-11 15:52:00,0.6800,0.6800,0.6900,0.6900,0.6894,0.6700,156.00,280459.00
2026-02-11 15:53:00,0.6800,0.6500,0.6800,0.6500,0.6742,0.6900,627.00,280948.00
2026-02-11 15:54:00,0.6500,0.6400,0.6600,0.6400,0.6425,0.6500,311.00,281039.00
2026-02-11 15:55:00,0.6400,0.6300,0.6400,0.6400,0.6399,0.6400,811.00,281818.00
2026-02-11 15:56:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,42.00,281860.00
2026-02-11 15:57:00,0.6500,0.6200,0.6500,0.6300,0.6481,0.6400,325.00,282178.00
2026-02-11 15:58:00,0.6300,0.6100,0.6500,0.6200,0.6258,0.6300,1839.00,283963.00
2026-02-11 15:59:00,0.6200,0.6200,0.6500,0.6400,0.6339,0.6200,1274.00,285237.00
2026-02-11 16:00:00,0.6400,0.6100,0.6500,0.6100,0.6438,0.6400,1204.00,286407.00
2026-02-11 16:01:00,0.6400,0.6400,0.6500,0.6500,0.6419,0.6100,117.00,286504.00
2026-02-11 16:02:00,0.6600,0.6600,0.6900,0.6800,0.6789,0.6500,568.00,286906.00
2026-02-11 16:03:00,0.6600,0.6200,0.6800,0.6600,0.6507,0.6800,922.00,287609.00
2026-02-11 16:04:00,0.6600,0.6300,0.6700,0.6400,0.6528,0.6600,732.00,288316.00
