end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-12 18:52:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,120.00,104916.00
2026-02-12 18:53:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,60.00,104976.00
2026-02-12 18:54:00,,,,,,0.8200,0.00,104976.00
2026-02-12 18:55:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,151.00,105127.00
2026-02-12 18:56:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,17.00,105144.00
2026-02-12 18:58:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,120.00,105264.00
2026-02-12 18:59:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,185.00,105449.00
2026-02-12 19:00:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,664.00,106113.00
2026-02-12 19:01:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,299.00,106412.00
2026-02-12 19:02:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,4456.00,110868.00
2026-02-12 19:03:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,54.00,110922.00
2026-02-12 19:04:00,0.8200,0.8100,0.8200,0.8100,0.8121,0.8200,24.00,110908.00
2026-02-12 19:05:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8100,174.00,111082.00
2026-02-12 19:06:00,,,,,,0.8200,0.00,111082.00
2026-02-12 19:07:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,6171.00,117253.00
2026-02-12 19:08:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,48.00,117301.00
2026-02-12 19:09:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,29.00,117330.00
2026-02-12 19:10:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,693.00,118023.00
2026-02-12 19:11:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,2000.00,120023.00
2026-02-12 19:12:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,1190.00,121213.00
2026-02-12 19:14:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,312.00,121525.00
2026-02-12 19:16:00,,,,,,0.8200,0.00,121525.00
2026-02-12 19:17:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,1190.00,122715.00
2026-02-12 19:19:00,,,,,,0.8200,0.00,122715.00
2026-02-12 19:20:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,30.00,122745.00
2026-02-12 19:21:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,301.00,123046.00
2026-02-12 19:22:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,60.00,123106.00
2026-02-12 19:23:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,6742.00,129848.00
2026-02-12 19:24:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,36.00,129884.00
2026-02-12 19:25:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,8.00,129892.00
2026-02-12 19:26:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,61.00,129953.00
2026-02-12 19:27:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8200,15.00,129953.00
2026-02-12 19:28:00,0.8200,0.8100,0.8200,0.8100,0.8200,0.8100,429.00,130380.00
2026-02-12 19:29:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8100,1571.00,131951.00
2026-02-12 19:30:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,153.00,132104.00
2026-02-12 19:31:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,1204.00,133308.00
2026-02-12 19:32:00,,,,,,0.8200,0.00,133308.00
2026-02-12 19:33:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,45.00,133353.00
2026-02-12 19:34:00,,,,,,0.8200,0.00,133353.00
2026-02-12 19:35:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,1190.00,134543.00
2026-02-12 19:36:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,1282.00,135825.00
2026-02-12 19:37:00,,,,,,0.8200,0.00,135825.00
2026-02-12 19:38:00,,,,,,0.8200,0.00,135825.00
2026-02-12 19:39:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,71.00,135896.00
2026-02-12 19:40:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,18.00,135914.00
2026-02-12 19:41:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,17.00,135931.00
2026-02-12 19:42:00,,,,,,0.8200,0.00,135931.00
2026-02-12 19:43:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,36.00,135967.00
2026-02-12 19:44:00,0.8100,0.8100,0.8200,0.8100,0.8105,0.8200,656.00,136446.00
2026-02-12 19:45:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8100,1029.00,137475.00
2026-02-12 19:46:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,701.00,138176.00
2026-02-12 19:47:00,,,,,,0.8200,0.00,138176.00
2026-02-12 19:48:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,17502.00,155678.00
2026-02-12 19:49:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,793.00,156471.00
2026-02-12 19:50:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8200,1805.00,158276.00
2026-02-12 19:51:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8200,7440.00,165716.00
2026-02-12 19:52:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,142.00,165858.00
2026-02-12 19:53:00,0.8300,0.8200,0.8300,0.8300,0.8288,0.8300,1064.00,166922.00
2026-02-12 19:54:00,,,,,,0.8300,0.00,166922.00
2026-02-12 19:55:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,5934.00,172856.00
2026-02-12 19:56:00,0.8200,0.8200,0.8300,0.8300,0.8215,0.8300,191.00,172885.00
2026-02-12 19:57:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,70.00,172955.00
2026-02-12 19:58:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,88.00,173043.00
2026-02-12 19:59:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,555.00,173598.00
2026-02-12 20:00:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,179.00,173777.00
2026-02-12 20:01:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,4087.00,177862.00
2026-02-12 20:02:00,,,,,,0.8300,0.00,177862.00
2026-02-12 20:03:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,1.00,177863.00
