end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-12 12:13:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,714.00,42880.00
2026-02-12 12:14:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,2.00,42882.00
2026-02-12 12:15:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,100.00,42982.00
2026-02-12 12:19:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,85.00,43067.00
2026-02-12 12:20:00,,,,,,0.6700,0.00,43067.00
2026-02-12 12:21:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,108.00,43175.00
2026-02-12 12:22:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,1.00,43176.00
2026-02-12 12:23:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,34.00,43210.00
2026-02-12 12:24:00,0.6700,0.6600,0.6700,0.6600,0.6603,0.6700,201.00,43411.00
2026-02-12 12:25:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,95.00,43506.00
2026-02-12 12:26:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,150.00,43656.00
2026-02-12 12:27:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,739.00,44395.00
2026-02-12 12:28:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,797.00,45192.00
2026-02-12 12:29:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,79.00,45271.00
2026-02-12 12:31:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,26.00,45297.00
2026-02-12 12:32:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,30.00,45327.00
2026-02-12 12:33:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,5.00,45332.00
2026-02-12 12:34:00,,,,,,0.6600,0.00,45332.00
2026-02-12 12:35:00,0.6600,0.6400,0.6600,0.6400,0.6407,0.6600,3987.00,46085.00
2026-02-12 12:36:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1702.00,46097.00
2026-02-12 12:37:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400,2509.00,46298.00
2026-02-12 12:38:00,0.6300,0.6300,0.6400,0.6400,0.6306,0.6300,254.00,46552.00
2026-02-12 12:39:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400,158.00,46552.00
2026-02-12 12:40:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6300,59.00,46611.00
2026-02-12 12:41:00,0.6500,0.6400,0.6500,0.6400,0.6494,0.6500,315.00,46926.00
2026-02-12 12:42:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,35.00,46961.00
2026-02-12 12:43:00,,,,,,0.6400,0.00,46961.00
2026-02-12 12:44:00,0.6400,0.6400,0.6500,0.6500,0.6418,0.6400,813.00,47774.00
2026-02-12 12:45:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6500,232.00,47774.00
2026-02-12 12:46:00,,,,,,0.6400,0.00,47774.00
2026-02-12 12:47:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,468.00,48242.00
2026-02-12 12:48:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400,3050.00,48272.00
2026-02-12 12:49:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,3050.00,51322.00
2026-02-12 12:50:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,134.00,51456.00
2026-02-12 12:51:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,389.00,51845.00
2026-02-12 12:52:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,2347.00,54192.00
2026-02-12 12:53:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,119.00,54311.00
2026-02-12 12:54:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,549.00,54860.00
2026-02-12 12:55:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,351.00,55211.00
2026-02-12 12:56:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,665.00,55876.00
2026-02-12 12:57:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,225.00,56101.00
2026-02-12 12:58:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,214.00,56315.00
2026-02-12 12:59:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,83.00,56398.00
2026-02-12 13:00:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,207.00,56605.00
2026-02-12 13:01:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,134.00,56739.00
2026-02-12 13:02:00,,,,,,0.6300,0.00,56739.00
2026-02-12 13:03:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,381.00,57120.00
2026-02-12 13:04:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,615.00,57735.00
