end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-12 16:32:00,,,,,,0.4200,0.00,18322.00
2026-02-12 16:33:00,,,,,,0.4200,0.00,18322.00
2026-02-12 16:35:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,38.00,18360.00
2026-02-12 16:36:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,16.00,18376.00
2026-02-12 16:37:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,59.00,18435.00
2026-02-12 16:38:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,2600.00,21035.00
2026-02-12 16:39:00,,,,,,0.4200,0.00,21035.00
2026-02-12 16:40:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,161.00,21196.00
2026-02-12 16:41:00,,,,,,0.4200,0.00,21196.00
2026-02-12 16:43:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,100.00,21296.00
2026-02-12 16:44:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,420.00,21716.00
2026-02-12 16:45:00,,,,,,0.4200,0.00,21716.00
2026-02-12 16:46:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,90.00,21806.00
2026-02-12 16:48:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,197.00,22003.00
2026-02-12 16:49:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,143.00,22146.00
2026-02-12 16:50:00,,,,,,0.4200,0.00,22146.00
2026-02-12 16:51:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,25.00,22171.00
2026-02-12 16:52:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,57.00,22228.00
2026-02-12 16:53:00,,,,,,0.4200,0.00,22228.00
2026-02-12 16:54:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,1184.00,23412.00
2026-02-12 16:55:00,,,,,,0.4200,0.00,23412.00
2026-02-12 16:58:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,102.00,23514.00
2026-02-12 16:59:00,0.4200,0.4100,0.4200,0.4200,0.4195,0.4200,312.00,23794.00
2026-02-12 17:00:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,114.00,23908.00
2026-02-12 17:01:00,,,,,,0.4200,0.00,23908.00
2026-02-12 17:03:00,,,,,,0.4200,0.00,23908.00
2026-02-12 17:04:00,,,,,,0.4200,0.00,23908.00
2026-02-12 17:07:00,,,,,,0.4200,0.00,23908.00
2026-02-12 17:08:00,,,,,,0.4200,0.00,23908.00
2026-02-12 17:10:00,,,,,,0.4200,0.00,23908.00
2026-02-12 17:11:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,22.00,23930.00
2026-02-12 17:12:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,11.00,23941.00
2026-02-12 17:15:00,,,,,,0.4200,0.00,23941.00
2026-02-12 17:16:00,,,,,,0.4200,0.00,23941.00
2026-02-12 17:17:00,,,,,,0.4200,0.00,23941.00
2026-02-12 17:18:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,45.00,23986.00
2026-02-12 17:19:00,,,,,,0.4200,0.00,23986.00
2026-02-12 17:20:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,11.00,23997.00
2026-02-12 17:21:00,,,,,,0.4200,0.00,23997.00
2026-02-12 17:22:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,3838.00,27835.00
2026-02-12 17:23:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,17.00,27852.00
2026-02-12 17:24:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,535.00,28387.00
2026-02-12 17:25:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,4.00,28391.00
2026-02-12 17:26:00,,,,,,0.4200,0.00,28391.00
2026-02-12 17:27:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,148.00,28539.00
2026-02-12 17:28:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,228.00,28767.00
2026-02-12 17:29:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4200,116.00,28651.00
2026-02-12 17:30:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4100,239.00,28890.00
2026-02-12 17:31:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,1025.00,29915.00
2026-02-12 17:32:00,,,,,,0.4200,0.00,29915.00
2026-02-12 17:33:00,,,,,,0.4200,0.00,29915.00
2026-02-12 17:34:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,160.00,30075.00
2026-02-12 17:35:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,1.00,30076.00
