end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-13 14:37:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,397.00,17627.00
2026-02-13 14:38:00,,,,,,0.3600,0.00,17627.00
2026-02-13 14:39:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,814.00,18441.00
2026-02-13 14:40:00,,,,,,0.3600,0.00,18441.00
2026-02-13 14:41:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,51.00,18492.00
2026-02-13 14:42:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,1067.00,19559.00
2026-02-13 14:43:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,2631.00,22190.00
2026-02-13 14:44:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,664.00,22854.00
2026-02-13 14:45:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,72.00,22926.00
2026-02-13 14:46:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,5.00,22931.00
2026-02-13 14:47:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,657.00,23588.00
2026-02-13 14:48:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,263.00,23851.00
2026-02-13 14:49:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,533.00,24384.00
2026-02-13 14:50:00,,,,,,0.3600,0.00,24384.00
2026-02-13 14:51:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,775.00,25159.00
2026-02-13 14:52:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,531.00,25690.00
2026-02-13 14:53:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,238.00,25928.00
2026-02-13 14:54:00,,,,,,0.3600,0.00,25928.00
2026-02-13 14:55:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,65.00,25993.00
2026-02-13 14:56:00,,,,,,0.3600,0.00,25993.00
2026-02-13 14:57:00,,,,,,0.3600,0.00,25993.00
2026-02-13 14:58:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,43.00,26036.00
2026-02-13 14:59:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,1463.00,27499.00
2026-02-13 15:00:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,77.00,27576.00
2026-02-13 15:01:00,,,,,,0.3600,0.00,27576.00
2026-02-13 15:02:00,0.3500,0.3400,0.3600,0.3400,0.3407,0.3600,697.00,26999.00
2026-02-13 15:03:00,,,,,,0.3400,0.00,26999.00
2026-02-13 15:04:00,0.3500,0.3500,0.3600,0.3500,0.3502,0.3400,1542.00,27031.00
2026-02-13 15:05:00,0.3500,0.3500,0.3600,0.3600,0.3599,0.3500,4295.00,31326.00
2026-02-13 15:06:00,,,,,,0.3600,0.00,31326.00
2026-02-13 15:07:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,263.00,31589.00
2026-02-13 15:08:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,789.00,32378.00
2026-02-13 15:09:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,652.00,33030.00
2026-02-13 15:10:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,214.00,33244.00
2026-02-13 15:11:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,263.00,33507.00
2026-02-13 15:12:00,,,,,,0.3600,0.00,33507.00
2026-02-13 15:13:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,1.00,33508.00
2026-02-13 15:14:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,393.00,33901.00
2026-02-13 15:15:00,,,,,,0.3600,0.00,33901.00
2026-02-13 15:16:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,531.00,34432.00
2026-02-13 15:17:00,,,,,,0.3600,0.00,34432.00
2026-02-13 15:18:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,5.00,34437.00
2026-02-13 15:19:00,,,,,,0.3600,0.00,34437.00
2026-02-13 15:20:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,13.00,34450.00
2026-02-13 15:21:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,13.00,34463.00
2026-02-13 15:22:00,,,,,,0.3600,0.00,34463.00
2026-02-13 15:23:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,25.00,34488.00
2026-02-13 15:24:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,2718.00,37206.00
2026-02-13 15:26:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3600,2879.00,38085.00
2026-02-13 15:27:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3500,186.00,37899.00
2026-02-13 15:28:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3400,275.00,38174.00
2026-02-13 15:29:00,0.3400,0.3400,0.3500,0.3500,0.3440,0.3500,168.00,38242.00
2026-02-13 15:30:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,327.00,38569.00
2026-02-13 15:31:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,1618.00,40187.00
2026-02-13 15:32:00,0.3500,0.3400,0.3500,0.3400,0.3403,0.3500,1434.00,38839.00
2026-02-13 15:33:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3400,514.00,39353.00
2026-02-13 15:34:00,0.3500,0.3500,0.3600,0.3600,0.3519,0.3500,14737.00,54090.00
2026-02-13 15:35:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,366.00,54456.00
2026-02-13 15:36:00,0.3600,0.3500,0.3600,0.3600,0.3568,0.3600,312.00,54669.00
2026-02-13 15:37:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,84.00,54753.00
2026-02-13 15:38:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,1366.00,56119.00
2026-02-13 15:39:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,3379.00,59498.00
2026-02-13 15:40:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,2755.00,62253.00
2026-02-13 15:41:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,5928.00,68181.00
2026-02-13 15:42:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,2166.00,70347.00
2026-02-13 15:43:00,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,263.00,70610.00
2026-02-13 15:44:00,0.3600,0.3600,0.3700,0.3600,0.3613,0.3600,13645.00,84255.00
2026-02-13 15:45:00,0.3600,0.3600,0.3700,0.3700,0.3621,0.3600,17296.00,101551.00
2026-02-13 15:46:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,3850.00,105401.00
2026-02-13 15:47:00,0.3700,0.3500,0.3700,0.3700,0.3696,0.3700,316.00,105711.00
2026-02-13 15:48:00,0.3600,0.3300,0.3600,0.3300,0.3425,0.3700,4250.00,109539.00
2026-02-13 15:49:00,0.3200,0.3000,0.3300,0.3000,0.3115,0.3300,6096.00,115624.00
2026-02-13 15:50:00,0.2800,0.2700,0.3100,0.2700,0.2952,0.3000,5735.00,118233.00
2026-02-13 15:51:00,0.2700,0.2100,0.2700,0.2100,0.2398,0.2700,2188.00,120061.00
2026-02-13 15:52:00,0.2100,0.2100,0.2200,0.2100,0.2101,0.2100,5929.00,125846.00
2026-02-13 15:53:00,0.2100,0.1900,0.2100,0.2000,0.1984,0.2100,5688.00,131531.00
2026-02-13 15:54:00,0.2000,0.1900,0.2000,0.1900,0.1980,0.2000,1463.00,132884.00
2026-02-13 15:55:00,0.1900,0.1800,0.1900,0.1900,0.1868,0.1900,2062.00,134116.00
2026-02-13 15:56:00,0.2000,0.1800,0.2000,0.1800,0.1942,0.1900,1700.00,134738.00
2026-02-13 15:57:00,0.1900,0.1700,0.2200,0.2100,0.2013,0.1800,2395.00,136917.00
2026-02-13 15:58:00,0.2200,0.2000,0.2200,0.2100,0.2100,0.2100,6699.00,143562.00
2026-02-13 15:59:00,0.2100,0.2100,0.2300,0.2200,0.2116,0.2100,3268.00,146830.00
2026-02-13 16:00:00,0.2000,0.1900,0.2000,0.1900,0.1961,0.2200,235.00,146975.00
2026-02-13 16:01:00,0.2000,0.1600,0.2000,0.2000,0.1716,0.1900,952.00,146467.00
2026-02-13 16:02:00,0.1900,0.1800,0.1900,0.1900,0.1822,0.2000,1215.00,147083.00
2026-02-13 16:03:00,0.1900,0.1800,0.2000,0.1900,0.1889,0.1900,1701.00,148124.00
2026-02-13 16:04:00,0.1800,0.1800,0.2000,0.1900,0.1901,0.1900,2300.00,150352.00
2026-02-13 16:05:00,0.1900,0.1900,0.2000,0.2000,0.1902,0.1900,5354.00,150553.00
2026-02-13 16:06:00,0.1900,0.1900,0.2000,0.2000,0.1988,0.2000,5402.00,155653.00
2026-02-13 16:07:00,0.2100,0.1700,0.2100,0.1700,0.1841,0.2000,769.00,155341.00
2026-02-13 16:08:00,0.1800,0.1700,0.2000,0.1900,0.1762,0.1700,6560.00,151767.00
2026-02-13 16:09:00,0.1900,0.1900,0.2000,0.2000,0.1977,0.1900,728.00,152329.00
2026-02-13 16:10:00,0.1900,0.1800,0.2000,0.1900,0.1906,0.2000,3663.00,155577.00
2026-02-13 16:11:00,0.1700,0.1500,0.1800,0.1800,0.1618,0.1900,2343.00,155758.00
2026-02-13 16:12:00,0.1600,0.1300,0.1600,0.1500,0.1440,0.1800,2481.00,154557.00
2026-02-13 16:13:00,0.1500,0.1500,0.1800,0.1800,0.1723,0.1500,1258.00,155468.00
2026-02-13 16:14:00,0.1800,0.1800,0.1900,0.1900,0.1888,0.1800,1771.00,157239.00
2026-02-13 16:15:00,0.1900,0.1800,0.1900,0.1900,0.1900,0.1900,2704.00,159941.00
2026-02-13 16:16:00,0.1900,0.1900,0.2600,0.2600,0.2133,0.1900,5341.00,161433.00
2026-02-13 16:17:00,0.2600,0.2400,0.2800,0.2800,0.2633,0.2600,6121.00,165562.00
2026-02-13 16:18:00,0.2800,0.1800,0.2800,0.1800,0.2211,0.2800,1208.00,165453.00
2026-02-13 16:19:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,2616.00,168069.00
2026-02-13 16:20:00,0.1800,0.1500,0.1800,0.1500,0.1564,0.1800,4928.00,172721.00
2026-02-13 16:21:00,0.1600,0.1400,0.1700,0.1600,0.1668,0.1500,1635.00,173934.00
2026-02-13 16:22:00,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,473.00,174407.00
2026-02-13 16:23:00,0.1600,0.1200,0.1600,0.1500,0.1480,0.1600,855.00,174733.00
2026-02-13 16:24:00,0.1400,0.1400,0.1700,0.1700,0.1641,0.1500,3275.00,177953.00
2026-02-13 16:25:00,0.1700,0.1700,0.1800,0.1800,0.1794,0.1700,796.00,178699.00
2026-02-13 16:26:00,0.1800,0.1800,0.1900,0.1900,0.1805,0.1800,993.00,179692.00
2026-02-13 16:27:00,0.1900,0.1900,0.2900,0.2800,0.2375,0.1900,12666.00,181898.00
2026-02-13 16:28:00,0.2600,0.2000,0.2800,0.2400,0.2419,0.2800,4788.00,184177.00
2026-02-13 16:29:00,0.2400,0.2300,0.3000,0.3000,0.2766,0.2400,7847.00,186010.00
2026-02-13 16:30:00,0.3000,0.2400,0.3100,0.3100,0.2754,0.3000,6249.00,188785.00
2026-02-13 16:31:00,0.3100,0.1800,0.3100,0.1800,0.2244,0.3100,4857.00,188982.00
2026-02-13 16:32:00,0.1800,0.1600,0.1900,0.1700,0.1694,0.1800,3420.00,190448.00
2026-02-13 16:33:00,0.1700,0.1700,0.1800,0.1800,0.1767,0.1700,17594.00,207308.00
2026-02-13 16:34:00,0.1800,0.1700,0.1800,0.1800,0.1793,0.1800,1181.00,208333.00
2026-02-13 16:35:00,0.1800,0.1600,0.1900,0.1700,0.1751,0.1800,4192.00,211106.00
2026-02-13 16:36:00,0.1800,0.1400,0.1800,0.1400,0.1661,0.1700,8469.00,213018.00
2026-02-13 16:37:00,0.1500,0.1400,0.1700,0.1600,0.1513,0.1400,5118.00,216493.00
2026-02-13 16:38:00,0.1700,0.1700,0.2000,0.2000,0.1864,0.1600,3464.00,217537.00
2026-02-13 16:39:00,0.2000,0.1900,0.2400,0.2300,0.2148,0.2000,4589.00,219026.00
2026-02-13 16:40:00,0.2400,0.2400,0.2900,0.2500,0.2653,0.2300,8913.00,219386.00
2026-02-13 16:41:00,0.2600,0.2200,0.3000,0.2300,0.2571,0.2500,5922.00,220672.00
2026-02-13 16:42:00,0.2400,0.1900,0.2400,0.2000,0.2201,0.2300,2587.00,221532.00
2026-02-13 16:43:00,0.2000,0.1700,0.2000,0.1700,0.1907,0.2000,1549.00,222484.00
2026-02-13 16:44:00,0.1800,0.1800,0.2100,0.2100,0.1973,0.1700,1853.00,224053.00
2026-02-13 16:45:00,0.2000,0.1900,0.2300,0.2300,0.2152,0.2100,3468.00,226491.00
2026-02-13 16:46:00,0.2300,0.2200,0.2300,0.2200,0.2277,0.2300,6341.00,227567.00
2026-02-13 16:47:00,0.2300,0.2100,0.2500,0.2200,0.2343,0.2200,2899.00,228993.00
2026-02-13 16:48:00,0.2300,0.2100,0.2500,0.2100,0.2310,0.2200,1359.00,229148.00
2026-02-13 16:49:00,0.2100,0.2000,0.2200,0.2200,0.2172,0.2100,11321.00,231205.00
