end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-14 09:24:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5500,459.00,2307.00
2026-02-14 09:25:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,175.00,2482.00
2026-02-14 09:26:00,0.5400,0.5400,0.5600,0.5600,0.5458,0.5500,1775.00,4257.00
2026-02-14 09:27:00,,,,,,0.5600,0.00,4257.00
2026-02-14 09:37:00,,,,,,0.5600,0.00,4257.00
2026-02-14 09:43:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5600,101.00,4358.00
2026-02-14 09:50:00,0.5300,0.5300,0.5400,0.5400,0.5384,0.5300,119.00,4477.00
2026-02-14 09:51:00,,,,,,0.5400,0.00,4477.00
2026-02-14 09:53:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5400,17.00,4494.00
2026-02-14 09:56:00,,,,,,0.5400,0.00,4494.00
2026-02-14 10:01:00,,,,,,0.5400,0.00,4494.00
2026-02-14 10:03:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5400,19.00,4494.00
2026-02-14 10:11:00,,,,,,0.5000,0.00,4494.00
2026-02-14 10:15:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5000,3.00,4497.00
2026-02-14 10:16:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,5.00,4502.00
2026-02-14 10:19:00,,,,,,0.5100,0.00,4502.00
2026-02-14 10:25:00,,,,,,0.5100,0.00,4502.00
2026-02-14 10:26:00,,,,,,0.5100,0.00,4502.00
2026-02-14 10:27:00,,,,,,0.5100,0.00,4502.00
2026-02-14 10:28:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,188.00,4690.00
2026-02-14 10:29:00,,,,,,0.5100,0.00,4690.00
2026-02-14 10:30:00,,,,,,0.5100,0.00,4690.00
2026-02-14 10:32:00,,,,,,0.5100,0.00,4690.00
2026-02-14 10:34:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,74.00,4764.00
2026-02-14 10:35:00,,,,,,0.5100,0.00,4764.00
2026-02-14 10:36:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,2.00,4766.00
2026-02-14 10:37:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,57.00,4823.00
2026-02-14 10:38:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,142.00,4965.00
2026-02-14 10:39:00,,,,,,0.5100,0.00,4965.00
2026-02-14 10:40:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,9.00,4974.00
2026-02-14 10:41:00,,,,,,0.5100,0.00,4974.00
2026-02-14 10:42:00,,,,,,0.5100,0.00,4974.00
2026-02-14 10:43:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,35.00,5009.00
2026-02-14 10:44:00,,,,,,0.5100,0.00,5009.00
2026-02-14 10:45:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,11.00,5020.00
2026-02-14 10:46:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,189.00,5209.00
2026-02-14 10:47:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,69.00,5278.00
2026-02-14 10:48:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,10005.00,15283.00
2026-02-14 10:49:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,190.00,15473.00
2026-02-14 10:50:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,415.00,15888.00
2026-02-14 10:54:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,11.00,15899.00
2026-02-14 10:55:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,11.00,15910.00
2026-02-14 10:56:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,188.00,16098.00
2026-02-14 10:57:00,,,,,,0.5100,0.00,16098.00
2026-02-14 10:58:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,94.00,16192.00
2026-02-14 10:59:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,50.00,16242.00
2026-02-14 11:00:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,19.00,16261.00
2026-02-14 11:01:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,66.00,16327.00
2026-02-14 11:03:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,28.00,16355.00
2026-02-14 11:05:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,370.00,16725.00
2026-02-14 11:06:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,4.00,16729.00
2026-02-14 11:07:00,,,,,,0.5100,0.00,16729.00
2026-02-14 11:08:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,47.00,16776.00
2026-02-14 11:09:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,377.00,17153.00
2026-02-14 11:10:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,5687.00,22840.00
2026-02-14 11:11:00,,,,,,0.5100,0.00,22840.00
2026-02-14 11:12:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,182.00,23022.00
2026-02-14 11:13:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,20.00,23042.00
2026-02-14 11:14:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,189.00,23231.00
2026-02-14 11:16:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,282.00,23513.00
2026-02-14 11:17:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,11.00,23524.00
2026-02-14 11:19:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,312.00,23836.00
2026-02-14 11:20:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5100,179.00,24015.00
2026-02-14 11:21:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5100,619.00,24634.00
2026-02-14 11:22:00,,,,,,0.5200,0.00,24634.00
2026-02-14 11:23:00,0.5100,0.5100,0.5200,0.5200,0.5134,0.5200,642.00,25276.00
2026-02-14 11:24:00,,,,,,0.5200,0.00,25276.00
2026-02-14 11:25:00,,,,,,0.5200,0.00,25276.00
2026-02-14 11:26:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5200,94.00,25370.00
2026-02-14 11:27:00,0.5100,0.5100,0.5200,0.5200,0.5163,0.5100,792.00,26162.00
2026-02-14 11:28:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,241.00,26403.00
2026-02-14 11:29:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5200,78.00,26481.00
2026-02-14 11:30:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5100,9.00,26490.00
2026-02-14 11:31:00,0.5200,0.5000,0.5400,0.5400,0.5083,0.5200,1228.00,27718.00
2026-02-14 11:32:00,0.5300,0.4900,0.5300,0.5200,0.5128,0.5400,8986.00,36555.00
2026-02-14 11:33:00,0.5500,0.5500,0.5700,0.5700,0.5654,0.5200,4387.00,40942.00
2026-02-14 11:34:00,0.5600,0.5600,0.5700,0.5600,0.5691,0.5700,1720.00,42662.00
2026-02-14 11:35:00,0.5800,0.5500,0.6200,0.5700,0.5820,0.5600,1485.00,43649.00
2026-02-14 11:36:00,0.5600,0.5600,0.5900,0.5700,0.5692,0.5700,5550.00,49199.00
