end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-15 12:12:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,8986.00,128120.00
2026-02-15 12:13:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,752.00,128872.00
2026-02-15 12:14:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,773.00,129645.00
2026-02-15 12:15:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1598.00,131243.00
2026-02-15 12:16:00,0.5600,0.5500,0.5600,0.5600,0.5590,0.5600,209.00,131452.00
2026-02-15 12:17:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,554.00,132006.00
2026-02-15 12:18:00,,,,,,0.5600,0.00,132006.00
2026-02-15 12:19:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,295.00,132301.00
2026-02-15 12:20:00,0.5600,0.5500,0.5600,0.5600,0.5600,0.5600,3650.00,135951.00
2026-02-15 12:21:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,96.00,136047.00
2026-02-15 12:22:00,0.5600,0.5500,0.5600,0.5600,0.5598,0.5600,3560.00,139527.00
2026-02-15 12:23:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,483.00,140010.00
2026-02-15 12:24:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,62.00,140072.00
2026-02-15 12:25:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,233.00,140305.00
2026-02-15 12:26:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,745.00,141050.00
2026-02-15 12:27:00,0.5600,0.5500,0.5600,0.5600,0.5592,0.5600,291.00,141340.00
2026-02-15 12:28:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,332.00,141672.00
2026-02-15 12:29:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,316.00,141988.00
2026-02-15 12:30:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,388.00,142376.00
2026-02-15 12:31:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,177.00,142553.00
2026-02-15 12:32:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,250.00,142803.00
2026-02-15 12:33:00,0.5600,0.5500,0.5600,0.5600,0.5600,0.5600,1202.00,144005.00
2026-02-15 12:34:00,,,,,,0.5600,0.00,144005.00
2026-02-15 12:35:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,634.00,144639.00
2026-02-15 12:36:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,288.00,144927.00
2026-02-15 12:37:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,200.00,145127.00
2026-02-15 12:38:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,479.00,145606.00
2026-02-15 12:39:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,240.00,145846.00
2026-02-15 12:40:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,173.00,146019.00
2026-02-15 12:41:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,234.00,146253.00
2026-02-15 12:42:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,23.00,146276.00
2026-02-15 12:43:00,0.5500,0.5500,0.5600,0.5600,0.5568,0.5600,134.00,146367.00
2026-02-15 12:44:00,0.5600,0.5600,0.5700,0.5600,0.5601,0.5600,3840.00,150007.00
2026-02-15 12:45:00,0.5600,0.5600,0.5700,0.5700,0.5607,0.5600,234.00,150241.00
2026-02-15 12:46:00,0.5600,0.5500,0.5600,0.5500,0.5578,0.5700,142.00,150352.00
2026-02-15 12:47:00,0.5700,0.5600,0.5700,0.5700,0.5690,0.5500,1715.00,152067.00
2026-02-15 12:48:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,17144.00,169211.00
2026-02-15 12:49:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,988.00,170199.00
2026-02-15 12:50:00,0.5600,0.5600,0.5700,0.5700,0.5698,0.5700,1379.00,171530.00
2026-02-15 12:51:00,0.5700,0.5600,0.5700,0.5700,0.5691,0.5700,1066.00,172394.00
2026-02-15 12:52:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,773.00,173167.00
2026-02-15 12:53:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,6.00,173173.00
2026-02-15 12:54:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,75.00,173248.00
2026-02-15 12:55:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,730.00,173978.00
2026-02-15 12:56:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,586.00,174564.00
2026-02-15 12:57:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,2071.00,176635.00
2026-02-15 12:58:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,694.00,177329.00
2026-02-15 12:59:00,0.5700,0.5400,0.5700,0.5600,0.5592,0.5700,55720.00,181875.00
2026-02-15 13:00:00,0.5600,0.5500,0.5600,0.5600,0.5574,0.5600,1252.00,182702.00
2026-02-15 13:01:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,415.00,183117.00
2026-02-15 13:02:00,0.5500,0.5400,0.5600,0.5500,0.5523,0.5600,1440.00,183947.00
2026-02-15 13:03:00,0.5600,0.5600,0.5700,0.5700,0.5613,0.5500,273.00,184220.00
2026-02-15 13:04:00,0.5700,0.5600,0.5700,0.5700,0.5629,0.5700,560.00,184128.00
2026-02-15 13:05:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,1722.00,185850.00
2026-02-15 13:06:00,0.5700,0.5600,0.5700,0.5700,0.5695,0.5700,428.00,186257.00
2026-02-15 13:07:00,0.5700,0.5600,0.5700,0.5700,0.5692,0.5700,6257.00,192014.00
2026-02-15 13:08:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,946.00,192960.00
2026-02-15 13:09:00,0.5600,0.5600,0.5700,0.5700,0.5699,0.5700,452.00,193406.00
2026-02-15 13:10:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,2602.00,196008.00
2026-02-15 13:11:00,0.5700,0.5600,0.5700,0.5700,0.5659,0.5700,1235.00,196223.00
2026-02-15 13:12:00,0.5600,0.5600,0.5700,0.5700,0.5627,0.5700,750.00,196428.00
2026-02-15 13:13:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,1813.00,198241.00
2026-02-15 13:14:00,0.5700,0.5600,0.5700,0.5700,0.5700,0.5700,266.00,198506.00
2026-02-15 13:15:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,4924.00,203430.00
2026-02-15 13:16:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,453.00,203883.00
2026-02-15 13:17:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,747.00,204630.00
2026-02-15 13:18:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,866.00,205496.00
2026-02-15 13:19:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,1253.00,206749.00
2026-02-15 13:20:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,561.00,207310.00
2026-02-15 13:21:00,0.5700,0.5600,0.5700,0.5700,0.5700,0.5700,467.00,207776.00
2026-02-15 13:22:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,1246.00,209022.00
2026-02-15 13:23:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,930.00,209952.00
2026-02-15 13:24:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,507.00,210459.00
2026-02-15 13:25:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,482.00,210941.00
2026-02-15 13:26:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,700.00,211641.00
2026-02-15 13:27:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,446.00,212087.00
2026-02-15 13:28:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,2756.00,214843.00
2026-02-15 13:29:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,811.00,215654.00
2026-02-15 13:30:00,0.5700,0.5600,0.5700,0.5700,0.5700,0.5700,2805.00,218443.00
2026-02-15 13:31:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,2878.00,221321.00
2026-02-15 13:32:00,0.5600,0.5600,0.5700,0.5700,0.5656,0.5700,544.00,221626.00
2026-02-15 13:33:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,976.00,222602.00
2026-02-15 13:34:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,515.00,223117.00
2026-02-15 13:35:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,213.00,223330.00
2026-02-15 13:36:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,26.00,223356.00
2026-02-15 13:37:00,0.5700,0.5600,0.5700,0.5700,0.5695,0.5700,3648.00,227004.00
2026-02-15 13:38:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,164.00,227168.00
2026-02-15 13:39:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,2511.00,229679.00
2026-02-15 13:40:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,326.00,230005.00
2026-02-15 13:41:00,0.5700,0.5600,0.5700,0.5700,0.5658,0.5700,1285.00,231290.00
