end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-16 15:23:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,11.00,6731.00
2026-02-16 15:25:00,0.5900,0.5700,0.5900,0.5700,0.5800,0.5900,64.00,6731.00
2026-02-16 15:29:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5700,62.00,6793.00
2026-02-16 15:30:00,,,,,,0.5900,0.00,6793.00
2026-02-16 15:31:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,40.00,6833.00
2026-02-16 15:35:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,16.00,6849.00
2026-02-16 15:36:00,,,,,,0.5900,0.00,6849.00
2026-02-16 15:39:00,,,,,,0.5900,0.00,6849.00
2026-02-16 15:40:00,,,,,,0.5900,0.00,6849.00
2026-02-16 15:42:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,68.00,6917.00
2026-02-16 15:44:00,,,,,,0.5800,0.00,6917.00
2026-02-16 15:46:00,,,,,,0.5800,0.00,6917.00
2026-02-16 15:49:00,,,,,,0.5800,0.00,6917.00
2026-02-16 15:52:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,41.00,6958.00
2026-02-16 15:53:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,500.00,7458.00
2026-02-16 15:54:00,,,,,,0.5800,0.00,7458.00
2026-02-16 15:55:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,8.00,7466.00
2026-02-16 15:57:00,,,,,,0.5800,0.00,7466.00
2026-02-16 16:04:00,,,,,,0.5800,0.00,7466.00
2026-02-16 16:05:00,,,,,,0.5800,0.00,7466.00
2026-02-16 16:06:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,8.00,7474.00
2026-02-16 16:07:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,4.00,7478.00
2026-02-16 16:10:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,10.00,7488.00
2026-02-16 16:11:00,,,,,,0.5800,0.00,7488.00
2026-02-16 16:16:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,100.00,7588.00
2026-02-16 16:19:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,184.00,7772.00
2026-02-16 16:21:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,97.00,7869.00
2026-02-16 16:24:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,2.00,7871.00
2026-02-16 16:25:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,8.00,7879.00
2026-02-16 16:28:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,25.00,7904.00
2026-02-16 16:29:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,355.00,8259.00
2026-02-16 16:30:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,173.00,8432.00
2026-02-16 16:32:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,8.00,8440.00
2026-02-16 16:34:00,0.5800,0.5800,0.5900,0.5900,0.5802,0.5800,108.00,8548.00
2026-02-16 16:35:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,18.00,8566.00
2026-02-16 16:37:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,32.00,8598.00
2026-02-16 16:39:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,91.00,8689.00
2026-02-16 16:40:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5800,109.00,8798.00
2026-02-16 16:41:00,,,,,,0.5900,0.00,8798.00
2026-02-16 16:42:00,,,,,,0.5900,0.00,8798.00
2026-02-16 16:43:00,,,,,,0.5900,0.00,8798.00
2026-02-16 16:44:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,190.00,8988.00
2026-02-16 16:45:00,,,,,,0.5900,0.00,8988.00
2026-02-16 16:46:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,49.00,9037.00
2026-02-16 16:47:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,125.00,9162.00
2026-02-16 16:48:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,160.00,9322.00
2026-02-16 16:49:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5800,38.00,9360.00
2026-02-16 16:50:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,32.00,9392.00
2026-02-16 16:51:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,60.00,9452.00
2026-02-16 16:52:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,3.00,9455.00
2026-02-16 16:53:00,0.5800,0.5800,0.6000,0.5900,0.5907,0.5800,12811.00,22266.00
2026-02-16 16:54:00,,,,,,0.5900,0.00,22266.00
2026-02-16 16:55:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,793.00,23059.00
2026-02-16 16:57:00,0.5700,0.5700,0.5900,0.5900,0.5857,0.5900,837.00,23714.00
2026-02-16 16:58:00,0.5900,0.5700,0.5900,0.5700,0.5899,0.5900,556.00,24270.00
2026-02-16 16:59:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5700,32.00,24302.00
2026-02-16 17:00:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,166.00,24468.00
2026-02-16 17:01:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,918.00,25386.00
2026-02-16 17:02:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,1222.00,26608.00
2026-02-16 17:03:00,0.5800,0.5800,0.5900,0.5900,0.5838,0.5900,63.00,26671.00
2026-02-16 17:04:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,2646.00,29317.00
2026-02-16 17:05:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,658.00,29975.00
2026-02-16 17:06:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,269.00,30244.00
2026-02-16 17:07:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,702.00,30946.00
2026-02-16 17:08:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.6000,222.00,31168.00
2026-02-16 17:09:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,9.00,31177.00
2026-02-16 17:10:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,1514.00,32691.00
2026-02-16 17:11:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,73.00,32764.00
2026-02-16 17:12:00,,,,,,0.6000,0.00,32764.00
