end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-16 10:57:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,8.00,2545.00
2026-02-16 11:08:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:15:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:21:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:22:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:23:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:24:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:25:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:26:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:27:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:28:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:29:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:30:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:31:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:32:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:33:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:34:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:35:00,,,,,,0.5700,0.00,2545.00
2026-02-16 11:36:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,3.00,2548.00
2026-02-16 11:37:00,,,,,,0.5700,0.00,2548.00
2026-02-16 11:38:00,,,,,,0.5700,0.00,2548.00
2026-02-16 11:39:00,,,,,,0.5700,0.00,2548.00
2026-02-16 11:40:00,0.5600,0.5500,0.5600,0.5600,0.5563,0.5700,2855.00,5403.00
2026-02-16 11:41:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,34.00,5437.00
2026-02-16 11:42:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,104.00,5541.00
2026-02-16 11:44:00,,,,,,0.5600,0.00,5541.00
2026-02-16 11:45:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,5558.00
2026-02-16 11:46:00,,,,,,0.5600,0.00,5558.00
2026-02-16 11:47:00,,,,,,0.5600,0.00,5558.00
2026-02-16 11:48:00,,,,,,0.5600,0.00,5558.00
2026-02-16 11:49:00,,,,,,0.5600,0.00,5558.00
2026-02-16 11:50:00,,,,,,0.5600,0.00,5558.00
2026-02-16 11:51:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,39.00,5597.00
2026-02-16 11:52:00,,,,,,0.5600,0.00,5597.00
2026-02-16 11:53:00,,,,,,0.5600,0.00,5597.00
2026-02-16 11:54:00,,,,,,0.5600,0.00,5597.00
2026-02-16 11:55:00,,,,,,0.5600,0.00,5597.00
2026-02-16 11:56:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,8.00,5605.00
2026-02-16 11:57:00,,,,,,0.5600,0.00,5605.00
2026-02-16 11:58:00,,,,,,0.5600,0.00,5605.00
2026-02-16 11:59:00,,,,,,0.5600,0.00,5605.00
2026-02-16 12:00:00,,,,,,0.5600,0.00,5605.00
2026-02-16 12:01:00,,,,,,0.5600,0.00,5605.00
2026-02-16 12:02:00,,,,,,0.5600,0.00,5605.00
2026-02-16 12:03:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,46.00,5651.00
2026-02-16 12:04:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,5668.00
2026-02-16 12:05:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,3621.00,8534.00
2026-02-16 12:06:00,0.5600,0.5600,0.5700,0.5700,0.5646,0.5600,483.00,8804.00
2026-02-16 12:07:00,,,,,,0.5700,0.00,8804.00
2026-02-16 12:08:00,,,,,,0.5700,0.00,8804.00
2026-02-16 12:09:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,425.00,8804.00
2026-02-16 12:10:00,,,,,,0.5700,0.00,8804.00
2026-02-16 12:11:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,5.00,8804.00
2026-02-16 12:12:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5700,425.00,8804.00
2026-02-16 12:13:00,,,,,,0.5500,0.00,8804.00
2026-02-16 12:14:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5500,3.00,8804.00
2026-02-16 12:16:00,,,,,,0.5700,0.00,8804.00
2026-02-16 12:17:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,428.00,9043.00
2026-02-16 12:20:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5700,33.00,9076.00
2026-02-16 12:22:00,,,,,,0.5600,0.00,9076.00
2026-02-16 12:23:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,9093.00
2026-02-16 12:24:00,,,,,,0.5600,0.00,9093.00
2026-02-16 12:25:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,3.00,9096.00
2026-02-16 12:27:00,,,,,,0.5600,0.00,9096.00
2026-02-16 12:28:00,,,,,,0.5600,0.00,9096.00
2026-02-16 12:29:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,432.00,9528.00
2026-02-16 12:30:00,,,,,,0.5600,0.00,9528.00
2026-02-16 12:31:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5600,4.00,9532.00
2026-02-16 12:32:00,,,,,,0.5700,0.00,9532.00
2026-02-16 12:34:00,,,,,,0.5700,0.00,9532.00
2026-02-16 12:35:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,91.00,9623.00
2026-02-16 12:37:00,,,,,,0.5700,0.00,9623.00
2026-02-16 12:38:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,8.00,9631.00
2026-02-16 12:39:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,25.00,9656.00
2026-02-16 12:40:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,8.00,9664.00
2026-02-16 12:41:00,,,,,,0.5700,0.00,9664.00
2026-02-16 12:42:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,25.00,9689.00
2026-02-16 12:43:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,68.00,9757.00
2026-02-16 12:44:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,50.00,9807.00
2026-02-16 12:46:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,54.00,9861.00
2026-02-16 12:47:00,,,,,,0.5700,0.00,9861.00
2026-02-16 12:48:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,851.00,10641.00
2026-02-16 12:49:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5700,426.00,11067.00
2026-02-16 12:50:00,0.5600,0.5600,0.5700,0.5700,0.5669,0.5500,6412.00,17478.00
2026-02-16 12:51:00,0.5700,0.5700,0.5800,0.5800,0.5708,0.5700,2149.00,19627.00
2026-02-16 12:52:00,0.5800,0.5600,0.5800,0.5800,0.5759,0.5800,4138.00,22063.00
2026-02-16 12:53:00,,,,,,0.5800,0.00,22063.00
2026-02-16 12:54:00,0.5700,0.5700,0.5800,0.5800,0.5754,0.5800,1175.00,23238.00
2026-02-16 12:55:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5800,126.00,23364.00
