end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-17 13:47:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,33.00,83184.00
2026-02-17 13:48:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4200,219.00,82965.00
2026-02-17 13:49:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,475.00,83319.00
2026-02-17 13:50:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4100,5681.00,89000.00
2026-02-17 13:51:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,1136.00,90136.00
2026-02-17 13:53:00,,,,,,0.4200,0.00,90136.00
2026-02-17 13:55:00,0.4200,0.3900,0.4200,0.4200,0.4169,0.4200,211.00,90304.00
2026-02-17 13:56:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,15.00,90319.00
2026-02-17 13:57:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,209.00,90528.00
2026-02-17 13:58:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,37.00,90565.00
2026-02-17 13:59:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,307.00,90872.00
2026-02-17 14:00:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,11.00,90883.00
2026-02-17 14:01:00,,,,,,0.4200,0.00,90883.00
2026-02-17 14:02:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4200,113.00,90996.00
2026-02-17 14:03:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4100,22.00,91018.00
2026-02-17 14:05:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,45.00,91063.00
2026-02-17 14:06:00,0.3900,0.3900,0.4200,0.4200,0.3937,0.4200,81.00,91002.00
2026-02-17 14:07:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,22.00,91024.00
2026-02-17 14:08:00,,,,,,0.4200,0.00,91024.00
2026-02-17 14:12:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,127.00,91151.00
2026-02-17 14:13:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,228.00,91379.00
