end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-17 08:02:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,156.00,12057.00
2026-02-17 08:03:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,26.00,12083.00
2026-02-17 08:04:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,39.00,12122.00
2026-02-17 08:08:00,,,,,,0.6200,0.00,12122.00
2026-02-17 08:09:00,,,,,,0.6200,0.00,12122.00
2026-02-17 08:10:00,,,,,,0.6200,0.00,12122.00
2026-02-17 08:12:00,,,,,,0.6200,0.00,12122.00
2026-02-17 08:13:00,,,,,,0.6200,0.00,12122.00
2026-02-17 08:14:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,78.00,12200.00
2026-02-17 08:15:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,20.00,12220.00
2026-02-17 08:16:00,,,,,,0.6200,0.00,12220.00
2026-02-17 08:17:00,,,,,,0.6200,0.00,12220.00
2026-02-17 08:21:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6200,30.00,12250.00
2026-02-17 08:22:00,,,,,,0.6300,0.00,12250.00
2026-02-17 08:23:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,307.00,12557.00
2026-02-17 08:27:00,,,,,,0.6300,0.00,12557.00
2026-02-17 08:29:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,12572.00
2026-02-17 08:30:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,30.00,12602.00
2026-02-17 08:32:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,12617.00
2026-02-17 08:39:00,,,,,,0.6300,0.00,12617.00
2026-02-17 08:40:00,0.6200,0.6200,0.6300,0.6300,0.6267,0.6300,3.00,12620.00
2026-02-17 08:41:00,,,,,,0.6300,0.00,12620.00
2026-02-17 08:42:00,,,,,,0.6300,0.00,12620.00
2026-02-17 08:44:00,,,,,,0.6300,0.00,12620.00
2026-02-17 08:45:00,,,,,,0.6300,0.00,12620.00
2026-02-17 08:46:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,4.00,12624.00
2026-02-17 08:47:00,,,,,,0.6300,0.00,12624.00
2026-02-17 08:48:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,152.00,12776.00
2026-02-17 08:52:00,,,,,,0.6300,0.00,12776.00
2026-02-17 08:53:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,1.00,12777.00
2026-02-17 08:56:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,12792.00
2026-02-17 08:57:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,385.00,13177.00
2026-02-17 08:59:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,20.00,13197.00
2026-02-17 09:00:00,,,,,,0.6300,0.00,13197.00
2026-02-17 09:02:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,154.00,13351.00
2026-02-17 09:04:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,12.00,13363.00
2026-02-17 09:05:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,22.00,13385.00
2026-02-17 09:06:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,375.00,13760.00
2026-02-17 09:07:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,15.00,13775.00
2026-02-17 09:08:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,30.00,13805.00
2026-02-17 09:09:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,11.00,13816.00
2026-02-17 09:10:00,0.6300,0.6300,0.6400,0.6400,0.6366,0.6300,406.00,14222.00
2026-02-17 09:11:00,,,,,,0.6400,0.00,14222.00
2026-02-17 09:12:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,224.00,14446.00
2026-02-17 09:13:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,135.00,14581.00
2026-02-17 09:14:00,,,,,,0.6400,0.00,14581.00
2026-02-17 09:15:00,,,,,,0.6400,0.00,14581.00
2026-02-17 09:16:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400,10.00,14581.00
2026-02-17 09:20:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,16.00,14597.00
2026-02-17 09:21:00,,,,,,0.6300,0.00,14597.00
2026-02-17 09:22:00,,,,,,0.6300,0.00,14597.00
2026-02-17 09:23:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,47.00,14644.00
2026-02-17 09:24:00,0.6300,0.6300,0.6400,0.6400,0.6399,0.6300,596.00,15240.00
2026-02-17 09:25:00,0.6400,0.6300,0.6400,0.6300,0.6357,0.6400,65.00,15305.00
2026-02-17 09:26:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,663.00,15968.00
2026-02-17 09:27:00,0.6300,0.6300,0.6400,0.6300,0.6382,0.6300,6524.00,22492.00
2026-02-17 09:28:00,0.6300,0.6300,0.6400,0.6400,0.6398,0.6300,433.00,22925.00
2026-02-17 09:29:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,300.00,23225.00
2026-02-17 09:30:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,898.00,24123.00
2026-02-17 09:31:00,0.6400,0.6400,0.6500,0.6400,0.6438,0.6400,32.00,24155.00
2026-02-17 09:32:00,,,,,,0.6400,0.00,24155.00
2026-02-17 09:33:00,0.6400,0.6300,0.6400,0.6400,0.6319,0.6400,892.00,25047.00
2026-02-17 09:34:00,0.6400,0.6300,0.6400,0.6300,0.6318,0.6400,338.00,25385.00
2026-02-17 09:35:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,420.00,25805.00
2026-02-17 09:36:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,112.00,25917.00
2026-02-17 09:37:00,0.6300,0.6200,0.6400,0.6200,0.6348,0.6300,620.00,26537.00
2026-02-17 09:38:00,,,,,,0.6200,0.00,26537.00
2026-02-17 09:39:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,541.00,27078.00
2026-02-17 09:40:00,0.6200,0.6000,0.6200,0.6000,0.6002,0.6200,246.00,27081.00
2026-02-17 09:41:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6000,22.00,27103.00
