end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-16 17:02:00,,,,,,0.3200,0.00,2486.00
2026-02-16 17:03:00,,,,,,0.3200,0.00,2486.00
2026-02-16 17:04:00,,,,,,0.3200,0.00,2486.00
2026-02-16 17:05:00,,,,,,0.3200,0.00,2486.00
2026-02-16 17:06:00,,,,,,0.3200,0.00,2486.00
2026-02-16 17:07:00,0.3200,0.3200,0.3300,0.3200,0.3226,0.3200,2966.00,5452.00
2026-02-16 17:08:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:09:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:10:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:11:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:12:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:13:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:14:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:15:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:16:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:17:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:18:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:19:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:20:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:21:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:23:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:24:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:26:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:27:00,,,,,,0.3200,0.00,5452.00
2026-02-16 17:29:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,23.00,5475.00
2026-02-16 17:30:00,0.3200,0.3200,0.3300,0.3300,0.3241,0.3200,182.00,5657.00
2026-02-16 17:31:00,,,,,,0.3300,0.00,5657.00
2026-02-16 17:32:00,,,,,,0.3300,0.00,5657.00
2026-02-16 17:33:00,,,,,,0.3300,0.00,5657.00
2026-02-16 17:34:00,,,,,,0.3300,0.00,5657.00
2026-02-16 17:35:00,,,,,,0.3300,0.00,5657.00
2026-02-16 17:36:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,28.00,5685.00
2026-02-16 17:37:00,,,,,,0.3300,0.00,5685.00
2026-02-16 17:38:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,1428.00,7113.00
2026-02-16 17:39:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,289.00,7402.00
2026-02-16 17:40:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,2.00,7404.00
2026-02-16 17:41:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:42:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:43:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:44:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:45:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:46:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:47:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:48:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:49:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:50:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:51:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:52:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:53:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:54:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:55:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:56:00,,,,,,0.3300,0.00,7404.00
2026-02-16 17:57:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,11.00,7415.00
2026-02-16 17:58:00,,,,,,0.3300,0.00,7415.00
2026-02-16 17:59:00,,,,,,0.3300,0.00,7415.00
2026-02-16 18:00:00,,,,,,0.3300,0.00,7415.00
2026-02-16 18:01:00,,,,,,0.3300,0.00,7415.00
2026-02-16 18:02:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3300,34.00,7449.00
2026-02-16 18:03:00,,,,,,0.3200,0.00,7449.00
2026-02-16 18:04:00,,,,,,0.3200,0.00,7449.00
2026-02-16 18:05:00,,,,,,0.3200,0.00,7449.00
2026-02-16 18:06:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,30.00,7479.00
2026-02-16 18:07:00,,,,,,0.3200,0.00,7479.00
2026-02-16 18:08:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,5.00,7484.00
2026-02-16 18:09:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,1.00,7485.00
2026-02-16 18:10:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,73.00,7558.00
2026-02-16 18:11:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,35.00,7593.00
2026-02-16 18:12:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,58.00,7651.00
2026-02-16 18:13:00,0.3000,0.3000,0.3200,0.3200,0.3160,0.3200,15.00,7666.00
2026-02-16 18:14:00,0.3000,0.3000,0.3200,0.3200,0.3199,0.3200,295.00,7961.00
