end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-19 18:11:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,307.00,80368.00
2026-02-19 18:12:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,63.00,80370.00
2026-02-19 18:13:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,180.00,80370.00
2026-02-19 18:14:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,147.00,80370.00
2026-02-19 18:15:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,140.00,80370.00
2026-02-19 18:16:00,0.7900,0.7900,0.8000,0.8000,0.7934,0.7900,2485.00,81223.00
2026-02-19 18:17:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.8000,900.00,81223.00
2026-02-19 18:18:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7900,6463.00,85166.00
2026-02-19 18:19:00,0.8000,0.8000,0.8100,0.8100,0.8066,0.8000,2261.00,87247.00
2026-02-19 18:20:00,0.8000,0.8000,0.8100,0.8000,0.8060,0.8100,1747.00,88634.00
2026-02-19 18:21:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,3000.00,88961.00
2026-02-19 18:22:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,1121.00,88961.00
2026-02-19 18:23:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,36.00,88961.00
2026-02-19 18:24:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,510.00,88961.00
2026-02-19 18:25:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,402.00,89056.00
2026-02-19 18:26:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,874.00,89930.00
2026-02-19 18:27:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,243.00,90173.00
2026-02-19 18:28:00,0.8000,0.7900,0.8000,0.8000,0.8000,0.8000,1636.00,91802.00
2026-02-19 18:29:00,0.7900,0.7800,0.8000,0.8000,0.7896,0.8000,1810.00,92442.00
2026-02-19 18:30:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,220.00,92662.00
2026-02-19 18:31:00,0.7900,0.7900,0.8000,0.8000,0.8000,0.8000,229.00,92890.00
2026-02-19 18:32:00,,,,,,0.8000,0.00,92890.00
2026-02-19 18:33:00,,,,,,0.8000,0.00,92890.00
2026-02-19 18:34:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,3.00,92893.00
2026-02-19 18:35:00,0.8000,0.7800,0.8000,0.7800,0.7802,0.8000,2438.00,92911.00
2026-02-19 18:36:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7800,24.00,92935.00
2026-02-19 18:37:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.8000,180.00,92935.00
2026-02-19 18:38:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7800,199.00,93134.00
2026-02-19 18:39:00,,,,,,0.8000,0.00,93134.00
2026-02-19 18:40:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.8000,2169.00,93134.00
2026-02-19 18:41:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7800,43.00,93177.00
2026-02-19 18:42:00,,,,,,0.8000,0.00,93177.00
2026-02-19 18:43:00,0.7800,0.7800,0.8000,0.7800,0.7839,0.8000,340.00,93243.00
2026-02-19 18:44:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7800,262.00,93505.00
2026-02-19 18:45:00,,,,,,0.8000,0.00,93505.00
2026-02-19 18:46:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,2.00,93507.00
2026-02-19 18:47:00,0.7800,0.7800,0.8000,0.8000,0.7934,0.8000,79.00,93560.00
2026-02-19 18:48:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,1060.00,94620.00
2026-02-19 18:49:00,0.7800,0.7600,0.7800,0.7600,0.7681,0.8000,563.00,94343.00
2026-02-19 18:50:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7600,2560.00,94343.00
2026-02-19 18:51:00,,,,,,0.7800,0.00,94343.00
2026-02-19 18:52:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7800,101.00,94444.00
2026-02-19 18:53:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.8000,226.00,94218.00
2026-02-19 18:54:00,,,,,,0.7700,0.00,94218.00
2026-02-19 18:55:00,,,,,,0.7700,0.00,94218.00
2026-02-19 18:56:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7700,1.00,94219.00
2026-02-19 18:57:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,12.00,94231.00
2026-02-19 18:58:00,,,,,,0.8000,0.00,94231.00
2026-02-19 18:59:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.8000,2166.00,92538.00
2026-02-19 19:00:00,,,,,,0.7700,0.00,92538.00
2026-02-19 19:01:00,0.7800,0.7700,0.8000,0.7700,0.7952,0.7700,21.00,92558.00
2026-02-19 19:02:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7700,191.00,92749.00
2026-02-19 19:03:00,,,,,,0.8000,0.00,92749.00
2026-02-19 19:04:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,30.00,92779.00
2026-02-19 19:05:00,0.7700,0.7700,0.8000,0.8000,0.7784,0.8000,752.00,92989.00
2026-02-19 19:06:00,,,,,,0.8000,0.00,92989.00
2026-02-19 19:07:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,5.00,92994.00
2026-02-19 19:08:00,0.7800,0.7700,0.8000,0.8000,0.7774,0.8000,204.00,93009.00
2026-02-19 19:09:00,,,,,,0.8000,0.00,93009.00
2026-02-19 19:10:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,58.00,93067.00
2026-02-19 19:11:00,0.7700,0.7700,0.8000,0.8000,0.7792,0.8000,39.00,93079.00
2026-02-19 19:12:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,88.00,93167.00
2026-02-19 19:13:00,0.8000,0.7700,0.8000,0.7700,0.7761,0.8000,54.00,93178.00
2026-02-19 19:14:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7700,2.00,93180.00
2026-02-19 19:15:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.8000,6.00,93180.00
2026-02-19 19:16:00,,,,,,0.7700,0.00,93180.00
2026-02-19 19:17:00,0.8000,0.7700,0.8000,0.7700,0.7705,0.7700,533.00,93188.00
2026-02-19 19:18:00,,,,,,0.7700,0.00,93188.00
2026-02-19 19:19:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7700,245.00,93433.00
2026-02-19 19:20:00,,,,,,0.8000,0.00,93433.00
2026-02-19 19:21:00,,,,,,0.8000,0.00,93433.00
2026-02-19 19:22:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,123.00,93556.00
2026-02-19 19:23:00,,,,,,0.8000,0.00,93556.00
2026-02-19 19:24:00,,,,,,0.8000,0.00,93556.00
2026-02-19 19:25:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.8000,34.00,93556.00
2026-02-19 19:26:00,,,,,,0.7700,0.00,93556.00
2026-02-19 19:27:00,,,,,,0.7700,0.00,93556.00
2026-02-19 19:28:00,,,,,,0.7700,0.00,93556.00
2026-02-19 19:29:00,,,,,,0.7700,0.00,93556.00
2026-02-19 19:30:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7700,124.00,93680.00
2026-02-19 19:32:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,234.00,93914.00
2026-02-19 19:34:00,,,,,,0.8000,0.00,93914.00
2026-02-19 19:37:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,1232.00,95146.00
2026-02-19 19:38:00,,,,,,0.8000,0.00,95146.00
2026-02-19 19:39:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,246.00,95392.00
2026-02-19 19:41:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,1232.00,96624.00
2026-02-19 19:42:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,7637.00,104261.00
2026-02-19 19:43:00,0.8000,0.7900,0.8100,0.7900,0.8070,0.8000,2933.00,106606.00
2026-02-19 19:44:00,,,,,,0.7900,0.00,106606.00
2026-02-19 19:45:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7900,1788.00,106632.00
2026-02-19 19:46:00,0.7600,0.7000,0.7600,0.7300,0.7274,0.7600,1018.00,107277.00
2026-02-19 19:47:00,0.7500,0.7200,0.7500,0.7200,0.7313,0.7300,16.00,107283.00
2026-02-19 19:48:00,0.7200,0.7000,0.7500,0.7400,0.7335,0.7200,789.00,107531.00
2026-02-19 19:49:00,0.7000,0.6900,0.7400,0.7400,0.7045,0.7400,1501.00,107621.00
2026-02-19 19:50:00,0.7300,0.7200,0.7500,0.7200,0.7293,0.7400,20441.00,124055.00
2026-02-19 19:51:00,0.7100,0.7100,0.7500,0.7500,0.7474,0.7200,598.00,124645.00
2026-02-19 19:52:00,0.7500,0.7500,0.7700,0.7700,0.7690,0.7500,1923.00,126568.00
2026-02-19 19:53:00,0.7600,0.7500,0.7700,0.7500,0.7536,0.7700,875.00,126675.00
2026-02-19 19:54:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7500,102.00,126777.00
2026-02-19 19:55:00,0.7400,0.7100,0.7400,0.7100,0.7352,0.7400,665.00,127442.00
2026-02-19 19:56:00,0.7100,0.7100,0.7200,0.7200,0.7192,0.7100,922.00,128364.00
2026-02-19 19:57:00,0.7200,0.7100,0.7200,0.7200,0.7181,0.7200,277.00,128636.00
2026-02-19 19:58:00,0.7300,0.6800,0.7300,0.6800,0.7163,0.7200,788.00,129424.00
2026-02-19 19:59:00,0.6700,0.6700,0.7200,0.6700,0.6924,0.6800,933.00,130337.00
2026-02-19 20:00:00,0.6600,0.6400,0.7000,0.6400,0.6661,0.6700,4888.00,135152.00
2026-02-19 20:01:00,0.6400,0.6300,0.6800,0.6800,0.6549,0.6400,3729.00,138881.00
2026-02-19 20:02:00,0.6800,0.6800,0.7400,0.7400,0.7129,0.6800,769.00,139508.00
2026-02-19 20:03:00,0.7300,0.7300,0.7800,0.7700,0.7521,0.7400,1955.00,141288.00
2026-02-19 20:04:00,0.7700,0.7100,0.7700,0.7400,0.7224,0.7700,1345.00,142302.00
2026-02-19 20:05:00,0.7400,0.7400,0.7500,0.7500,0.7471,0.7400,437.00,142739.00
2026-02-19 20:06:00,0.7500,0.7200,0.7800,0.7200,0.7524,0.7500,1316.00,143943.00
2026-02-19 20:07:00,0.7200,0.7200,0.7500,0.7500,0.7283,0.7200,1053.00,144896.00
2026-02-19 20:08:00,0.7400,0.7400,0.7600,0.7600,0.7567,0.7500,692.00,145558.00
2026-02-19 20:09:00,0.8100,0.7300,0.8400,0.7300,0.8033,0.7600,1328.00,146786.00
2026-02-19 20:10:00,0.7300,0.7100,0.7300,0.7100,0.7242,0.7300,1627.00,148413.00
2026-02-19 20:11:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,2412.00,150825.00
2026-02-19 20:12:00,0.7100,0.7000,0.7100,0.7000,0.7058,0.7100,600.00,151425.00
2026-02-19 20:13:00,0.7100,0.7100,0.7400,0.7300,0.7227,0.7000,263.00,151588.00
2026-02-19 20:14:00,0.7400,0.7400,0.7700,0.7700,0.7464,0.7300,1773.00,153126.00
2026-02-19 20:15:00,0.7700,0.7600,0.7700,0.7700,0.7694,0.7700,963.00,154089.00
2026-02-19 20:16:00,0.7800,0.7200,0.7800,0.7200,0.7474,0.7700,739.00,154828.00
2026-02-19 20:17:00,0.7500,0.7400,0.7500,0.7500,0.7479,0.7200,126.00,154954.00
2026-02-19 20:18:00,0.7200,0.7100,0.7400,0.7400,0.7246,0.7500,4200.00,159073.00
2026-02-19 20:19:00,0.7400,0.7200,0.7400,0.7200,0.7278,0.7400,115.00,159188.00
2026-02-19 20:20:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,3435.00,162613.00
2026-02-19 20:21:00,0.7200,0.7200,0.7400,0.7400,0.7215,0.7200,2031.00,162894.00
2026-02-19 20:22:00,0.7500,0.7500,0.7600,0.7600,0.7527,0.7400,45.00,162937.00
2026-02-19 20:23:00,0.7600,0.7600,0.7700,0.7700,0.7650,0.7600,1593.00,163760.00
2026-02-19 20:24:00,0.7800,0.7300,0.7800,0.7300,0.7432,0.7700,623.00,164383.00
2026-02-19 20:25:00,0.7300,0.6800,0.7300,0.7300,0.6913,0.7300,2807.00,163766.00
2026-02-19 20:26:00,0.7200,0.7200,0.7300,0.7200,0.7290,0.7300,3021.00,166737.00
2026-02-19 20:27:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,138.00,166875.00
2026-02-19 20:28:00,0.7200,0.6800,0.7200,0.7000,0.7045,0.7200,1022.00,167172.00
2026-02-19 20:29:00,0.7000,0.6500,0.7000,0.6800,0.6699,0.7000,8589.00,175551.00
2026-02-19 20:30:00,0.6900,0.6800,0.7300,0.6900,0.7013,0.6800,2792.00,178113.00
2026-02-19 20:31:00,0.6700,0.6700,0.7100,0.7100,0.6865,0.6900,849.00,178962.00
2026-02-19 20:32:00,0.7100,0.7100,0.7600,0.7400,0.7290,0.7100,1382.00,180046.00
2026-02-19 20:33:00,0.7700,0.7700,0.8300,0.8300,0.8048,0.7400,1923.00,181159.00
2026-02-19 20:34:00,0.8300,0.8200,0.8900,0.8900,0.8395,0.8300,2958.00,180295.00
2026-02-19 20:35:00,0.8600,0.8500,0.9000,0.9000,0.8775,0.8900,3623.00,182102.00
2026-02-19 20:36:00,0.8800,0.8800,0.9000,0.8800,0.8879,0.9000,1071.00,181397.00
2026-02-19 20:37:00,0.8800,0.8700,0.8800,0.8700,0.8701,0.8800,579.00,181976.00
2026-02-19 20:38:00,0.8700,0.8500,0.9000,0.8900,0.8845,0.8700,721.00,182448.00
2026-02-19 20:39:00,0.8900,0.8900,0.9100,0.9000,0.8998,0.8900,10193.00,175282.00
2026-02-19 20:40:00,0.9100,0.9000,0.9200,0.9200,0.9172,0.9000,16784.00,187852.00
2026-02-19 20:41:00,0.9200,0.9100,0.9200,0.9200,0.9196,0.9200,2793.00,190464.00
2026-02-19 20:42:00,0.9200,0.9100,0.9200,0.9100,0.9128,0.9200,1223.00,190820.00
2026-02-19 20:43:00,0.9100,0.9000,0.9400,0.9300,0.9208,0.9100,3228.00,193581.00
2026-02-19 20:44:00,0.9400,0.9400,0.9600,0.9600,0.9510,0.9300,8358.00,197360.00
2026-02-19 20:45:00,0.9500,0.9300,0.9500,0.9400,0.9436,0.9600,6450.00,202921.00
2026-02-19 20:46:00,0.9300,0.9200,0.9400,0.9200,0.9369,0.9400,5973.00,207993.00
2026-02-19 20:47:00,0.9100,0.9000,0.9200,0.9100,0.9102,0.9200,988.00,207982.00
2026-02-19 20:48:00,0.9000,0.9000,0.9100,0.9100,0.9039,0.9100,879.00,207787.00
2026-02-19 20:49:00,0.9000,0.8600,0.9000,0.8600,0.8849,0.9100,1268.00,208619.00
2026-02-19 20:50:00,0.8600,0.8500,0.8700,0.8700,0.8536,0.8600,1054.00,208412.00
2026-02-19 20:51:00,0.8400,0.7900,0.8500,0.8400,0.8333,0.8700,1763.00,209120.00
2026-02-19 20:52:00,0.8400,0.7700,0.8500,0.7700,0.8146,0.8400,481.00,209059.00
2026-02-19 20:53:00,0.8000,0.7500,0.8000,0.7700,0.7848,0.7700,2822.00,210170.00
2026-02-19 20:54:00,0.7500,0.7400,0.7500,0.7400,0.7480,0.7700,743.00,210913.00
2026-02-19 20:55:00,0.7400,0.7300,0.7400,0.7400,0.7390,0.7400,760.00,211131.00
2026-02-19 20:56:00,0.7300,0.7300,0.7500,0.7500,0.7323,0.7400,647.00,211581.00
2026-02-19 20:57:00,0.7500,0.7400,0.7700,0.7400,0.7564,0.7500,2588.00,213510.00
2026-02-19 20:58:00,0.7500,0.7400,0.7500,0.7500,0.7410,0.7400,2931.00,211316.00
2026-02-19 20:59:00,0.7500,0.7500,0.7600,0.7600,0.7539,0.7500,539.00,211855.00
2026-02-19 21:00:00,0.7500,0.7200,0.7700,0.7400,0.7481,0.7600,977.00,212578.00
2026-02-19 21:01:00,0.7400,0.7400,0.7700,0.7700,0.7604,0.7400,672.00,212761.00
2026-02-19 21:02:00,0.7600,0.7500,0.7700,0.7500,0.7610,0.7700,455.00,212838.00
2026-02-19 21:03:00,0.7600,0.7500,0.7700,0.7500,0.7664,0.7500,2170.00,214958.00
2026-02-19 21:04:00,0.7400,0.7300,0.7400,0.7300,0.7309,0.7500,111.00,215059.00
2026-02-19 21:05:00,0.7200,0.7200,0.7300,0.7300,0.7215,0.7300,392.00,215118.00
2026-02-19 21:06:00,0.7200,0.7200,0.7300,0.7200,0.7204,0.7300,1214.00,214414.00
2026-02-19 21:07:00,0.7200,0.7200,0.7500,0.7500,0.7392,0.7200,1069.00,215379.00
2026-02-19 21:08:00,0.7100,0.7100,0.7500,0.7400,0.7237,0.7500,881.00,216053.00
2026-02-19 21:09:00,0.7400,0.7200,0.7400,0.7200,0.7351,0.7400,1850.00,217903.00
2026-02-19 21:10:00,0.7200,0.7200,0.7400,0.7300,0.7318,0.7200,652.00,218308.00
2026-02-19 21:11:00,0.7200,0.7100,0.7200,0.7200,0.7179,0.7300,483.00,218791.00
