end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-20 09:51:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8600,1213.00,76686.00
2026-02-20 09:52:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,51.00,76737.00
2026-02-20 09:53:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,594.00,77331.00
2026-02-20 09:54:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,308.00,77639.00
2026-02-20 09:55:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,4186.00,81825.00
2026-02-20 09:56:00,,,,,,0.8500,0.00,81825.00
2026-02-20 10:00:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,60.00,81885.00
2026-02-20 10:01:00,,,,,,0.8500,0.00,81885.00
2026-02-20 10:05:00,,,,,,0.8500,0.00,81885.00
2026-02-20 10:07:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,100.00,81985.00
2026-02-20 10:08:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,58.00,82043.00
2026-02-20 10:11:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,301.00,82344.00
2026-02-20 10:12:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,2.00,82346.00
2026-02-20 10:14:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,28.00,82374.00
2026-02-20 10:15:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,116.00,82490.00
2026-02-20 10:16:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,1305.00,83795.00
2026-02-20 10:17:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,1401.00,85196.00
2026-02-20 10:18:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,1224.00,86420.00
2026-02-20 10:21:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,8154.00,94574.00
2026-02-20 10:22:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,291.00,94865.00
2026-02-20 10:23:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,1.00,94866.00
2026-02-20 10:26:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,253.00,95119.00
2026-02-20 10:27:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,442.00,95561.00
2026-02-20 10:28:00,,,,,,0.8500,0.00,95561.00
2026-02-20 10:29:00,,,,,,0.8500,0.00,95561.00
2026-02-20 10:30:00,0.8500,0.8400,0.8500,0.8500,0.8499,0.8500,113.00,95673.00
2026-02-20 10:31:00,,,,,,0.8500,0.00,95673.00
2026-02-20 10:32:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8500,138.00,95673.00
2026-02-20 10:34:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8400,281.00,95954.00
2026-02-20 10:35:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,184.00,96000.00
2026-02-20 10:36:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,5.00,96005.00
2026-02-20 10:38:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8500,59.00,96005.00
2026-02-20 10:39:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8400,979.00,96984.00
2026-02-20 10:40:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,8.00,96992.00
2026-02-20 10:41:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,167.00,97159.00
2026-02-20 10:42:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,100.00,97259.00
2026-02-20 10:43:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,17.00,97276.00
2026-02-20 10:44:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,210.00,97486.00
