end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-20 09:51:00,,,,,,0.1500,0.00,132902.00
2026-02-20 09:53:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,4.00,132906.00
2026-02-20 09:55:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,500.00,133406.00
2026-02-20 10:00:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,15.00,133421.00
2026-02-20 10:01:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,93.00,133514.00
2026-02-20 10:02:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,10.00,133524.00
2026-02-20 10:03:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,62.00,133586.00
2026-02-20 10:05:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,30.00,133616.00
2026-02-20 10:06:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,31.00,133647.00
2026-02-20 10:07:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,1176.00,134823.00
2026-02-20 10:08:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,306.00,135129.00
2026-02-20 10:12:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,2.00,135131.00
2026-02-20 10:13:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,214.00,135345.00
2026-02-20 10:14:00,,,,,,0.1500,0.00,135345.00
2026-02-20 10:15:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,1088.00,136433.00
2026-02-20 10:16:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,44.00,136477.00
2026-02-20 10:17:00,,,,,,0.1500,0.00,136477.00
2026-02-20 10:18:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,64.00,136541.00
2026-02-20 10:19:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1500,64.00,136477.00
2026-02-20 10:20:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1400,212.00,136689.00
2026-02-20 10:21:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,87.00,136776.00
2026-02-20 10:22:00,0.1500,0.1400,0.1500,0.1400,0.1449,0.1500,245.00,136772.00
2026-02-20 10:23:00,0.1400,0.1400,0.1500,0.1500,0.1461,0.1400,346.00,136848.00
2026-02-20 10:24:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,79.00,136927.00
2026-02-20 10:26:00,,,,,,0.1500,0.00,136927.00
2026-02-20 10:28:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,629.00,137556.00
2026-02-20 10:29:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,294.00,137850.00
2026-02-20 10:30:00,,,,,,0.1500,0.00,137850.00
2026-02-20 10:32:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,325.00,138175.00
2026-02-20 10:33:00,0.1500,0.1400,0.1500,0.1400,0.1493,0.1500,794.00,138851.00
2026-02-20 10:34:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1400,62.00,138913.00
2026-02-20 10:36:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,1.00,138914.00
2026-02-20 10:38:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,47.00,138961.00
2026-02-20 10:39:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,137.00,139098.00
2026-02-20 10:40:00,,,,,,0.1500,0.00,139098.00
2026-02-20 10:42:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,99.00,139197.00
2026-02-20 10:43:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,987.00,140184.00
2026-02-20 10:44:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,123.00,140307.00
2026-02-20 10:45:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,40.00,140347.00
2026-02-20 10:46:00,,,,,,0.1500,0.00,140347.00
2026-02-20 10:48:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,564.00,140911.00
2026-02-20 10:50:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,2.00,140913.00
2026-02-20 10:51:00,,,,,,0.1500,0.00,140913.00
2026-02-20 10:52:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,62.00,140975.00
2026-02-20 10:53:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,125.00,141100.00
2026-02-20 10:54:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,84.00,141184.00
2026-02-20 10:55:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,539.00,141723.00
2026-02-20 10:56:00,,,,,,0.1500,0.00,141723.00
2026-02-20 10:57:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,99.00,141822.00
2026-02-20 10:58:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,318.00,142140.00
2026-02-20 10:59:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,6255.00,148395.00
2026-02-20 11:00:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,3098.00,151493.00
2026-02-20 11:01:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,3689.00,155182.00
2026-02-20 11:02:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,7033.00,162215.00
2026-02-20 11:03:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,9423.00,171638.00
2026-02-20 11:04:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,261.00,171899.00
2026-02-20 11:05:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,6334.00,177998.00
2026-02-20 11:06:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,2654.00,180652.00
2026-02-20 11:07:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,62.00,180714.00
2026-02-20 11:08:00,0.1400,0.1400,0.1500,0.1500,0.1493,0.1500,416.00,181070.00
2026-02-20 11:09:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,429.00,181499.00
2026-02-20 11:10:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,7348.00,188847.00
2026-02-20 11:11:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,3868.00,192715.00
2026-02-20 11:12:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,199.00,192914.00
2026-02-20 11:13:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,250.00,193164.00
2026-02-20 11:14:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,29.00,193193.00
2026-02-20 11:15:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,5.00,193198.00
2026-02-20 11:16:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,561.00,193759.00
2026-02-20 11:17:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,167.00,193926.00
2026-02-20 11:18:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,691.00,194617.00
2026-02-20 11:19:00,,,,,,0.1500,0.00,194617.00
2026-02-20 11:20:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,540.00,195157.00
2026-02-20 11:21:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,845.00,196002.00
