end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-21 18:33:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,390.00,74993.00
2026-02-21 18:34:00,,,,,,0.3900,0.00,74993.00
2026-02-21 18:35:00,,,,,,0.3900,0.00,74993.00
2026-02-21 18:37:00,,,,,,0.3900,0.00,74993.00
2026-02-21 18:38:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,24.00,75017.00
2026-02-21 18:40:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,269.00,75286.00
2026-02-21 18:41:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,42.00,75328.00
2026-02-21 18:43:00,,,,,,0.3900,0.00,75328.00
2026-02-21 18:44:00,,,,,,0.3900,0.00,75328.00
2026-02-21 18:46:00,0.3800,0.3800,0.3900,0.3900,0.3825,0.3900,16.00,75320.00
2026-02-21 18:47:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,134.00,75454.00
2026-02-21 18:50:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,366.00,75820.00
2026-02-21 18:51:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,12.00,75832.00
2026-02-21 18:52:00,,,,,,0.3900,0.00,75832.00
2026-02-21 18:53:00,0.3900,0.3800,0.3900,0.3800,0.3894,0.3900,751.00,76536.00
2026-02-21 18:54:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,54.00,76590.00
2026-02-21 18:55:00,,,,,,0.3900,0.00,76590.00
2026-02-21 18:56:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,200.00,76790.00
2026-02-21 18:57:00,,,,,,0.3900,0.00,76790.00
2026-02-21 18:58:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,61.00,76851.00
2026-02-21 18:59:00,,,,,,0.3900,0.00,76851.00
2026-02-21 19:01:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,7395.00,69456.00
2026-02-21 19:02:00,,,,,,0.3800,0.00,69456.00
2026-02-21 19:03:00,,,,,,0.3800,0.00,69456.00
2026-02-21 19:04:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,140.00,69596.00
2026-02-21 19:05:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,286.00,69882.00
2026-02-21 19:10:00,,,,,,0.3900,0.00,69882.00
2026-02-21 19:11:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,9.00,69891.00
2026-02-21 19:12:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,176.00,70067.00
2026-02-21 19:13:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,609.00,70676.00
2026-02-21 19:14:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,6.00,70682.00
2026-02-21 19:15:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,476.00,71158.00
2026-02-21 19:16:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,1233.00,72391.00
2026-02-21 19:17:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,27.00,72418.00
2026-02-21 19:18:00,,,,,,0.3900,0.00,72418.00
2026-02-21 19:19:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,32.00,72450.00
2026-02-21 19:20:00,,,,,,0.3900,0.00,72450.00
2026-02-21 19:21:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,57.00,72450.00
2026-02-21 19:22:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,1231.00,73681.00
2026-02-21 19:23:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,2.00,73679.00
2026-02-21 19:24:00,,,,,,0.3800,0.00,73679.00
2026-02-21 19:25:00,,,,,,0.3800,0.00,73679.00
2026-02-21 19:26:00,0.3900,0.3800,0.3900,0.3800,0.3808,0.3800,1712.00,73820.00
2026-02-21 19:27:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,1044.00,74864.00
2026-02-21 19:28:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,240.00,75104.00
2026-02-21 19:29:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,12.00,75116.00
2026-02-21 19:30:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,102.00,75218.00
2026-02-21 19:32:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,491.00,75709.00
2026-02-21 19:33:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,63.00,75772.00
2026-02-21 19:34:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,100.00,75872.00
2026-02-21 19:35:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,2459.00,78331.00
2026-02-21 19:36:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,40.00,78371.00
2026-02-21 19:38:00,,,,,,0.3900,0.00,78371.00
2026-02-21 19:39:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,245.00,78616.00
2026-02-21 19:40:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,252.00,78868.00
2026-02-21 19:44:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,100.00,78968.00
2026-02-21 19:45:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,389.00,79357.00
2026-02-21 19:46:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,24.00,79381.00
2026-02-21 19:47:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,18.00,79399.00
2026-02-21 19:48:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,336.00,79735.00
2026-02-21 19:49:00,,,,,,0.3900,0.00,79735.00
2026-02-21 19:50:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,223.00,79958.00
2026-02-21 19:51:00,,,,,,0.3900,0.00,79958.00
2026-02-21 19:52:00,,,,,,0.3900,0.00,79958.00
2026-02-21 19:53:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,705.00,80663.00
2026-02-21 19:54:00,0.3900,0.3800,0.3900,0.3900,0.3880,0.3900,280.00,80943.00
2026-02-21 19:55:00,0.3900,0.3800,0.3900,0.3800,0.3859,0.3900,2432.00,82819.00
2026-02-21 19:56:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,396.00,83215.00
2026-02-21 19:57:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,495.00,83710.00
2026-02-21 19:58:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,572.00,84282.00
2026-02-21 19:59:00,0.3800,0.3800,0.3900,0.3900,0.3882,0.3900,131.00,84389.00
2026-02-21 20:00:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,406.00,84795.00
2026-02-21 20:01:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,245.00,85040.00
2026-02-21 20:02:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,486.00,85526.00
2026-02-21 20:03:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,542.00,86068.00
2026-02-21 20:04:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,42474.00,128024.00
2026-02-21 20:05:00,0.3900,0.3800,0.3900,0.3800,0.3832,0.3900,413.00,128173.00
2026-02-21 20:06:00,0.3900,0.3800,0.3900,0.3800,0.3877,0.3800,1351.00,129524.00
2026-02-21 20:07:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,2172.00,131696.00
2026-02-21 20:08:00,0.3800,0.3700,0.3800,0.3800,0.3797,0.3800,2309.00,134005.00
2026-02-21 20:09:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,1716.00,135721.00
2026-02-21 20:10:00,0.3800,0.3700,0.4500,0.4500,0.3931,0.3800,14290.00,149859.00
2026-02-21 20:11:00,0.4500,0.4000,0.5700,0.4000,0.4523,0.4500,8597.00,150570.00
2026-02-21 20:12:00,0.4000,0.3500,0.4600,0.3600,0.3876,0.4000,4382.00,152141.00
2026-02-21 20:13:00,0.3600,0.3500,0.3600,0.3600,0.3594,0.3600,4548.00,152866.00
2026-02-21 20:14:00,0.3600,0.2700,0.3700,0.3700,0.3482,0.3600,1575.00,154145.00
2026-02-21 20:15:00,0.3700,0.3600,0.3900,0.3800,0.3774,0.3700,12341.00,165581.00
2026-02-21 20:16:00,0.3800,0.3400,0.3800,0.3400,0.3574,0.3800,1982.00,167563.00
2026-02-21 20:17:00,0.3200,0.3200,0.3600,0.3300,0.3316,0.3400,998.00,167588.00
2026-02-21 20:18:00,0.3400,0.3300,0.3500,0.3400,0.3419,0.3300,4665.00,172135.00
2026-02-21 20:19:00,0.3400,0.3200,0.3700,0.3400,0.3285,0.3400,4091.00,176188.00
2026-02-21 20:20:00,0.3300,0.2700,0.3400,0.3100,0.3038,0.3400,1290.00,177308.00
2026-02-21 20:21:00,0.3400,0.3200,0.3700,0.3700,0.3416,0.3100,5199.00,180875.00
2026-02-21 20:22:00,0.3600,0.3600,0.3800,0.3700,0.3603,0.3700,11683.00,186796.00
2026-02-21 20:23:00,0.3600,0.3300,0.3700,0.3300,0.3323,0.3700,2726.00,189491.00
2026-02-21 20:24:00,0.3400,0.3300,0.3600,0.3300,0.3442,0.3300,4856.00,194294.00
2026-02-21 20:25:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,3575.00,197869.00
2026-02-21 20:26:00,0.3300,0.3100,0.3500,0.3100,0.3269,0.3300,837.00,198703.00
2026-02-21 20:27:00,0.3000,0.2700,0.3600,0.2800,0.2953,0.3100,4089.00,202624.00
2026-02-21 20:28:00,0.2800,0.2800,0.3600,0.2800,0.3020,0.2800,1860.00,204178.00
2026-02-21 20:29:00,0.2700,0.2300,0.2800,0.2800,0.2655,0.2800,7397.00,211304.00
2026-02-21 20:30:00,0.2800,0.2800,0.3500,0.3500,0.2985,0.2800,1094.00,212367.00
