end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-22 03:33:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5300,71.00,11552.00
2026-02-22 03:36:00,,,,,,0.5200,0.00,11552.00
2026-02-22 03:39:00,,,,,,0.5200,0.00,11552.00
2026-02-22 03:40:00,,,,,,0.5200,0.00,11552.00
2026-02-22 03:41:00,,,,,,0.5200,0.00,11552.00
2026-02-22 03:42:00,,,,,,0.5200,0.00,11552.00
2026-02-22 03:43:00,,,,,,0.5200,0.00,11552.00
2026-02-22 03:44:00,,,,,,0.5200,0.00,11552.00
2026-02-22 03:45:00,,,,,,0.5200,0.00,11552.00
2026-02-22 03:46:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,13.00,11565.00
2026-02-22 03:47:00,,,,,,0.5200,0.00,11565.00
2026-02-22 03:48:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,14.00,11579.00
2026-02-22 03:49:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,16.00,11595.00
2026-02-22 03:50:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5200,5.00,11600.00
2026-02-22 03:51:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5300,30.00,11630.00
2026-02-22 03:52:00,,,,,,0.5200,0.00,11630.00
2026-02-22 03:53:00,,,,,,0.5200,0.00,11630.00
2026-02-22 03:54:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,13.00,11643.00
2026-02-22 03:55:00,,,,,,0.5200,0.00,11643.00
2026-02-22 03:56:00,,,,,,0.5200,0.00,11643.00
2026-02-22 03:57:00,,,,,,0.5200,0.00,11643.00
2026-02-22 03:58:00,,,,,,0.5200,0.00,11643.00
2026-02-22 03:59:00,,,,,,0.5200,0.00,11643.00
2026-02-22 04:00:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5200,18.00,11661.00
2026-02-22 04:01:00,,,,,,0.5300,0.00,11661.00
2026-02-22 04:02:00,,,,,,0.5300,0.00,11661.00
2026-02-22 04:03:00,,,,,,0.5300,0.00,11661.00
2026-02-22 04:04:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5300,30.00,11691.00
2026-02-22 04:05:00,,,,,,0.5200,0.00,11691.00
2026-02-22 04:06:00,,,,,,0.5200,0.00,11691.00
2026-02-22 04:07:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5200,14.00,11705.00
2026-02-22 04:08:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,56.00,11761.00
2026-02-22 04:09:00,,,,,,0.5300,0.00,11761.00
2026-02-22 04:10:00,,,,,,0.5300,0.00,11761.00
2026-02-22 04:11:00,,,,,,0.5300,0.00,11761.00
